label,concept,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Profit or Loss,us-gaap_ProfitLoss,89561000000.0,97147000000.0,-22058000000.0,90807000000.0,43253000000.0,81792000000.0
Investment (gains) losses,us-gaap_GainLossOnInvestments,52799000000.0,74855000000.0,67623000000.0,-77576000000.0,-40905000000.0,
Depreciation and amortization,us-gaap_DepreciationDepletionAndAmortization,12855000000.0,12486000000.0,10899000000.0,10718000000.0,10596000000.0,10064000000.0
"Discount accretion on investments, principally U.S. Treasury Bills",us-gaap_AccretionAmortizationOfDiscountsAndPremiumsInvestments,-11349000000.0,,,,,
Other,us-gaap_OtherNoncashIncomeExpense,-195000000.0,685000000.0,239000000.0,-695000000.0,-429000000.0,-497000000.0
Unpaid losses and loss adjustment expenses,us-gaap_IncreaseDecreaseInLiabilityForClaimsAndClaimsAdjustmentExpenseReserve,2173000000.0,2628000000.0,4057000000.0,4595000000.0,,
Deferred charges - retroactive reinsurance,brka_IncreaseDecreaseInDeferredChargesRetroactiveReinsurance,698000000.0,375000000.0,769000000.0,1802000000.0,,
Unearned premiums,us-gaap_IncreaseDecreaseInUnearnedPremiums,376000000.0,1854000000.0,1861000000.0,2306000000.0,1587000000.0,1707000000.0
Receivables and originated loans,us-gaap_IncreaseDecreaseInReceivables,626000000.0,-1949000000.0,-5592000000.0,-5834000000.0,-1609000000.0,-2303000000.0
Inventories,us-gaap_IncreaseDecreaseInInventories,591000000.0,1426000000.0,-4779000000.0,,,
Other assets,us-gaap_IncreaseDecreaseInOtherOperatingAssets,-797000000.0,-1328000000.0,-373000000.0,-1686000000.0,-1109000000.0,-2011000000.0
Other liabilities,us-gaap_IncreaseDecreaseInOtherOperatingLiabilities,-2288000000.0,2570000000.0,2033000000.0,2389000000.0,3376000000.0,190000000.0
Income taxes,us-gaap_IncreaseDecreaseInIncomeTaxes,-8163000000.0,14865000000.0,-12892000000.0,15297000000.0,7195000000.0,15181000000.0
Net Cash from Operating Activities,us-gaap_NetCashProvidedByUsedInOperatingActivities,30592000000.0,49196000000.0,37224000000.0,39421000000.0,39773000000.0,38687000000.0
Purchases of equity securities,us-gaap_PaymentsToAcquireEquitySecuritiesFvNi,-9237000000.0,-16462000000.0,-67930000000.0,-8448000000.0,-30161000000.0,-18642000000.0
Sales of equity securities,us-gaap_ProceedsFromSaleOfEquitySecuritiesFvNi,143359000000.0,40631000000.0,33664000000.0,15849000000.0,38756000000.0,
Purchases of U.S. Treasury Bills and fixed maturity securities,brka_PaymentsToAcquireUSTreasuryBillsAndAvailableForSaleSecuritiesDebt,-526842000000.0,-235007000000.0,-183922000000.0,-152637000000.0,-208429000000.0,-136123000000.0
Sales of U.S. Treasury Bills and fixed maturity securities,brka_ProceedsFromSaleOfUSTreasuryBillsAndAvailableForSaleSecuritiesDebt,48462000000.0,52302000000.0,90088000000.0,27188000000.0,31873000000.0,15929000000.0
Redemptions and maturities of U.S. Treasury Bills and fixed maturity securities,brka_ProceedsFromRedemptionsAndMaturitiesOfUSTreasuryBillsAndAvailableForSaleSecuritiesDebt,353538000000.0,153201000000.0,66318000000.0,160402000000.0,149709000000.0,137767000000.0
Payments to Acquire Businesses,us-gaap_PaymentsToAcquireBusinessesNetOfCashAcquired,-396000000.0,-8604000000.0,-10594000000.0,-456000000.0,-2532000000.0,-1683000000.0
"Payments for Property, Plant and Equipment",us-gaap_PaymentsToAcquirePropertyPlantAndEquipment,-18976000000.0,-19409000000.0,-15464000000.0,-13276000000.0,-13012000000.0,-15979000000.0
Net Cash from Investing Activities,us-gaap_NetCashProvidedByUsedInInvestingActivities,-10287000000.0,-32663000000.0,-87601000000.0,29392000000.0,-37757000000.0,-5621000000.0
Proceeds from Issuance of Long-Term Debt,us-gaap_ProceedsFromIssuanceOfLongTermDebt,5528000000.0,2133000000.0,4873000000.0,2961000000.0,5925000000.0,8144000000.0
Repayments of borrowings,us-gaap_RepaymentsOfLongTermDebt,-7796000000.0,-5921000000.0,-2426000000.0,-3032000000.0,-2700000000.0,-5095000000.0
"Changes in short term borrowings, net",us-gaap_ProceedsFromRepaymentsOfShortTermDebt,-3059000000.0,2407000000.0,-596000000.0,-624000000.0,-1118000000.0,266000000.0
Acquisitions of treasury stock,us-gaap_PaymentsForRepurchaseOfCommonStock,-2918000000.0,-9171000000.0,,,,
"Other, principally transactions with noncontrolling interests",us-gaap_ProceedsFromPaymentsForOtherFinancingActivities,-5622000000.0,-4147000000.0,-1979000000.0,,,
Net Cash from Financing Activities,us-gaap_NetCashProvidedByUsedInFinancingActivities,-10360000000.0,-14405000000.0,-1662000000.0,-28508000000.0,-18344000000.0,730000000.0
Effects of foreign currency exchange rate changes,us-gaap_EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,-212000000.0,116000000.0,-268000000.0,5000000.0,92000000.0,25000000.0
Net Change in Cash,us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,9733000000.0,2244000000.0,-52307000000.0,40310000000.0,-16236000000.0,33821000000.0
"Other, including asset impairment charges",us-gaap_OtherNoncashIncomeExpense,,,,-3397000000.0,11263000000.0,
Collections of loans and finance receivables,us-gaap_ProceedsFromCollectionOfLoansReceivable,,,,561000000.0,393000000.0,345000000.0
Losses and loss adjustment expenses,us-gaap_IncreaseDecreaseInLiabilityForClaimsAndClaimsAdjustmentExpenseReserve,,,,,4819000000.0,6087000000.0
Deferred charges reinsurance assumed,brka_IncreaseDecreaseInDeferredChargesReinsuranceAssumed,,,,,1307000000.0,357000000.0
Purchases of loans and finance receivables,us-gaap_PaymentsToAcquireLoansReceivable,,,,-88000000.0,-772000000.0,-75000000.0
Investment gains/losses,us-gaap_GainLossOnInvestments,,,,,,-71123000000.0
Sales and redemptions of equity securities,brka_ProceedsFromSalesAndRedemptionsOfEquitySecurities,,,,,,14336000000.0
Acquisition of treasury stock,us-gaap_PaymentsForRepurchaseOfCommonStock,,,-7854000000.0,-27061000000.0,-24706000000.0,-4850000000.0
