label,concept,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Revenue,us-gaap_Revenues,371433000000.0,364482000000.0,302089000000.0,276094000000.0,245510000000.0,254616000000.0
Insurance premiums earned,us-gaap_PremiumsEarnedNet,83259000000.0,78331000000.0,5875000000.0,69478000000.0,63401000000.0,61078000000.0
Sales and Service Revenue,brka_SalesAndServiceRevenue,202334000000.0,155687000000.0,157518000000.0,145043000000.0,,
Operating Lease Revenue,us-gaap_OperatingLeaseLeaseIncome,9227000000.0,8416000000.0,7514000000.0,5988000000.0,5209000000.0,5856000000.0
"Interest, dividend and other investment income",brka_InvestmentIncomeInterestDividendAndOther,21825000000.0,15561000000.0,10263000000.0,7465000000.0,8092000000.0,9240000000.0
Railroad transportation revenues,brka_RailroadTransportationRevenues,23355000000.0,,,,,
Utility and energy operating revenues,brka_UtilityAndEnergyOperatingRevenues,21518000000.0,72693000000.0,,,,
Service revenues and other income,brka_ServiceRevenuesAndOtherIncome,4917000000.0,4931000000.0,5324000000.0,6052000000.0,5474000000.0,4743000000.0
Investment gains (losses),us-gaap_GainLossOnInvestments,52799000000.0,,,,,-71123000000.0
Derivative contract gains (losses),us-gaap_GainLossOnDerivativeInstrumentsNetPretax,,,,,,1484000000.0
Investment and derivative contract gains (losses),us-gaap_NonoperatingGainsLosses,,74855000000.0,-67899000000.0,,,
Energy operating revenues,brka_EnergyOperatingRevenues,,,21023000000.0,18891000000.0,,
Goodwill and intangible asset impairments,us-gaap_GoodwillAndIntangibleAssetImpairment,,,,,-10671000000.0,
"Life, annuity and health insurance benefits",brka_PolicyholderBenefitsAndClaimsIncurredLifeAnnuityAndHealth,,,5152000000.0,6007000000.0,5812000000.0,4986000000.0
Cost of sales and other expenses,brka_CostsOfServicesAndOperatingExpenses,,,15896000000.0,13959000000.0,11638000000.0,11296000000.0
Investment and derivative contract gains,us-gaap_NonoperatingGainsLosses,,,,78542000000.0,,
Insurance losses and loss adjustment expenses,us-gaap_LiabilityForUnpaidClaimsAndClaimsAdjustmentExpenseIncurredClaims1,945000000.0,55703000000.0,56791000000.0,49964000000.0,43951000000.0,44456000000.0
"Life, annuity and health benefits",us-gaap_PolicyholderBenefitsAndClaimsIncurredNet,3858000000.0,4029000000.0,,,,
Insurance underwriting expenses,brka_InsuranceUnderwritingExpenses,16808000000.0,15270000000.0,11942000000.0,12569000000.0,12798000000.0,11200000000.0
Cost of leasing,brka_CostOfLeasing,7069000000.0,6037000000.0,5550000000.0,4201000000.0,3520000000.0,4003000000.0
Utilities and energy cost of sales and other expenses,brka_CostsOfServicesAndOperatingExpenses,16984000000.0,67964000000.0,,,,
Other expenses,us-gaap_OtherExpenses,4343000000.0,4016000000.0,4984000000.0,5615000000.0,4796000000.0,4002000000.0
Cost of Goods and Services Sold,us-gaap_CostOfGoodsAndServicesSold,163642000000.0,122569000000.0,124319000000.0,114138000000.0,101091000000.0,107041000000.0
Costs and Expenses,us-gaap_CostsAndExpenses,-315697000000.0,-321144000000.0,-266629000000.0,-243945000000.0,-231289000000.0,-225703000000.0
Earnings (loss) before income taxes and equity method earnings,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,108535000000.0,118193000000.0,-32439000000.0,,,
Equity method earnings,us-gaap_IncomeLossFromEquityMethodInvestments,1841000000.0,1973000000.0,1863000000.0,995000000.0,,
Earnings before income taxes and equity method earnings,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,,,110691000000.0,,
Contract Revenue,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,,,,,166733000000.0,176512000000.0
Earnings before income taxes and equity method earnings (losses),us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,,,,54967000000.0,101520000000.0
Equity method earnings (losses),us-gaap_IncomeLossFromEquityMethodInvestments,,,,,726000000.0,1176000000.0
"Selling, General and Administrative Expense",us-gaap_SellingGeneralAndAdministrativeExpense,25642000000.0,22605000000.0,19506000000.0,18843000000.0,19809000000.0,19322000000.0
Operating Expenses,us-gaap_OperatingExpenses,15965000000.0,16464000000.0,17282000000.0,14477000000.0,13120000000.0,15436000000.0
Interest Expense,us-gaap_InterestExpense,5200000000.0,5003000000.0,4352000000.0,4172000000.0,4083000000.0,3961000000.0
Nonoperating Income/Expense,us-gaap_NonoperatingIncomeExpense,,,,,40746000000.0,72607000000.0
Income Before Tax from Continuing Operations,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,110376000000.0,120166000000.0,-30576000000.0,111686000000.0,55693000000.0,102696000000.0
Income Tax Expense,us-gaap_IncomeTaxExpenseBenefit,20815000000.0,23019000000.0,-8518000000.0,20879000000.0,12440000000.0,20904000000.0
Net Income,us-gaap_NetIncomeLoss,88995000000.0,96223000000.0,-22819000000.0,89795000000.0,42521000000.0,81417000000.0
Profit or Loss,us-gaap_ProfitLoss,89561000000.0,97147000000.0,-22058000000.0,90807000000.0,43253000000.0,81792000000.0
Net Income Attributable to Noncontrolling Interest,us-gaap_NetIncomeLossAttributableToNoncontrollingInterest,-566000000.0,-924000000.0,-761000000.0,-1012000000.0,-732000000.0,-375000000.0
Freight rail transportation revenues,brka_FreightRailTransportationRevenues,,23791000000.0,25802000000.0,23177000000.0,,
Earnings Per Share (Basic),us-gaap_EarningsPerShareBasic,41.27,44.27,-15535.0,59460.0,26668.0,49828.0
Shares Outstanding (Basic),us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,2156580296.0,2173319709.0,1468876.0,1510180.0,1594469.0,1633946.0
