label,concept,2025-09-30,2025-06-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31,2022-09-30,2022-06-30,2022-03-31
Profit or Loss,us-gaap_ProfitLoss,30864000000.0,12457000000.0,4672000000.0,26480000000.0,30498000000.0,12832000000.0,-12567000000.0,36199000000.0,35757000000.0,-2588000000.0,-43376000000.0,5585000000.0
Unrealized gains (losses) on investments,us-gaap_OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodBeforeTax,-42000000.0,117000000.0,41000000.0,134000000.0,10000000.0,-35000000.0,11000000.0,-41000000.0,247000000.0,,,
Foreign currency translation,us-gaap_OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentBeforeTax,-283000000.0,1108000000.0,482000000.0,900000000.0,-222000000.0,-539000000.0,-801000000.0,383000000.0,249000000.0,-1727000000.0,-1751000000.0,-316000000.0
Long-duration insurance contract discount rate changes,us-gaap_OciLiabilityForFuturePolicyBenefitGainLossBeforeReclassificationAdjustmentAndTax,-305000000.0,115000000.0,39000000.0,-882000000.0,508000000.0,351000000.0,920000000.0,487000000.0,,,,
Defined benefit pension plans,us-gaap_OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentBeforeTax,-17000000.0,-65000000.0,-40000000.0,-19000000.0,-5000000.0,6000000.0,14000000.0,2000000.0,50000000.0,29000000.0,15000000.0,26000000.0
Applicable income taxes,us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesTax,4000000.0,15000000.0,2000000.0,4000000.0,1000000.0,-2000000.0,-1000000.0,-6000000.0,-6000000.0,-7000000.0,-4000000.0,-5000000.0
"Other, net",us-gaap_OtherComprehensiveIncomeOtherNetOfTax,-32000000.0,4000000.0,6000000.0,-157000000.0,17000000.0,-30000000.0,23000000.0,57000000.0,-120000000.0,44000000.0,68000000.0,87000000.0
"Other comprehensive income, net",us-gaap_OtherComprehensiveIncomeLossNetOfTax,-632000000.0,1199000000.0,506000000.0,194000000.0,190000000.0,-310000000.0,-52000000.0,757000000.0,82000000.0,-2113000000.0,-1776000000.0,-404000000.0
Comprehensive income,us-gaap_ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,30232000000.0,13656000000.0,5178000000.0,26674000000.0,30688000000.0,12522000000.0,-12619000000.0,36956000000.0,35839000000.0,-4701000000.0,-45152000000.0,5181000000.0
Comprehensive income attributable to noncontrolling interests,us-gaap_ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,-64000000.0,-97000000.0,-75000000.0,-260000000.0,-145000000.0,-107000000.0,-180000000.0,-308000000.0,-259000000.0,-46000000.0,-350000000.0,-122000000.0
Comprehensive income attributable to Berkshire shareholders,us-gaap_ComprehensiveIncomeNetOfTax,30168000000.0,13559000000.0,5103000000.0,,,,,,,,,
Comprehensive income attributable to Berkshire Hathaway shareholders,us-gaap_ComprehensiveIncomeNetOfTax,,,,26414000000.0,30543000000.0,12415000000.0,-12799000000.0,36648000000.0,35580000000.0,-4747000000.0,-45502000000.0,5059000000.0
Unrealized appreciation of investments,us-gaap_OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodBeforeTax,,,,,,,,,,-527000000.0,-211000000.0,-236000000.0
Long duration insurance contract discount rate changes,brka_OtherComprehensiveIncomeLossLongDurationInsuranceContractsDiscountRateChangesBeforeTax,,,,,,,,,-367000000.0,,,
