label,concept,2025-09-30,2025-06-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31,2022-09-30,2022-06-30,2022-03-31
Revenue,us-gaap_Revenues,94972000000.0,92515000000.0,89725000000.0,92995000000.0,93653000000.0,89869000000.0,93210000000.0,92503000000.0,85393000000.0,76934000000.0,76180000000.0,70810000000.0
Insurance premiums earned,us-gaap_PremiumsEarnedNet,22445000000.0,22195000000.0,21804000000.0,22055000000.0,21953000000.0,21474000000.0,21360000000.0,20561000000.0,19796000000.0,18810000000.0,18087000000.0,17492000000.0
Sales and Service Revenue,brka_SalesAndServiceRevenue,51011000000.0,49658000000.0,47815000000.0,38863000000.0,38892000000.0,37472000000.0,39456000000.0,39126000000.0,38388000000.0,39597000000.0,40220000000.0,37862000000.0
Operating Lease Revenue,us-gaap_OperatingLeaseLeaseIncome,2513000000.0,2509000000.0,2431000000.0,2315000000.0,2308000000.0,2222000000.0,2104000000.0,2079000000.0,2044000000.0,1959000000.0,1887000000.0,1672000000.0
"Interest, dividend and other investment income",brka_InvestmentIncomeInterestDividendAndOther,5697000000.0,6002000000.0,5632000000.0,5896000000.0,5249000000.0,4305000000.0,4047000000.0,3846000000.0,3229000000.0,2378000000.0,2861000000.0,1862000000.0
Freight rail transportation revenues,brka_FreightRailTransportationRevenues,5986000000.0,5718000000.0,5671000000.0,5885000000.0,5720000000.0,5637000000.0,5828000000.0,5808000000.0,6001000000.0,6663000000.0,6612000000.0,5944000000.0
Utility and energy operating revenues,brka_UtilityAndEnergyOperatingRevenues,6046000000.0,5118000000.0,5494000000.0,16598000000.0,18048000000.0,17690000000.0,19033000000.0,19593000000.0,14917000000.0,,,
Service revenues and other income,brka_ServiceRevenuesAndOtherIncome,1274000000.0,1315000000.0,878000000.0,1383000000.0,1483000000.0,1069000000.0,1382000000.0,1490000000.0,1018000000.0,1437000000.0,1578000000.0,1160000000.0
Investment gains (losses),us-gaap_GainLossOnInvestments,21939000000.0,6364000000.0,-6435000000.0,20514000000.0,23857000000.0,1876000000.0,,,,,,
Investment and derivative contract gains (losses),us-gaap_NonoperatingGainsLosses,,,,,,,-29778000000.0,33061000000.0,34758000000.0,-13465000000.0,-66919000000.0,-1978000000.0
