rating,action,priceTarget,priceTargetOld,priceTargetNew,upsidePct,date,source,retrieved
Hold,Maintains,$90 → $89,90.0,89.0,7.76,2026-02-11,https://stockanalysis.com/stocks/byd/ratings/,2026-02-12
Hold,Maintains,$85 → $84,85.0,84.0,1.71,2026-02-09,https://stockanalysis.com/stocks/byd/ratings/,2026-02-12
Hold,Maintains,$90 → $95,90.0,95.0,15.03,2026-02-06,https://stockanalysis.com/stocks/byd/ratings/,2026-02-12
Hold,Maintains,$85 → $87,85.0,87.0,5.34,2026-01-16,https://stockanalysis.com/stocks/byd/ratings/,2026-02-12
Hold,Initiates,$86,,86.0,4.13,2025-11-21,https://stockanalysis.com/stocks/byd/ratings/,2026-02-12
Hold,Initiates,$85,,85.0,2.92,2025-11-18,https://stockanalysis.com/stocks/byd/ratings/,2026-02-12
Hold,Maintains,$84 → $85,84.0,85.0,2.92,2025-10-28,https://stockanalysis.com/stocks/byd/ratings/,2026-02-12
Hold,Maintains,$90,,90.0,8.97,2025-10-24,https://stockanalysis.com/stocks/byd/ratings/,2026-02-12
Buy,Maintains,$89 → $99,89.0,99.0,19.87,2025-10-24,https://stockanalysis.com/stocks/byd/ratings/,2026-02-12
Hold,Maintains,$87 → $89,87.0,89.0,7.76,2025-10-16,https://stockanalysis.com/stocks/byd/ratings/,2026-02-12
Buy,Maintains,$85 → $94,85.0,94.0,13.82,2025-09-08,https://stockanalysis.com/stocks/byd/ratings/,2026-02-12
Hold,Maintains,$74 → $88,74.0,88.0,6.55,2025-07-28,https://stockanalysis.com/stocks/byd/ratings/,2026-02-12
Buy,Maintains,$86 → $89,86.0,89.0,7.76,2025-07-25,https://stockanalysis.com/stocks/byd/ratings/,2026-02-12
Hold,Maintains,$87 → $90,87.0,90.0,8.97,2025-07-25,https://stockanalysis.com/stocks/byd/ratings/,2026-02-12
Hold,Maintains,$73 → $87,73.0,87.0,5.34,2025-07-18,https://stockanalysis.com/stocks/byd/ratings/,2026-02-12
Strong Buy,Maintains,$85 → $100,85.0,100.0,21.08,2025-07-16,https://stockanalysis.com/stocks/byd/ratings/,2026-02-12
