label,concept,2025-09-30,2025-06-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31,2022-09-30,2022-06-30,2022-03-31
Cash and Cash Equivalents,us-gaap_CashAndCashEquivalentsAtCarryingValue,319067000.0,320111000.0,311503000.0,286281000.0,280783000.0,283545000.0,269155000.0,260787000.0,263453000.0,252344000.0,250195000.0,402975000.0
Inventory,us-gaap_InventoryNet,20928000.0,21645000.0,20742000.0,20414000.0,21177000.0,20442000.0,20640000.0,21408000.0,21973000.0,22323000.0,21091000.0,20550000.0
"Property, Plant and Equipment",us-gaap_PropertyPlantAndEquipmentNet,2841900000.0,2818209000.0,2751272000.0,2633248000.0,2626127000.0,2573183000.0,2499725000.0,2451856000.0,2429161000.0,2355747000.0,2354455000.0,2377450000.0
Goodwill,us-gaap_Goodwill,957948000.0,957984000.0,957891000.0,957992000.0,947281000.0,947300000.0,1029219000.0,1029415000.0,1029210000.0,971287000.0,971287000.0,971287000.0
Intangible Assets,us-gaap_IntangibleAssetsNetExcludingGoodwill,1380548000.0,1384725000.0,1387635000.0,1395279000.0,1375544000.0,1378946000.0,1417230000.0,1420692000.0,1423808000.0,1357218000.0,1364972000.0,1366623000.0
Accounts Payable,us-gaap_AccountsPayableCurrent,131395000.0,126506000.0,127517000.0,118690000.0,128398000.0,106408000.0,105664000.0,96883000.0,99622000.0,100277000.0,87443000.0,84974000.0
Accounts Receivable,us-gaap_AccountsReceivableNetCurrent,82217000.0,115399000.0,109951000.0,103475000.0,109740000.0,118896000.0,103577000.0,104333000.0,103028000.0,86518000.0,86759000.0,97096000.0
Income taxes receivable,us-gaap_IncomeTaxesReceivable,0.0,22080000.0,0.0,19948000.0,19367000.0,0.0,1223000.0,8824000.0,0.0,,4976000.0,
Prepaid Expenses,us-gaap_PrepaidExpenseAndOtherAssetsCurrent,68473000.0,54866000.0,54874000.0,67820000.0,52045000.0,53053000.0,72174000.0,52079000.0,54081000.0,60962000.0,40967000.0,39698000.0
Income taxes payable,us-gaap_TaxesPayableCurrent,347086000.0,,9977000.0,,,37258000.0,,,39426000.0,4323000.0,,
Short Term Debt,us-gaap_LongTermDebtCurrent,0.0,44000000.0,44001000.0,44364000.0,44416000.0,44325000.0,44275000.0,44275000.0,44275000.0,44275000.0,44275000.0,44316000.0
Other Non Current Assets,us-gaap_OtherAssetsNoncurrent,176187000.0,185218000.0,184072000.0,67028000.0,65333000.0,69572000.0,97257000.0,133172000.0,166661000.0,95365000.0,93769000.0,97520000.0
Total Current Assets,us-gaap_AssetsCurrent,495584000.0,540003000.0,502380000.0,501866000.0,487058000.0,480429000.0,469248000.0,459046000.0,457355000.0,439332000.0,417812000.0,576568000.0
Total Current Liabilities,us-gaap_LiabilitiesCurrent,963381000.0,628784000.0,630328000.0,610520000.0,589095000.0,600393000.0,583419000.0,546566000.0,592172000.0,575813000.0,534600000.0,582136000.0
Total Assets,us-gaap_Assets,6512953000.0,6560391000.0,6469010000.0,6302431000.0,6261420000.0,6227892000.0,6311611000.0,6304481000.0,6324587000.0,6055870000.0,6050153000.0,6250420000.0
Other Non Current Liabilities,us-gaap_OtherLiabilitiesNoncurrent,65098000.0,65522000.0,66056000.0,55793000.0,59262000.0,62887000.0,64024000.0,65416000.0,65329000.0,53817000.0,57464000.0,59354000.0
Accrued Liabilities,us-gaap_AccruedLiabilitiesCurrent,484900000.0,458278000.0,448833000.0,447466000.0,416281000.0,412402000.0,433480000.0,405408000.0,408849000.0,426938000.0,402882000.0,414312000.0
Long Term Debt,us-gaap_LongTermDebtNoncurrent,1892526000.0,3524158000.0,3472573000.0,3024992000.0,2916096000.0,2823739000.0,2864850000.0,2899691000.0,2924313000.0,2825052000.0,2864589000.0,2989861000.0
Restricted cash,us-gaap_RestrictedCashAndCashEquivalentsAtCarryingValue,4899000.0,5902000.0,5310000.0,3928000.0,3946000.0,4493000.0,2479000.0,11615000.0,14820000.0,17185000.0,13824000.0,16249000.0
Operating lease right-of-use assets,us-gaap_OperatingLeaseRightOfUseAsset,660786000.0,674252000.0,685760000.0,747018000.0,760077000.0,778462000.0,798932000.0,810300000.0,818392000.0,836921000.0,847858000.0,860972000.0
"Operating lease liabilities, net of current portion",us-gaap_OperatingLeaseLiabilityNoncurrent,567924000.0,584519000.0,598356000.0,665382000.0,679955000.0,696929000.0,722229000.0,735345000.0,745660000.0,768703000.0,780635000.0,793396000.0
Deferred income taxes,us-gaap_DeferredIncomeTaxLiabilitiesNet,356711000.0,361777000.0,349328000.0,313942000.0,305299000.0,288988000.0,308608000.0,308654000.0,336144000.0,291689000.0,283710000.0,274547000.0
Income tax payable,us-gaap_AccruedIncomeTaxesCurrent,,,,,,,,,,,0.0,38534000.0
Commitments and contingencies (Note 7),us-gaap_CommitmentsAndContingencies,,,,,,,,,,,,
Commitments and contingencies (Notes 6 and 7),us-gaap_CommitmentsAndContingencies,,,,,,,,,,,,
Commitments and contingencies (Notes 5 and 6),us-gaap_CommitmentsAndContingencies,,,,,,,,,,,,
Commitments and contingencies (Note 6),us-gaap_CommitmentsAndContingencies,,,,,,,,,,,,
Preferred Stock,us-gaap_PreferredStockValue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minority Interest,us-gaap_MinorityInterest,956000.0,2113000.0,3217000.0,,,,,,,,,
Common Stock,us-gaap_CommonStockValue,786000.0,805000.0,819000.0,888000.0,923000.0,954000.0,984000.0,1000000.0,1015000.0,1044000.0,1068000.0,1096000.0
Additional paid-in capital,us-gaap_AdditionalPaidInCapital,0.0,0.0,0.0,0.0,0.0,0.0,3355000.0,102723000.0,191589000.0,412267000.0,541797000.0,693858000.0
Retained Earnings,us-gaap_RetainedEarningsAccumulatedDeficit,2667342000.0,1394651000.0,1350309000.0,1631949000.0,1712488000.0,1755168000.0,1765111000.0,1645682000.0,1469269000.0,1128619000.0,987273000.0,856536000.0
Accumulated Other Comprehensive Income/Loss,us-gaap_AccumulatedOtherComprehensiveIncomeLossNetOfTax,-1771000.0,-1938000.0,-1976000.0,-1035000.0,-1698000.0,-1166000.0,-969000.0,-596000.0,-904000.0,-1134000.0,-983000.0,-364000.0
Total Liabilities and Stockholders' Equity,us-gaap_LiabilitiesAndStockholdersEquity,6512953000.0,6560391000.0,6469010000.0,6302431000.0,6261420000.0,6227892000.0,6311611000.0,6304481000.0,6324587000.0,6055870000.0,6050153000.0,6250420000.0
Total Stockholders' Equity,us-gaap_StockholdersEquity,2667313000.0,1395631000.0,1352369000.0,1631802000.0,1711713000.0,1754956000.0,1768481000.0,1748809000.0,1660969000.0,1540796000.0,1529155000.0,1551126000.0
