label,concept,2025-09-30,2025-06-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31,2022-09-30,2022-06-30,2022-03-31
Profit or Loss,us-gaap_ProfitLoss,1438836000.0,150354000.0,110882000.0,,,,,,,,,
Depreciation and Amortization,us-gaap_DepreciationAndAmortization,,,68223000.0,,,62913000.0,,,61560000.0,,,62478000.0
Amortization of debt financing costs and discounts on debt,us-gaap_AmortizationOfFinancingCostsAndDiscounts,,,1889000.0,,,1903000.0,,,2030000.0,,,2264000.0
Non-cash operating lease expense,us-gaap_OperatingLeaseRightOfUseAssetAmortizationExpense,,,23333000.0,,,22604000.0,,,19544000.0,,,10013000.0
Share-based compensation expense,us-gaap_ShareBasedCompensation,8534000.0,13392000.0,7605000.0,7540000.0,10365000.0,6860000.0,8033000.0,12198000.0,7819000.0,5653000.0,14100000.0,8734000.0
Deferred income taxes,us-gaap_IncreaseDecreaseInDeferredIncomeTaxes,,,2411000.0,,,179000.0,,,17531000.0,,,9635000.0
Non-cash interest income,us-gaap_GainLossOnInvestments,,,-418000.0,,,,,,,,,
Non-cash impairment of assets,us-gaap_AssetImpairmentCharges,65123000.0,0.0,32272000.0,0.0,0.0,10500000.0,0.0,0.0,,,,
Other operating activities,us-gaap_OtherOperatingActivitiesCashFlowStatement,,,-2417000.0,,,1859000.0,,,-29000.0,,,0.0
Loss on early extinguishments and modifications of debt,us-gaap_GainsLossesOnExtinguishmentOfDebt,-1446000.0,,,,,,-0.0,-0.0,0.0,0.0,16509000.0,3300000.0
"Accounts receivable, net",us-gaap_IncreaseDecreaseInAccountsReceivable,,,22321000.0,,,18970000.0,,,6027000.0,,,-7613000.0
Inventories,us-gaap_IncreaseDecreaseInInventories,,,493000.0,,,250000.0,,,200000.0,,,-460000.0
Prepaid expenses and other current assets,us-gaap_IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,2716000.0,,,6704000.0,,,-5148000.0,,,1467000.0
"Income taxes (receivable) payable, net",us-gaap_IncreaseDecreaseInIncomeTaxesReceivable,,,39982000.0,,,,,,,,,
"Other assets, net",us-gaap_IncreaseDecreaseInOtherOperatingAssets,,,1710000.0,,,-1770000.0,,,-1268000.0,,,524000.0
Accounts payable and accrued liabilities,us-gaap_IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,-31453000.0,,,-38460000.0,,,-34485000.0,,,-32149000.0
Operating lease liabilities,us-gaap_IncreaseDecreaseInOperatingLeaseLiability,,,-23333000.0,,,-22604000.0,,,-19544000.0,,,-10013000.0
Other liabilities,us-gaap_IncreaseDecreaseInOtherOperatingLiabilities,,,177000.0,,,3582000.0,,,16057000.0,,,-2815000.0
Net Cash from Operating Activities,us-gaap_NetCashProvidedByUsedInOperatingActivities,,,256393000.0,,,250729000.0,,,282175000.0,,,233709000.0
Expected credit loss (income) on note receivable,byd_ExpectedCreditLossIncomeOnNoteReceivable,,,,,,0.0,,,-34371000.0,,,
Operating lease right-of-use asset and liability remeasurements,us-gaap_CapitalLeaseObligationsIncurred,,,,,,,,,-0.0,,,11224000.0
Share-based compensation activities,byd_CashFlowsFromFinancingActivitiesShareBasedCompensationActivitiesNet,,,,,,,,,,,,-10829000.0
Impairment of assets,us-gaap_AssetImpairmentCharges,,,,,,,,,4537000.0,5575000.0,,
Gain on sale of assets,us-gaap_GainLossOnDispositionOfAssets1,,,,,,,,,0.0,,,-12725000.0
"Income taxes payable, net",us-gaap_IncreaseDecreaseInIncomeTaxesReceivable,,,,,,40766000.0,,,41984000.0,,,38141000.0
Borrowings under credit facilities,us-gaap_ProceedsFromLinesOfCredit,,,,,,,,,356900000.0,,,
Borrowings under bank credit facility,us-gaap_ProceedsFromLinesOfCredit,,,,,,,,,,,,880000000.0
Payments under credit facilities,us-gaap_RepaymentsOfLinesOfCredit,,,,,,,,,-439700000.0,,,
Payments under bank credit facility,us-gaap_RepaymentsOfLinesOfCredit,,,,,,,,,,,,-867897000.0
Debt financing costs,us-gaap_PaymentOfFinancingAndStockIssuanceCosts,,,,,,,,,0.0,,,-13635000.0
Insurance proceeds received from hurricane losses,us-gaap_ProceedsFromInsuranceSettlementInvestingActivities,,,,,,,,,,,,0.0
Proceeds received from disposition of assets,us-gaap_ProceedsFromSalesOfAssetsInvestingActivities,,,,,,,,,0.0,,,20115000.0
"Payments for Property, Plant and Equipment",us-gaap_PaymentsToAcquirePropertyPlantAndEquipment,,,-169893000.0,,,-89645000.0,,,-96100000.0,,,-46623000.0
Payments received on note receivable,us-gaap_ProceedsFromCollectionOfLoansReceivable,,,0.0,,,208000.0,,,17315000.0,,,
Advances made under note receivable,us-gaap_PaymentsToAcquireLoansReceivable,,,-31780000.0,,,,,,,,,
Other investing activities,us-gaap_PaymentsForProceedsFromOtherInvestingActivities,,,-7287000.0,,,-893000.0,,,-1142000.0,,,0.0
Net Cash from Investing Activities,us-gaap_NetCashProvidedByUsedInInvestingActivities,,,-250421000.0,,,-90330000.0,,,-79927000.0,,,-26508000.0
Borrowings under credit facility,us-gaap_ProceedsFromLinesOfCredit,,,808900000.0,,,364300000.0,,,,,,
Payments under credit facility,us-gaap_RepaymentsOfLinesOfCredit,,,-470800000.0,,,-413600000.0,,,,,,
Tax Withholding for Share-Based Compensation,us-gaap_PaymentsRelatedToTaxWithholdingForShareBasedCompensation,,,-5961000.0,,,-9842000.0,,,-14384000.0,,,
Shares repurchased and retired,us-gaap_PaymentsForRepurchaseOfCommonStock,,,-327997000.0,,,-105500000.0,,,-106327000.0,,,-131789000.0
Dividends paid,us-gaap_PaymentsOfDividendsCommonStock,,,-14665000.0,,,-15510000.0,,,-15475000.0,,,
Other financing activities,us-gaap_ProceedsFromPaymentsForOtherFinancingActivities,,,-5000.0,,,-37000.0,,,-51000.0,,,-955000.0
Net Cash from Financing Activities,us-gaap_NetCashProvidedByUsedInFinancingActivities,,,-10528000.0,,,-180189000.0,,,-219037000.0,,,-145105000.0
"Effect of foreign currency exchange rates on cash, cash equivalents and restricted cash",us-gaap_EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,,,5000.0,,,-102000.0,,,-3000.0,,,
Net Change in Cash,us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,,,-4551000.0,,,-19892000.0,,,-16792000.0,,,62096000.0
"Cash paid for interest, net of amounts capitalized",us-gaap_InterestPaidNet,,,45579000.0,,,40830000.0,,,41075000.0,,,26413000.0
Cash received for interest,byd_InterestPaymentsReceived,,,0.0,,,212000.0,,,5120000.0,,,
Income Tax Expense,us-gaap_IncomeTaxesPaidNet,,,91000.0,,,340000.0,,,-32000.0,,,0.0
Net Income,us-gaap_NetIncomeLoss,,,,131128000.0,139845000.0,136473000.0,135233000.0,192454000.0,199731000.0,157002000.0,146763000.0,162928000.0
Non-cash expected credit loss (income) on note receivable,us-gaap_ProvisionForLoanLossesExpensed,,,,,,0.0,,,-34371000.0,,,
