label,concept,2025-09-30,2025-06-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31,2022-09-30,2022-06-30,2022-03-31
Profit or Loss,us-gaap_ProfitLoss,1438836000.0,150354000.0,110882000.0,,,,,,,,,
Net Income,us-gaap_NetIncomeLoss,,,,131128000.0,139845000.0,136473000.0,135233000.0,192454000.0,199731000.0,157002000.0,146763000.0,162928000.0
Fair value adjustments to available-for-sale securities,us-gaap_OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,292000.0,-211000.0,411000.0,504000.0,,,,,,,,
Foreign currency translation adjustments,us-gaap_OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,-125000.0,249000.0,15000.0,159000.0,-138000.0,-318000.0,-254000.0,196000.0,4000.0,,,
Stock options exercised (in shares),us-gaap_StockIssuedDuringPeriodSharesStockOptionsExercised,,,7477.0,,23431.0,,,,32000.0,,101675.0,
Stock options exercised,us-gaap_StockIssuedDuringPeriodValueStockOptionsExercised,,,139000.0,,271000.0,,,,315000.0,,1805000.0,
"Release of restricted stock units, net of tax (in shares)",us-gaap_RestrictedStockSharesIssuedNetOfSharesForTaxWithholdings,454.0,146363.0,44277.0,1423.0,19837.0,85597.0,1974.0,17871.0,45942.0,7407.0,140899.0,115686.0
"Release of restricted stock units, net of tax",us-gaap_RestrictedStockValueSharesIssuedNetOfTaxWithholdings,-23000.0,-41000.0,-1606000.0,-40000.0,-34000.0,-3634000.0,-56000.0,-63000.0,-1925000.0,,-1000.0,-2719000.0
"Comprehensive income (loss), net of tax",us-gaap_OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,,,,,-394000.0,250000.0,-119000.0,112000.0,474000.0,-151000.0,-619000.0,-184000.0
"Release of performance stock units, net of tax (in shares)",byd_PerformanceStockSharesIssuedNetOfSharesForTaxWithholdings,,824.0,99124.0,,,150063.0,,,318878.0,,307.0,294344.0
"Release of performance stock units, net of tax",byd_StockIssuedDuringPeriodValuePerformanceStockAwardNetOfForfeitures,,0.0,-4494000.0,,,-6208000.0,,,-12774000.0,-211000.0,-8000.0,-8110000.0
Shares repurchased and retired (in shares),us-gaap_StockRepurchasedAndRetiredDuringPeriodShares,1904000.0,1480000.0,4453000.0,3461000.0,3144000.0,1658000.0,1628000.0,1492000.0,1726000.0,2474000.0,3018000.0,2100000.0
Shares repurchased and retired,us-gaap_StockRepurchasedAndRetiredDuringPeriodValue,161604000.0,105947000.0,331105000.0,204051000.0,177422000.0,106305000.0,107361000.0,101016000.0,107011000.0,134996000.0,167984000.0,131789000.0
Dividends declared,us-gaap_DividendsCash,14228000.0,14534000.0,14745000.0,15151000.0,15736000.0,16264000.0,15804000.0,16041000.0,16289000.0,15656000.0,16026000.0,16480000.0
Share-based compensation costs,us-gaap_AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,8534000.0,13392000.0,7605000.0,7540000.0,10365000.0,6860000.0,8033000.0,12198000.0,7819000.0,5653000.0,14099000.0,8734000.0
Transactions with noncontrolling interest,us-gaap_MinorityInterestPeriodIncreaseDecrease,,,3754000.0,,,,,,,,,
