label,concept,2025-05-31,2024-06-01,2023-06-03,2022-05-28,2021-05-29,2020-05-30
Profit or Loss,us-gaap_ProfitLoss,1218232000.0,276282000.0,756732000.0,132441000.0,2060000.0,18328000.0
"Unrealized holding gain (loss) available-for-sale securities, net of reclassification adjustments",us-gaap_OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentBeforeTax,928000.0,1271000.0,,-1398000.0,-736000.0,59000.0
"(Increase) decrease in accumulated post-retirement benefits obligation, net of reclassification adjustments",us-gaap_OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentBeforeTax,54000.0,167000.0,,,,-445000.0
"Other comprehensive income (loss), before tax",us-gaap_OtherComprehensiveIncomeLossBeforeTax,982000.0,1438000.0,,,-873000.0,-386000.0
"Other comprehensive loss, before tax",us-gaap_OtherComprehensiveIncomeLossBeforeTax,,,-1741000.0,-1407000.0,,
"Unrealized holding loss available-for-sale securities, net of reclassification adjustments",us-gaap_OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentBeforeTax,,,-1714000.0,,,
"Increase in accumulated post-retirement benefits obligation, net of reclassification adjustments",us-gaap_OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentBeforeTax,,,-27000.0,-9000.0,-137000.0,
Income tax expense (benefit) related to items of other comprehensive income (loss),us-gaap_OtherComprehensiveIncomeLossTax,-216000.0,-325000.0,,369000.0,236000.0,110000.0
"Other comprehensive income (loss), net of tax",us-gaap_OtherComprehensiveIncomeLossNetOfTax,766000.0,1113000.0,,,-637000.0,-276000.0
"Other comprehensive loss, net of tax",us-gaap_OtherComprehensiveIncomeLossNetOfTax,,,-1290000.0,-1038000.0,,
Comprehensive income,us-gaap_ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,1218998000.0,277395000.0,755442000.0,131403000.0,1423000.0,18052000.0
Income tax benefit related to items of other comprehensive loss,us-gaap_OtherComprehensiveIncomeLossTax,,,451000.0,,,
Less: comprehensive income (loss) attributable to the noncontrolling interest,us-gaap_ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,-0.0,63000.0
Less: comprehensive loss attributable to the noncontrolling interest,us-gaap_ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,1816000.0,1606000.0,1292000.0,209000.0,,
"Comprehensive income attributable to Cal-Maine Foods, Inc.",us-gaap_ComprehensiveIncomeNetOfTax,1220814000.0,279001000.0,756734000.0,131612000.0,1423000.0,18115000.0
