label,concept,2025-05-31,2024-06-01,2023-06-03,2022-05-28,2021-05-29,2020-05-30
Contract Revenue,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,4261885000.0,2326443000.0,3146217000.0,1777159000.0,1348987000.0,
Revenue,us-gaap_Revenues,,,,,,1351609000.0
(Gain) loss on involuntary conversions,calm_GainLossOnInvoluntaryConversions,-156000.0,,,,,
Gain on involuntary conversions,us-gaap_GainOnBusinessInterruptionInsuranceRecovery,,23532000.0,,,,
(Gain) loss on disposal of fixed assets,us-gaap_GainLossOnSaleOfPropertyPlantEquipment,259000.0,-26000.0,-131000.0,-5109000.0,,
Loss on disposal of fixed assets,us-gaap_GainLossOnSaleOfPropertyPlantEquipment,,,,,2982000.0,
Gain on insurance recoveries,us-gaap_InsuranceRecoveries,,,-3345000.0,,,
Patronage dividends,us-gaap_PatronageSourceEarnings,11197000.0,11331000.0,10239000.0,10130000.0,9004000.0,10096000.0
Equity in income of unconsolidated entities,us-gaap_IncomeLossFromEquityMethodInvestments,6221000.0,1420000.0,-746000.0,-1943000.0,-622000.0,-534000.0
Less: Net loss attributable to noncontrolling interest,us-gaap_IncomeLossFromContinuingOperationsAttributableToNoncontrollingEntity,1816000.0,1606000.0,1292000.0,209000.0,,
,,,,,,,
Cost of Goods and Services Sold,us-gaap_CostOfGoodsAndServicesSold,-2411000000.0,-1784872000.0,-1949760000.0,-1440100000.0,-1188326000.0,-1172021000.0
Gross Profit,us-gaap_GrossProfit,1850885000.0,541571000.0,1196457000.0,337059000.0,160661000.0,179588000.0
"Selling, General and Administrative Expense",us-gaap_SellingGeneralAndAdministrativeExpense,-314449000.0,-252625000.0,-232207000.0,-198631000.0,-183943000.0,-176237000.0
Operating Income,us-gaap_OperatingIncomeLoss,1536539000.0,312452000.0,967726000.0,143537000.0,-26264000.0,1269000.0
Interest Expense,us-gaap_InterestExpense,,-549000.0,-583000.0,-403000.0,-213000.0,-498000.0
Interest Expense (non-operating),us-gaap_InterestExpenseNonoperating,-612000.0,,,,,
Interest income,us-gaap_InvestmentIncomeInterest,48671000.0,32275000.0,18553000.0,988000.0,2828000.0,4962000.0
"Other, net",us-gaap_OtherNonoperatingIncomeExpense,1126000.0,3042000.0,1869000.0,9820000.0,4074000.0,3696000.0
Nonoperating Income/Expense,us-gaap_NonoperatingIncomeExpense,66603000.0,47519000.0,30824000.0,22478000.0,16315000.0,18790000.0
"Disposal Group, Not Discontinued Operation, Gain (Loss) on Disposal",us-gaap_DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,,,,,,-82000.0
Legal settlement expense,us-gaap_LegalFees,,,,,,-2000000.0
Income Before Tax from Continuing Operations,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,1603142000.0,359971000.0,998550000.0,166015000.0,-9949000.0,20059000.0
Income Tax Expense,us-gaap_IncomeTaxExpenseBenefit,384910000.0,83689000.0,241818000.0,33574000.0,-12009000.0,1731000.0
Net Income,us-gaap_NetIncomeLoss,1220048000.0,277888000.0,758024000.0,132650000.0,2060000.0,18391000.0
Profit or Loss,us-gaap_ProfitLoss,1218232000.0,276282000.0,756732000.0,132441000.0,2060000.0,18328000.0
Net Income Attributable to Noncontrolling Interest,us-gaap_NetIncomeLossAttributableToNoncontrollingInterest,,,,,-0.0,63000.0
Earnings Per Share (Basic),us-gaap_EarningsPerShareBasic,25.04,5.7,15.58,2.73,0.04,0.38
Earnings Per Share (Diluted),us-gaap_EarningsPerShareDiluted,24.95,5.69,15.52,2.72,0.04,0.38
Shares Outstanding (Basic),us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,48719000.0,48717000.0,48648000.0,48581000.0,48522000.0,48467000.0
Shares Outstanding (Diluted),us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,48891000.0,48873000.0,48834000.0,48734000.0,48656000.0,48584000.0
