label,concept,2025-11-29,2025-08-30,2025-03-01,2024-11-30,2024-08-31,2024-03-02,2023-12-02,2023-09-02,2023-02-25,2022-11-26,2022-08-27,2022-02-26
Contract Revenue,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,769498000.0,922602000.0,1417685000.0,954671000.0,785871000.0,703076000.0,523234000.0,459344000.0,997493000.0,801700000.0,658344000.0,477485000.0
(Gain) loss on involuntary conversions,calm_GainLossOnInvoluntaryConversions,0.0,7488000.0,0.0,,,,,,,,,
Loss on involuntary conversions,us-gaap_LossFromCatastrophes,,,,-10000.0,-146000.0,,,,,,,
Gain on involuntary conversions,us-gaap_GainOnBusinessInterruptionInsuranceRecovery,,,,,,9929000.0,,,,,,
Equity income of unconsolidated entities,us-gaap_IncomeLossFromEquityMethodInvestments,,,,,,2666000.0,29000.0,-470000.0,1786000.0,-987000.0,144000.0,1809000.0
(Gain) loss on disposal of fixed assets,us-gaap_GainLossOnSaleOfPropertyPlantEquipment,-630000.0,-104000.0,-478000.0,-338000.0,,306000.0,,56000.0,26000.0,-29000.0,-33000.0,674000.0
Gain on disposal of fixed assets,us-gaap_GainLossOnSaleOfPropertyPlantEquipment,,,,,1817000.0,,,,,,,
Loss on disposal of fixed assets,us-gaap_GainLossOnSaleOfPropertyPlantEquipment,,,,,,,-318000.0,,,,,
Less: Income (loss) attributable to noncontrolling interest,us-gaap_IncomeLossFromContinuingOperationsAttributableToNoncontrollingEntity,-168000.0,,,,,,,,,,,
,,,,,,,,,,,,,
Cost of Goods and Services Sold,us-gaap_CostOfGoodsAndServicesSold,-562112000.0,-611288000.0,-701570000.0,-598629000.0,-538653000.0,-484504000.0,-432104000.0,-413911000.0,-534467000.0,-483851000.0,-440854000.0,-385903000.0
Gross Profit,us-gaap_GrossProfit,207386000.0,311314000.0,716115000.0,356042000.0,247218000.0,218572000.0,91130000.0,45433000.0,463026000.0,317849000.0,217490000.0,91582000.0
"Selling, General and Administrative Expense",us-gaap_SellingGeneralAndAdministrativeExpense,-82887000.0,-69514000.0,-79967000.0,-77633000.0,-61932000.0,-66020000.0,-76578000.0,-52246000.0,-58489000.0,-57952000.0,-53607000.0,-52686000.0
Operating Income,us-gaap_OperatingIncomeLoss,123869000.0,249184000.0,635670000.0,278061000.0,186957000.0,162787000.0,14234000.0,-6757000.0,407783000.0,259868000.0,163850000.0,39570000.0
Royalty income,us-gaap_RoyaltyIncomeNonoperating,,,,,,436000.0,301000.0,349000.0,426000.0,344000.0,428000.0,326000.0
Interest Expense,us-gaap_InterestIncomeExpenseNet,12266000.0,12850000.0,12628000.0,9770000.0,9785000.0,7554000.0,6987000.0,7346000.0,6126000.0,1930000.0,903000.0,79000.0
"Other, net",us-gaap_OtherNonoperatingIncomeExpense,-56000.0,1231000.0,3534000.0,1130000.0,1211000.0,418000.0,567000.0,265000.0,-1473000.0,1113000.0,155000.0,1144000.0
Nonoperating Income/Expense,us-gaap_NonoperatingIncomeExpense,12210000.0,14081000.0,27359000.0,10900000.0,10996000.0,22372000.0,7884000.0,7490000.0,17104000.0,2400000.0,1630000.0,13478000.0
Gain on insurance recoveries,us-gaap_InsuranceRecoveries,,,,,,,,,-3220000.0,,,
Income Before Tax from Continuing Operations,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,136079000.0,263265000.0,663029000.0,288961000.0,197953000.0,185159000.0,22118000.0,733000.0,424887000.0,262268000.0,165480000.0,53048000.0
Less: Loss attributable to noncontrolling interest,us-gaap_IncomeLossFromContinuingOperationsAttributableToNoncontrollingEntity,,233000.0,380000.0,705000.0,386000.0,349000.0,431000.0,515000.0,450000.0,293000.0,153000.0,63000.0
Income Tax Expense,us-gaap_IncomeTaxExpenseBenefit,-33152000.0,-64158000.0,-154876000.0,-70602000.0,-48363000.0,-38796000.0,-5540000.0,-322000.0,-102118000.0,-63974000.0,-40346000.0,-13594000.0
Net Income,us-gaap_NetIncomeLoss,102759000.0,199340000.0,508533000.0,219064000.0,149976000.0,146712000.0,17009000.0,926000.0,323219000.0,198587000.0,125287000.0,39517000.0
Profit or Loss,us-gaap_ProfitLoss,102927000.0,199107000.0,508153000.0,218359000.0,149590000.0,146363000.0,16578000.0,411000.0,322769000.0,198294000.0,125134000.0,39454000.0
Earnings Per Share (Basic),us-gaap_EarningsPerShareBasic,2.14,4.13,10.42,4.49,3.08,3.01,0.35,0.02,6.64,4.08,2.58,0.81
Earnings Per Share (Diluted),us-gaap_EarningsPerShareDiluted,2.13,4.12,10.38,4.47,3.06,3.0,0.35,0.02,6.62,4.07,2.57,0.81
Shares Outstanding (Basic),us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,48019000.0,48281000.0,48798000.0,48765000.0,48761000.0,48727000.0,48690000.0,48690000.0,48653000.0,48624000.0,48623000.0,48886000.0
Shares Outstanding (Diluted),us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,48167000.0,48424000.0,48971000.0,48970000.0,48932000.0,48884000.0,48866000.0,48840000.0,48842000.0,48840000.0,48811000.0,49036000.0
Patronage dividends,us-gaap_PatronageSourceEarnings,,,11197000.0,,,11298000.0,,,10239000.0,,,10120000.0
