rating,action,priceTarget,priceTargetOld,priceTargetNew,upsidePct,date,source,retrieved
Strong Buy,Maintains,$100 → $118,100.0,118.0,19.07,2026-02-12,https://stockanalysis.com/stocks/crox/ratings/,2026-02-12
Buy → Hold,Downgrades,n/a,,,,2026-01-22,https://stockanalysis.com/stocks/crox/ratings/,2026-02-12
Buy → Hold,Downgrades,$100,,100.0,0.91,2026-01-07,https://stockanalysis.com/stocks/crox/ratings/,2026-02-12
Strong Buy,Reiterates,$100,,100.0,0.91,2025-12-05,https://stockanalysis.com/stocks/crox/ratings/,2026-02-12
Hold,Maintains,$81 → $86,81.0,86.0,-13.22,2025-10-31,https://stockanalysis.com/stocks/crox/ratings/,2026-02-12
Hold,Maintains,$85 → $90,85.0,90.0,-9.18,2025-10-31,https://stockanalysis.com/stocks/crox/ratings/,2026-02-12
Strong Buy,Maintains,$99 → $98,99.0,98.0,-1.11,2025-10-21,https://stockanalysis.com/stocks/crox/ratings/,2026-02-12
Buy → Hold,Downgrades,$95 → $75,95.0,75.0,-24.32,2025-09-22,https://stockanalysis.com/stocks/crox/ratings/,2026-02-12
Strong Buy,Maintains,$89 → $100,89.0,100.0,0.91,2025-08-29,https://stockanalysis.com/stocks/crox/ratings/,2026-02-12
Hold,Maintains,$110 → $85,110.0,85.0,-14.23,2025-08-11,https://stockanalysis.com/stocks/crox/ratings/,2026-02-12
Buy,Maintains,$120 → $95,120.0,95.0,-4.14,2025-08-08,https://stockanalysis.com/stocks/crox/ratings/,2026-02-12
Strong Buy,Maintains,$135 → $99,135.0,99.0,-0.1,2025-08-08,https://stockanalysis.com/stocks/crox/ratings/,2026-02-12
Strong Buy → Hold,Downgrades,$127 → $85,127.0,85.0,-14.23,2025-08-08,https://stockanalysis.com/stocks/crox/ratings/,2026-02-12
Buy → Hold,Downgrades,$119 → $81,119.0,81.0,-18.26,2025-08-08,https://stockanalysis.com/stocks/crox/ratings/,2026-02-12
Strong Buy,Maintains,$129 → $89,129.0,89.0,-10.19,2025-08-07,https://stockanalysis.com/stocks/crox/ratings/,2026-02-12
Hold,Maintains,$105 → $110,105.0,110.0,11.0,2025-07-28,https://stockanalysis.com/stocks/crox/ratings/,2026-02-12
