label,concept,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Contract Revenue,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,4102108000.0,3962347000.0,3554985000.0,2313416000.0,1385951000.0,1230593000.0
"Foreign currency gains (losses), net",us-gaap_ForeignCurrencyTransactionGainLossBeforeTax,-6777000.0,-1240000.0,3228000.0,,-1128000.0,-1323000.0
"Foreign currency losses, net",us-gaap_ForeignCurrencyTransactionGainLossBeforeTax,,,,-140000.0,,
Interest income,us-gaap_InvestmentIncomeInterestAndDividend,3484000.0,2406000.0,1020000.0,775000.0,215000.0,601000.0
Cost of Goods and Services Sold,us-gaap_CostOfGoodsAndServicesSold,-1691850000.0,-1752337000.0,-1694703000.0,-893196000.0,-636003000.0,-613537000.0
Gross Profit,us-gaap_GrossProfit,2410258000.0,2210010000.0,1860282000.0,1420220000.0,749948000.0,617056000.0
"Selling, General and Administrative Expense",us-gaap_SellingGeneralAndAdministrativeExpense,-1388347000.0,-1163940000.0,-1009526000.0,-737156000.0,-514753000.0,-488407000.0
Operating Income,us-gaap_OperatingIncomeLoss,1021911000.0,1036783000.0,850756000.0,683064000.0,214124000.0,128649000.0
Interest Expense,us-gaap_InterestExpense,,-161351000.0,-136158000.0,-21647000.0,-6742000.0,-8636000.0
Interest Expense (non-operating),us-gaap_InterestExpenseNonoperating,-109264000.0,,,,,
"Other income (expense), net",us-gaap_OtherNonoperatingIncomeExpense,1231000.0,-326000.0,-338000.0,,,
"Other income, net",us-gaap_OtherNonoperatingIncomeExpense,,,,1797000.0,510000.0,31000.0
Income Before Tax from Continuing Operations,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,910585000.0,876272000.0,718508000.0,663849000.0,206979000.0,119322000.0
Income Tax Expense,us-gaap_IncomeTaxExpenseBenefit,-39486000.0,83706000.0,178349000.0,-61845000.0,-105882000.0,-175000.0
Net Income,us-gaap_NetIncomeLoss,950071000.0,792566000.0,540159000.0,725694000.0,312861000.0,119497000.0
Basic Net Income Available to Common Shareholders,us-gaap_NetIncomeLossAvailableToCommonStockholdersBasic,,,,,312861000.0,119497000.0
Earnings Per Share (Basic),us-gaap_EarningsPerShareBasic,16.0,12.91,8.82,11.62,4.64,1.7
Earnings Per Share (Diluted),us-gaap_EarningsPerShareDiluted,15.88,12.79,8.71,11.39,4.56,1.66
Shares Outstanding (Basic),us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,59381000.0,61386000.0,61220000.0,62464000.0,67386000.0,70357000.0
Shares Outstanding (Diluted),us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,59832000.0,61952000.0,62006000.0,63718000.0,68544000.0,71771000.0
Asset impairments,us-gaap_AssetImpairmentCharges,,9287000.0,0.0,0.0,21071000.0,0.0
Dividends on Series A convertible preferred stock,us-gaap_TemporaryEquityDividendsAdjustment,,,,,-0.0,-0.0
Dividend equivalents on Series A convertible preferred shares related to redemption value accretion and beneficial conversion feature,us-gaap_TemporaryEquityAccretionToRedemptionValueAdjustment,,,,,,-0.0
Dividend equivalents on Series A convertible preferred stock related to redemption value accretion and beneficial conversion feature,us-gaap_TemporaryEquityAccretionToRedemptionValueAdjustment,,,,,-0.0,
