label,concept,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Repurchases of common stock,us-gaap_TreasuryStockValueAcquiredCostMethod,,,,1000000000.0,170832000.0,147190000.0
Repurchases of common stock (shares),us-gaap_TreasuryStockSharesAcquired,,,,8242000.0,-3212000.0,6082000.0
Other comprehensive income (loss),us-gaap_OtherComprehensiveIncomeLossNetOfTax,,,-26653000.0,-20484000.0,,-3727000.0
Share-based compensation,us-gaap_AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,33053000.0,29072000.0,31303000.0,38122000.0,16361000.0,14412000.0
"Exercises of stock options and issuance of restricted stock units, net of shares withheld for taxes (in shares)",crox_ExercisesofStockOptionsandIssuanceofRestrictedStockAwardsShares,289000.0,427000.0,,,,
"Exercises of stock options and issuance of restricted stock units, net of shares withheld for taxes",crox_ExercisesofStockOptionsandIssuanceofRestrictedStockAwards,-8073000.0,-17087000.0,-11356000.0,,,
"Exercises of stock options and issuance of restricted stock units, net of shares withheld for taxes (shares)",crox_ExercisesofStockOptionsandIssuanceofRestrictedStockAwardsShares,,,567000.0,,,
Share issuance at Acquisition,us-gaap_StockIssuedDuringPeriodValueAcquisitions,,,270396000.0,,,
Share issuance at acquisition (in shares),us-gaap_StockIssuedDuringPeriodSharesAcquisitions,,,2852000.0,,,
"Repurchases of common stock, including excise tax (in shares)",us-gaap_StockRepurchasedDuringPeriodShares,4309000.0,1681000.0,,,,
"Repurchases of common stock, including excise tax",us-gaap_StockRepurchasedDuringPeriodValue,556365000.0,176282000.0,,,,
Net Income,us-gaap_NetIncomeLoss,950071000.0,792566000.0,540159000.0,725694000.0,312861000.0,119497000.0
Other comprehensive (loss) income,us-gaap_OtherComprehensiveIncomeLossNetOfTax,-36877000.0,7723000.0,,,,
Exercises of stock options and issuance of restricted stock awards (shares),crox_ExercisesOfStockOptionsAndIssuanceOfRestrictedStockAwardsShares,,,,209000.0,836000.0,58000.0
Exercises of stock options and issuance of restricted stock awards,crox_ExercisesOfStockOptionsAndIssuanceOfRestrictedStockAwards,,,,-19883000.0,-1687000.0,-1168000.0
Other comprehensive (income) loss,us-gaap_OtherComprehensiveIncomeLossNetOfTax,,,,,2025000.0,
