label,concept,2025-09-30,2025-06-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31,2022-09-30,2022-06-30,2022-03-31
Share-based compensation,us-gaap_AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,8476000.0,11259000.0,8777000.0,6633000.0,10162000.0,7582000.0,7655000.0,8388000.0,7464000.0,7888000.0,9300000.0,8275000.0
"Exercises of stock options, issuance of restricted stock awards, and vests of restricted stock units, net of shares withheld for taxes (in shares)",crox_ExercisesofStockOptionsandIssuanceofRestrictedStockAwardsShares,9000.0,47000.0,189000.0,51000.0,26000.0,201000.0,102000.0,44000.0,274000.0,62000.0,9000.0,
"Exercises of stock options, issuance of restricted stock awards, and vests of restricted stock units, net of shares withheld for taxes",crox_ExercisesofStockOptionsandIssuanceofRestrictedStockAwards,-141000.0,-794000.0,-3309000.0,-2322000.0,,-5747000.0,-5399000.0,-1240000.0,-10395000.0,-4683000.0,-468000.0,-6192000.0
"Exercises of stock options, issuance of restricted stock awards, and vests of restricted stock units (in shares)",crox_ExercisesofStockOptionsandIssuanceofRestrictedStockAwardsShares,,,,,,,,,,,,390000.0
"Repurchases of common stock, including excise tax (in shares)",us-gaap_StockRepurchasedDuringPeriodShares,2443000.0,1303000.0,607000.0,1120000.0,1170000.0,,1391000.0,,,,,
"Repurchases of common stock, including excise tax",us-gaap_StockRepurchasedDuringPeriodValue,204849000.0,134564000.0,61282000.0,152582000.0,176507000.0,,151033000.0,,,,,
Net Income,us-gaap_NetIncomeLoss,145816000.0,-492282000.0,160103000.0,199801000.0,228907000.0,152454000.0,177025000.0,212412000.0,149543000.0,169349000.0,160315000.0,72760000.0
Other comprehensive income (loss),us-gaap_OtherComprehensiveIncomeLossNetOfTax,-7299000.0,67925000.0,29572000.0,20377000.0,,,,1630000.0,,,-26352000.0,
Other comprehensive (loss) income,us-gaap_OtherComprehensiveIncomeLossNetOfTax,,,,,-6406000.0,-11157000.0,,,,,,
Other comprehensive loss,us-gaap_OtherComprehensiveIncomeLossNetOfTax,,,,,,,-17680000.0,,,-33717000.0,,-10151000.0
Other comprehensive income,us-gaap_OtherComprehensiveIncomeLossNetOfTax,,,,,,,,,3957000.0,,,
Share issuance at Acquisition (in shares),us-gaap_StockIssuedDuringPeriodSharesAcquisitions,,,,,,,,,,,,2852000.0
Share issuance at Acquisition,us-gaap_StockIssuedDuringPeriodValueAcquisitions,,,,,,,,,,,,270396000.0
