label,concept,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and Cash Equivalents,us-gaap_CashAndCashEquivalentsAtCarryingValue,504441000.0,383180000.0,336782000.0,233327000.0,301819000.0,249174000.0
Current Marketable Securities,us-gaap_MarketableSecuritiesCurrent,82441000.0,70543000.0,,,,
"Property, Plant and Equipment",us-gaap_PropertyPlantAndEquipmentNet,25565000.0,30711000.0,35743000.0,46965000.0,52610000.0,51725000.0
Goodwill,us-gaap_Goodwill,804818000.0,807156000.0,800417000.0,798871000.0,800267000.0,774534000.0
Intangible Assets,us-gaap_IntangibleAssetsNetExcludingGoodwill,327881000.0,409449000.0,409157000.0,471209000.0,481753000.0,446228000.0
Accounts Receivable,us-gaap_AccountsReceivableNetCurrent,69903000.0,75721000.0,58068000.0,65317000.0,64857000.0,64492000.0
Prepaid Expenses,us-gaap_PrepaidExpenseCurrent,29294000.0,29739000.0,27004000.0,29322000.0,22130000.0,16748000.0
Investments—Consolidated Investment Companies,us-gaap_RelatedPartyMember,,,108448000.0,105542000.0,91359000.0,64526000.0
Other Current Assets,us-gaap_OtherAssetsCurrent,4796000.0,5900000.0,8264000.0,7178000.0,8478000.0,1820000.0
Total Current Assets,us-gaap_AssetsCurrent,781352000.0,720729000.0,651031000.0,559447000.0,575343000.0,461284000.0
Total Assets,us-gaap_Assets,2084684000.0,2101844000.0,2020479000.0,2018187000.0,2060839000.0,1880131000.0
Other Non Current Assets,us-gaap_OtherAssetsNoncurrent,40358000.0,34534000.0,31271000.0,33389000.0,28788000.0,45846000.0
Total Non Current Assets,us-gaap_AssetsNoncurrent,1303332000.0,1381115000.0,1369448000.0,1458740000.0,1485496000.0,1418847000.0
"Right-of-Use Assets, net",us-gaap_OperatingLeaseRightOfUseAsset,104710000.0,99265000.0,92860000.0,108306000.0,122078000.0,100514000.0
Commitments and Contingencies (Note (20)),us-gaap_CommitmentsAndContingencies,,,,,,
Additional Paid-in Capital from Treasury Stock Transactions,us-gaap_AdditionalPaidInCapital,0.0,2000.0,,,,
Treasury Stock Common Value,us-gaap_TreasuryStockCommonValue,-632838000.0,-521403000.0,-365363000.0,-538464000.0,-324731000.0,-281032000.0
Common Stock,us-gaap_CommonStockValue,189000.0,189000.0,440953000.0,448929000.0,418669000.0,189000.0
Retained Earnings,us-gaap_RetainedEarningsAccumulatedDeficit,1256603000.0,1194561000.0,1015589000.0,1187001000.0,1027699000.0,930351000.0
Accumulated Other Comprehensive Income/Loss,us-gaap_AccumulatedOtherComprehensiveIncomeLossNetOfTax,32083000.0,19911000.0,45676000.0,16362000.0,15171000.0,-249000.0
Total Stockholders' Equity,us-gaap_StockholdersEquity,1095206000.0,1128252000.0,1045692000.0,1114017000.0,1136997000.0,1041280000.0
Commitments and Contingencies (Note (21)),us-gaap_CommitmentsAndContingencies,,,,,,
Investments—Affiliates and Other,fhi_InvestmentsAffiliatesAndOther,,,76524000.0,87805000.0,45593000.0,
Receivables—Affiliates,us-gaap_DueFromAffiliateCurrent,,,35941000.0,30956000.0,41107000.0,37589000.0
Redeemable Noncontrolling Interest in Subsidiaries,us-gaap_RedeemableNoncontrollingInterestEquityFairValue,,,,,236987000.0,212086000.0
Investments - Affiliates And Other,fhi_InvestmentsAffiliatesAndOther,,,,,,26935000.0
Commitments and Contingencies (Note (21)),us-gaap_CommitmentsAndContingencies,,,,,,
Total Liabilities,us-gaap_Liabilities,-933964000.0,-947747000.0,-912966000.0,-840968000.0,-686855000.0,626765000.0
Other Current Liabilities,us-gaap_OtherLiabilitiesCurrent,15418000.0,24378000.0,15358000.0,27038000.0,17219000.0,10679000.0
Total Current Liabilities,us-gaap_LiabilitiesCurrent,289193000.0,287343000.0,257413000.0,270707000.0,265446000.0,230713000.0
Accrued Liabilities,us-gaap_EmployeeRelatedLiabilitiesCurrent,157068000.0,158392000.0,149760000.0,162203000.0,170646000.0,137445000.0
Accounts Payable and Accrued Expenses,us-gaap_AccountsPayableAndOtherAccruedLiabilitiesCurrent,100012000.0,88290000.0,73901000.0,64019000.0,61736000.0,69014000.0
Lease Liabilities,us-gaap_OperatingLeaseLiabilityCurrent,16695000.0,16283000.0,18394000.0,17447000.0,15845000.0,13575000.0
Other Non Current Liabilities,us-gaap_OtherLiabilitiesNoncurrent,28542000.0,32453000.0,40753000.0,36435000.0,36550000.0,23127000.0
Total Non Current Liabilities,us-gaap_LiabilitiesNoncurrent,644771000.0,660404000.0,655553000.0,570261000.0,421409000.0,396052000.0
Long-Term Lease Liabilities,us-gaap_OperatingLeaseLiabilityNoncurrent,97166000.0,93816000.0,86809000.0,105270000.0,121922000.0,107543000.0
Long Term Debt,us-gaap_LongTermDebt,348106000.0,347843000.0,347581000.0,,,
"Long-Term Deferred Tax Liability, net",us-gaap_DeferredIncomeTaxLiabilitiesNet,170957000.0,186292000.0,180410000.0,205206000.0,187937000.0,165382000.0
Long-Term Debt,us-gaap_LineOfCredit,,,,223350000.0,75000000.0,100000000.0
Total Liabilities and Stockholders' Equity,us-gaap_LiabilitiesAndStockholdersEquity,2084684000.0,2101844000.0,2020479000.0,2018187000.0,2060839000.0,1880131000.0
Redeemable Noncontrolling Interests in Subsidiaries,us-gaap_RedeemableNoncontrollingInterestEquityFairValue,55514000.0,25845000.0,61821000.0,63202000.0,,
Common Stock Shares Issued,us-gaap_CommonStockSharesIssued,,9000.0,,,,
