label,concept,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Profit or Loss,us-gaap_ProfitLoss,268430000.0,304781000.0,234564000.0,272308000.0,336022000.0,277125000.0
"Other Comprehensive Income (Loss), net of tax",us-gaap_OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecreaseAbstract,-12859000.0,26350000.0,-64367000.0,-6252000.0,22013000.0,21275000.0
Foreign Currency Translation Gain (Loss),us-gaap_OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,-687000.0,585000.0,-2329000.0,-7443000.0,6593000.0,6907000.0
Comprehensive Income Including the Noncontrolling Interests in Subsidiaries,us-gaap_ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,255571000.0,331131000.0,170197000.0,266056000.0,358035000.0,298400000.0
Less: Comprehensive Income (Loss) Attributable to Redeemable Noncontrolling Interest in Subsidiaries,fhi_ComprehensiveIncomeNetOfTaxAttributableToRedeemableNoncontrollingInterest,571000.0,-6386000.0,7261000.0,5428000.0,-16251000.0,-11693000.0
Less: Comprehensive Income (Loss) Attributable to Nonredeemable Noncontrolling Interest in Subsidiary,fhi_ComprehensiveIncomeLossNetOfTaxAttributableToNonredeemableNoncontrollingInterest,,,,,,-0.0
"Comprehensive Income Attributable to Federated Hermes, Inc.",us-gaap_ComprehensiveIncomeNetOfTax,256142000.0,324745000.0,177458000.0,271484000.0,341784000.0,286707000.0
Reclassification Adjustment Related to Foreign Currency Items,us-gaap_OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationReclassificationAdjustmentFromAOCIRealizedUponSaleOrLiquidationNetOfTax,,,,,-0.0,-0.0
Reclassification Adjustment Related to Equity Securities,us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesNetOfTax,,,,,-0.0,-0.0
Unrealized Gain (Loss) on Equity Securities,us-gaap_OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,,,,,,0.0
