label,concept,2025-09-30,2025-06-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31,2022-09-30,2022-06-30,2022-03-31
Contract Revenue,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,469446000.0,424844000.0,423540000.0,408456000.0,402583000.0,396371000.0,402656000.0,433232000.0,382189000.0,381143000.0,366008000.0,324764000.0
Compensation and Related,us-gaap_LaborAndRelatedExpense,144563000.0,144872000.0,143270000.0,136027000.0,130748000.0,136546000.0,139123000.0,159883000.0,136878000.0,126668000.0,128086000.0,133965000.0
Distribution,us-gaap_OtherCostAndExpenseOperating,113569000.0,99399000.0,99085000.0,95859000.0,93503000.0,94894000.0,89838000.0,97086000.0,93333000.0,91032000.0,84243000.0,48562000.0
Systems and Communications,us-gaap_CommunicationsAndInformationTechnology,26023000.0,23481000.0,24226000.0,23656000.0,23194000.0,21823000.0,21213000.0,22074000.0,19972000.0,19294000.0,18446000.0,19494000.0
Professional Service Fees,us-gaap_ProfessionalFees,20239000.0,18628000.0,18548000.0,19849000.0,19845000.0,18352000.0,17561000.0,19099000.0,16220000.0,14203000.0,13976000.0,13468000.0
Office and Occupancy,us-gaap_OccupancyNet,10129000.0,9910000.0,9952000.0,9884000.0,9765000.0,9969000.0,10632000.0,11404000.0,12874000.0,10622000.0,10512000.0,11322000.0
Advertising and Promotional,us-gaap_MarketingAndAdvertisingExpense,5264000.0,6146000.0,4576000.0,5378000.0,6621000.0,4306000.0,3857000.0,5109000.0,4342000.0,6496000.0,4736000.0,2732000.0
Travel and Related,us-gaap_TravelAndEntertainmentExpense,4665000.0,4117000.0,3553000.0,4221000.0,3847000.0,3273000.0,4034000.0,3835000.0,3231000.0,3421000.0,3328000.0,1795000.0
Intangible Asset Related,fhi_ImpairmentAndAmortizationOfIntangibleAssets,3556000.0,3503000.0,3196000.0,3504000.0,69392000.0,3235000.0,3451000.0,3418000.0,3326000.0,,,
Other,us-gaap_NonrelatedPartyMember,11986000.0,-2296000.0,-14638000.0,-1664000.0,4951000.0,5392000.0,11523000.0,12935000.0,6847000.0,12627000.0,10363000.0,9477000.0
"Investment Income, net",us-gaap_InvestmentIncomeInterestAndDividend,6473000.0,5734000.0,6513000.0,6080000.0,5988000.0,6736000.0,6160000.0,5249000.0,4820000.0,2599000.0,1577000.0,1093000.0
"Gain (Loss) on Securities, net",us-gaap_GainLossOnInvestments,7632000.0,11213000.0,962000.0,7935000.0,-856000.0,1747000.0,-3438000.0,40000.0,5492000.0,-6825000.0,-20885000.0,-11695000.0
Cash Dividends Per Share (usd per share),us-gaap_CommonStockDividendsPerShareDeclared,0.34,0.34,,,1.31,0.28,0.28,0.28,0.27,0.27,0.27,0.27
Operating Expenses,us-gaap_CostsAndExpensesAbstract,-339994000.0,-307760000.0,-291768000.0,-296714000.0,-361866000.0,-297790000.0,-301232000.0,-334843000.0,-297023000.0,-284363000.0,-273690000.0,-240815000.0
Operating Income,us-gaap_OperatingIncomeLoss,129452000.0,117084000.0,131772000.0,111742000.0,40717000.0,98581000.0,101424000.0,98389000.0,85166000.0,96780000.0,92318000.0,83949000.0
Interest Expense,us-gaap_InterestAndDebtExpense,-3182000.0,-3170000.0,-3179000.0,-3170000.0,-3159000.0,-3149000.0,-3133000.0,-3118000.0,-3125000.0,-3302000.0,-3350000.0,-1222000.0
"Other, net",us-gaap_OtherNonoperatingIncomeExpense,-48000.0,-35000.0,-27000.0,16000.0,-34000.0,103000.0,-8000.0,-15000.0,122000.0,-38000.0,-13000.0,83000.0
Nonoperating Income/Expense,us-gaap_NonoperatingIncomeExpense,10875000.0,13742000.0,4269000.0,10861000.0,1939000.0,5437000.0,-419000.0,2156000.0,7309000.0,-7566000.0,-22671000.0,-11741000.0
Income Before Tax from Continuing Operations,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,140327000.0,130826000.0,136041000.0,122603000.0,42656000.0,104018000.0,101005000.0,100545000.0,92475000.0,89214000.0,69647000.0,72208000.0
Income Tax Expense,us-gaap_IncomeTaxExpenseBenefit,-34232000.0,-34135000.0,-32165000.0,-32262000.0,-23431000.0,-29008000.0,-26739000.0,-27543000.0,-21009000.0,-21640000.0,-18889000.0,-17611000.0
Net Income,us-gaap_NetIncomeLoss,104126000.0,91000000.0,101134000.0,87538000.0,21027000.0,75033000.0,75026000.0,72175000.0,69601000.0,69479000.0,57657000.0,55863000.0
Profit or Loss,us-gaap_ProfitLoss,106095000.0,96691000.0,103876000.0,90341000.0,19225000.0,75010000.0,74266000.0,73002000.0,71466000.0,67574000.0,50758000.0,54597000.0
Net Income Attributable to Noncontrolling Interest,us-gaap_NetIncomeLossAttributableToNoncontrollingInterest,-1969000.0,-5691000.0,-2742000.0,-2803000.0,1802000.0,23000.0,760000.0,-827000.0,-1865000.0,1905000.0,6899000.0,1266000.0
Basic Net Income Available to Common Shareholders,us-gaap_NetIncomeLossAvailableToCommonStockholdersBasic,,86857000.0,,,16294000.0,,,,,,,
Diluted Net Income Available to Common Shareholders,us-gaap_NetIncomeLossAvailableToCommonStockholdersDiluted,,86857000.0,,,16294000.0,,,,,,,
Cash dividends per share (usd per share),us-gaap_CommonStockDividendsPerShareDeclared,,,0.31,0.31,,,,,,,,
Earnings Per Share (Basic),us-gaap_EarningsPerShareBasic,1.34,1.16,1.25,1.06,0.2,0.89,0.86,0.81,0.78,0.78,0.64,0.61
Earnings Per Share (Diluted),us-gaap_EarningsPerShareDiluted,1.34,1.16,1.25,1.06,0.2,0.89,0.86,0.81,0.78,0.78,0.64,0.61
