rating,action,priceTarget,priceTargetOld,priceTargetNew,upsidePct,date,source,retrieved
Strong Buy,Maintains,$158 → $180,158.0,180.0,24.91,2026-02-06,https://stockanalysis.com/stocks/gl/ratings/,2026-02-13
Buy,Maintains,$180 → $181,180.0,181.0,25.61,2026-02-05,https://stockanalysis.com/stocks/gl/ratings/,2026-02-13
Strong Buy,Maintains,$182 → $199,182.0,199.0,38.1,2025-12-11,https://stockanalysis.com/stocks/gl/ratings/,2026-02-13
Buy,Maintains,$179 → $177,179.0,177.0,22.83,2025-11-17,https://stockanalysis.com/stocks/gl/ratings/,2026-02-13
Buy,Maintains,$160 → $162,160.0,162.0,12.42,2025-10-28,https://stockanalysis.com/stocks/gl/ratings/,2026-02-13
Strong Buy,Maintains,$150 → $158,150.0,158.0,9.65,2025-10-24,https://stockanalysis.com/stocks/gl/ratings/,2026-02-13
Buy,Maintains,$172 → $170,172.0,170.0,17.97,2025-10-24,https://stockanalysis.com/stocks/gl/ratings/,2026-02-13
Buy,Maintains,$150 → $172,150.0,172.0,19.36,2025-10-08,https://stockanalysis.com/stocks/gl/ratings/,2026-02-13
Buy,Maintains,$166 → $171,166.0,171.0,18.67,2025-08-18,https://stockanalysis.com/stocks/gl/ratings/,2026-02-13
Hold → Buy,Upgrades,$135 → $166,135.0,166.0,15.2,2025-08-05,https://stockanalysis.com/stocks/gl/ratings/,2026-02-13
Hold,Maintains,$114 → $149,114.0,149.0,3.4,2025-07-30,https://stockanalysis.com/stocks/gl/ratings/,2026-02-13
Buy,Maintains,$155 → $160,155.0,160.0,11.03,2025-07-29,https://stockanalysis.com/stocks/gl/ratings/,2026-02-13
Buy,Maintains,$145 → $155,145.0,155.0,7.56,2025-07-28,https://stockanalysis.com/stocks/gl/ratings/,2026-02-13
Buy,Maintains,$144 → $150,144.0,150.0,4.09,2025-07-25,https://stockanalysis.com/stocks/gl/ratings/,2026-02-13
Hold,Maintains,$127 → $135,127.0,135.0,-6.32,2025-07-25,https://stockanalysis.com/stocks/gl/ratings/,2026-02-13
Strong Buy,Initiates,$150,,150.0,4.09,2025-07-15,https://stockanalysis.com/stocks/gl/ratings/,2026-02-13
