label,concept,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Net Income,us-gaap_NetIncomeLoss,1070762000.0,970755000.0,739704000.0,744959000.0,731773000.0,760790000.0
Unrealized holding gains (losses) arising during period,us-gaap_OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodBeforeTax,-630042000.0,671211000.0,-5332818000.0,-492267000.0,1493200000.0,1959596000.0
Other reclassification adjustments included in net income,us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesBeforeTax,3764000.0,80238000.0,32377000.0,-31710000.0,32809000.0,
Foreign exchange adjustment on fixed maturities recorded at fair value,gl_OtherComprehensiveIncomeLossForeignExchangeIncreaseDecreaseOnSecuritiesRecordedAtFairValueBeforeTax,3469000.0,-715000.0,1749000.0,4632000.0,,
Total unrealized investment gains (losses),us-gaap_OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentBeforeTax,-622809000.0,750734000.0,,,,1958165000.0
"Unrealized gains (losses) on investments, net of tax",us-gaap_OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,-492022000.0,593076000.0,-4185962000.0,-410282000.0,1192922000.0,1546952000.0
Less applicable tax (expense) benefit,us-gaap_OtherComprehensiveIncomeLossAvailableForSaleSecuritiesTax,6073000.0,-902000.0,27889000.0,16281000.0,-5573000.0,-6755000.0
,,,,,,,
Change in discount rate on future policy benefits,gl_OCILiabilityForFuturePolicyBenefitChangeInDiscountRate,1567530000.0,-731883000.0,,,,
"Future policy benefit adjustments, net of tax",gl_OCILiabilityForFuturePolicyBenefitAdjustmentsNetOfTax,1238349000.0,-578187000.0,,,,
"Foreign exchange translation adjustments, other than securities",us-gaap_OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentBeforeTax,-33516000.0,8102000.0,-25219000.0,-4955000.0,14230000.0,7042000.0
"Foreign exchange translation adjustments, other than securities, net of tax",us-gaap_OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,-26476000.0,6400000.0,-19923000.0,-3915000.0,11244000.0,5563000.0
Amortization of pension costs,us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansBeforeTax,-474000.0,390000.0,-13754000.0,-20797000.0,-16632000.0,-8474000.0
Plan amendments,us-gaap_OtherComprehensiveIncomeDefinedBenefitPlanNetPriorServiceCostCreditArisingDuringPeriodBeforeTax,1212000.0,0.0,0.0,4565000.0,0.0,0.0
Experience gain (loss),us-gaap_OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansNetUnamortizedGainLossArisingDuringPeriodBeforeTax,-29659000.0,3907000.0,-119055000.0,-61299000.0,43169000.0,40636000.0
Pension adjustments,us-gaap_OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentBeforeTax,-28921000.0,4297000.0,-132809000.0,-77531000.0,26537000.0,32162000.0
"Pension adjustments, net of tax",us-gaap_OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax,22848000.0,-3395000.0,104920000.0,61250000.0,-20964000.0,-25407000.0
Other comprehensive income (loss),us-gaap_OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,742699000.0,17894000.0,-4093297000.0,-351661000.0,1184414000.0,1525355000.0
Comprehensive income (loss),us-gaap_ComprehensiveIncomeNetOfTax,1813461000.0,988649000.0,-3353593000.0,393298000.0,1916187000.0,2286145000.0
,,,,,,,
unrealized investment gains (losses),us-gaap_OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentBeforeTax,,,-5298692000.0,,,
,,,,,,,
Unrealized gains (losses) attributable to deferred acquisition costs,gl_OtherComprehensiveIncomeGainLossOnDeferredAcquisitionCostsPeriodIncreaseDecreaseBeforeTax,,,9707000.0,1628000.0,1533000.0,-2218000.0
"Unrealized gains (losses) attributable to deferred acquisition costs, net of tax",gl_OtherComprehensiveIncomeGainLossOnDeferredAcquisitionCostsPeriodIncreaseDecreaseNetOfTax,,,7668000.0,1286000.0,1212000.0,-1753000.0
Unrealized gains (losses),us-gaap_OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentBeforeTax,,,,-519345000.0,1510033000.0,
Reclassifications adjustments included in net income,us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesBeforeTax,,,,,,-13837000.0
Foreign exchange adjustment on securities recorded at fair value,gl_ForeignExchangeIncreaseDecreaseOnSecuritiesRecordedAtFairValueBeforeTax,,,,,2330000.0,1151000.0
