label,concept,2025-03-31,2024-03-31,2023-06-30,2023-03-31,2022-09-30,2022-06-30,2022-03-31
Net Cash from Operating Activities,us-gaap_NetCashProvidedByUsedInOperatingActivities,431887000.0,350806000.0,,477330000.0,,,397133000.0
"Proceeds from Sale of Debt Securities, ",us-gaap_ProceedsFromSaleOfAvailableForSaleSecuritiesDebt,53911000.0,27853000.0,130119000.0,15705000.0,127695000.0,143911000.0,75116000.0
"Proceeds from Maturities, Prepayments and Calls of Securities",us-gaap_ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,58796000.0,59871000.0,,61560000.0,,,115160000.0
Proceeds from Sale and Maturity of Other Investments,us-gaap_ProceedsFromSaleAndMaturityOfOtherInvestments,18927000.0,573000.0,,1950000.0,,,20929000.0
Total investments sold or matured,us-gaap_ProceedsFromSaleMaturityAndCollectionsOfInvestments,137871000.0,96193000.0,,79215000.0,,,211205000.0
Mortgage loans,gl_ProceedsFromMaturitiesPrepaymentsAndCallsOfMortgages,35471000.0,58406000.0,,,,,
Fixed maturities—available for sale,us-gaap_PaymentsToAcquireAvailableForSaleSecuritiesDebt,236058000.0,682427000.0,,285505000.0,,,339145000.0
Other long-term investments,us-gaap_PaymentsToAcquireOtherInvestments,15889000.0,80468000.0,,47898000.0,,,122010000.0
Total investments acquired,us-gaap_PaymentsToAcquireInvestments,-287418000.0,-821301000.0,,-333403000.0,,,-461155000.0
Net (increase) decrease in policy loans,us-gaap_PaymentsForProceedsFromPolicyLoans,-8506000.0,-7621000.0,,-7870000.0,,,-2324000.0
Net (increase) decrease in short-term investments,us-gaap_PaymentsForProceedsFromShortTermInvestments,-49031000.0,23327000.0,,39744000.0,,,11801000.0
"Payments for Property, Plant and Equipment",us-gaap_PaymentsToAcquirePropertyPlantAndEquipment,-11746000.0,-9106000.0,,-8210000.0,,,-6981000.0
Investments in low-income housing interests,gl_InvestmentInLowIncomeHousingInterests,-21124000.0,-13428000.0,,-17246000.0,,,-27870000.0
Net Cash from Investing Activities,us-gaap_NetCashProvidedByUsedInInvestingActivities,-239954000.0,-731936000.0,,-247770000.0,,,-275324000.0
Proceeds from Issuance of Common Stock,us-gaap_ProceedsFromIssuanceOfCommonStock,81394000.0,29763000.0,,37024000.0,,,25931000.0
Payments of Dividends,us-gaap_PaymentsOfDividends,-20146000.0,-21117000.0,,-20071000.0,,,-19687000.0
Net borrowing from Federal Home Loan Bank (FHLB),us-gaap_ProceedsFromFederalHomeLoanBankBorrowings,70000000.0,,,,,,
Net borrowing (repayment) of commercial paper,us-gaap_ProceedsFromRepaymentsOfShortTermDebtMaturingInThreeMonthsOrLess,-58474000.0,,,,,,
Proceeds from commercial paper with original maturities greater than 90 days,us-gaap_ProceedsFromShortTermDebtMaturingInMoreThanThreeMonths,184470000.0,,,,,,
Repayment of commercial paper with original maturities greater than 90 days,us-gaap_RepaymentsOfShortTermDebtMaturingInMoreThanThreeMonths,-134506000.0,,,,,,
Acquisition of treasury stock,us-gaap_PaymentsForRepurchaseOfCommonStock,-264544000.0,-23469000.0,,-179276000.0,,,-119482000.0
Net receipts (payments) from deposit-type products,us-gaap_NetChangeAnnuitiesAndInvestmentCertificates,17342000.0,124475000.0,,-54487000.0,,,-13810000.0
Net Cash from Financing Activities,us-gaap_NetCashProvidedByUsedInFinancingActivities,-124464000.0,356956000.0,,-151740000.0,,,-84700000.0
Effect of foreign exchange rate changes on cash,us-gaap_EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,-524000.0,4565000.0,,1729000.0,,,-1644000.0
Net Change in Cash,us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,66945000.0,-19609000.0,,79549000.0,,,35465000.0
Net borrowing from FHLB,us-gaap_ProceedsFromShortTermDebt,,242000000.0,,,,,
Short-term borrowings from FHLB,us-gaap_ProceedsFromShortTermDebt,,,,45000000.0,,,
Proceeds from (Repayments of) Commercial Paper,us-gaap_ProceedsFromRepaymentsOfCommercialPaper,,5304000.0,,20070000.0,,,42348000.0
