label,concept,2025-09-30,2025-06-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31,2022-09-30,2022-06-30,2022-03-31
Net Income,us-gaap_NetIncomeLoss,387843000.0,252749000.0,254563000.0,302994000.0,258355000.0,254217000.0,257083000.0,215260000.0,223610000.0,186779000.0,177004000.0,164361000.0
Unrealized holding gains (losses) arising during period,us-gaap_OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodBeforeTax,432361000.0,-134318000.0,215128000.0,869743000.0,-263012000.0,-305016000.0,-1068091000.0,-333329000.0,469119000.0,-1368910000.0,-2042210000.0,-2292922000.0
Other reclassification adjustments included in net income,us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesBeforeTax,9933000.0,10603000.0,-3341000.0,-2408000.0,7400000.0,-2412000.0,851000.0,49425000.0,32590000.0,12142000.0,22259000.0,-4030000.0
Foreign exchange adjustment on fixed maturities recorded at fair value,gl_OtherComprehensiveIncomeLossForeignExchangeIncreaseDecreaseOnSecuritiesRecordedAtFairValueBeforeTax,606000.0,-1328000.0,-430000.0,-954000.0,-117000.0,1617000.0,1603000.0,-10567000.0,9567000.0,2856000.0,1835000.0,284000.0
Total unrealized investment gains (losses),us-gaap_OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentBeforeTax,442900000.0,-125043000.0,211357000.0,866381000.0,-255729000.0,-305811000.0,-1065637000.0,-294471000.0,,-1353912000.0,,
"Unrealized gains (losses) on investments, net of tax",us-gaap_OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,349891000.0,-98779000.0,166970000.0,684440000.0,-202028000.0,-241589000.0,-841855000.0,-232635000.0,403908000.0,-1069593000.0,-1594306000.0,-1814369000.0
Less applicable tax (expense) benefit,us-gaap_OtherComprehensiveIncomeLossAvailableForSaleSecuritiesTax,14000.0,12000.0,15000.0,25000.0,22000.0,27000.0,7000.0,-66000.0,-11000.0,721000.0,723000.0,722000.0
,,,,,,,,,,,,,
Change in discount rate on future policy benefits,gl_OCILiabilityForFuturePolicyBenefitChangeInDiscountRate,-423443000.0,92229000.0,-139352000.0,-1247366000.0,606384000.0,704596000.0,1687310000.0,306211000.0,-720890000.0,,,
"Future policy benefit adjustments, net of tax",gl_OCILiabilityForFuturePolicyBenefitAdjustmentsNetOfTax,-334519000.0,72862000.0,-110089000.0,-985420000.0,479042000.0,556632000.0,1332976000.0,241906000.0,-569503000.0,,,
"Foreign exchange translation adjustments, other than securities",us-gaap_OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentBeforeTax,-5627000.0,16300000.0,2421000.0,7296000.0,641000.0,-12597000.0,-7881000.0,10358000.0,-6516000.0,-21379000.0,-17979000.0,4138000.0
"Foreign exchange translation adjustments, other than securities, net of tax",us-gaap_OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,-4445000.0,12875000.0,1913000.0,5764000.0,506000.0,-9951000.0,-6226000.0,8182000.0,-5148000.0,-16891000.0,-14203000.0,3269000.0
Pension adjustments,us-gaap_OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentBeforeTax,-64000.0,-59000.0,-68000.0,-118000.0,-118000.0,-118000.0,-35000.0,323000.0,48000.0,-3438000.0,-3441000.0,-3437000.0
"Pension adjustments, net of tax",us-gaap_OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax,50000.0,47000.0,53000.0,93000.0,96000.0,91000.0,28000.0,-257000.0,-37000.0,2717000.0,2718000.0,2715000.0
Other comprehensive income (loss),us-gaap_OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,10977000.0,-12995000.0,58847000.0,-295123000.0,277616000.0,305183000.0,484923000.0,17196000.0,-170780000.0,-1080056000.0,-1600988000.0,-1808088000.0
Comprehensive income (loss),us-gaap_ComprehensiveIncomeNetOfTax,398820000.0,239754000.0,313410000.0,7871000.0,535971000.0,559400000.0,742006000.0,232456000.0,52830000.0,-893277000.0,-1423984000.0,-1643727000.0
Unrealized gains (losses),us-gaap_OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentBeforeTax,,,,,,,,,,,-2018116000.0,-2296668000.0
unrealized investment gains (losses),us-gaap_OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentBeforeTax,,,,,,,,,511276000.0,,,
,,,,,,,,,,,,,
Unrealized gains (losses) attributable to deferred acquisition costs,gl_OtherComprehensiveIncomeGainLossOnDeferredAcquisitionCostsPeriodIncreaseDecreaseBeforeTax,,,,,,,,,,4699000.0,6079000.0,376000.0
"Unrealized gains (losses) attributable to deferred acquisition costs, net of tax",gl_OtherComprehensiveIncomeGainLossOnDeferredAcquisitionCostsPeriodIncreaseDecreaseNetOfTax,,,,,,,,,,3711000.0,4803000.0,297000.0
Provision for credit losses,us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForWritedownOfSecuritiesBeforeTax,,,,,,,,,,,,
