label,concept,2025-09-30,2025-06-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31,2022-09-30,2022-06-30,2022-03-31
Revenue,us-gaap_PremiumsEarnedNet,1512988000.0,1481287000.0,1480422000.0,1455407000.0,1440246000.0,1416139000.0,1384118000.0,1326406000.0,1321318000.0,1291273000.0,1292608000.0,1308356000.0
Net investment income,us-gaap_NetInvestmentIncome,286013000.0,282169000.0,280614000.0,284964000.0,285636000.0,282578000.0,266926000.0,261244000.0,257105000.0,245625000.0,243642000.0,243834000.0
Realized gains (losses),us-gaap_RealizedInvestmentGainsLosses,-4987000.0,-18574000.0,85000.0,-2192000.0,-12589000.0,-11799000.0,-2193000.0,-45843000.0,-30927000.0,-29155000.0,-30446000.0,-7244000.0
Other income,us-gaap_OtherIncome,955000.0,49000.0,69000.0,42000.0,74000.0,76000.0,50000.0,85000.0,50000.0,398000.0,299000.0,164000.0
Total policyholder benefits,us-gaap_PolicyholderBenefitsAndClaimsIncurredNet,616622000.0,755998000.0,750765000.0,688184000.0,735694000.0,731793000.0,719044000.0,717510000.0,707927000.0,700028000.0,715326000.0,753248000.0
Amortization of deferred acquisition costs,us-gaap_DeferredPolicyAcquisitionCostAmortizationExpense,114074000.0,111401000.0,105515000.0,104310000.0,101915000.0,99478000.0,95757000.0,94080000.0,92322000.0,156129000.0,155205000.0,158384000.0
"Commissions, premium taxes, and non-deferred acquisition costs",gl_NonDeferredAcquisitionCostsAndPremiumTaxes,157494000.0,157411000.0,164323000.0,149693000.0,149802000.0,148110000.0,138677000.0,138459000.0,137797000.0,93028000.0,93595000.0,90813000.0
Other operating expense,us-gaap_OtherCostAndExpenseOperating,111562000.0,108293000.0,108746000.0,104874000.0,99108000.0,93214000.0,85870000.0,86033000.0,84171000.0,88140000.0,89658000.0,84352000.0
Total benefits and expenses,us-gaap_BenefitsLossesAndExpenses,-1035886000.0,-1167988000.0,-1164341000.0,-1078449000.0,-1117923000.0,-1101216000.0,-1065303000.0,-1061900000.0,-1047084000.0,-1061290000.0,-1075612000.0,-1106741000.0
Interest Expense,us-gaap_InterestExpense,36134000.0,34885000.0,34992000.0,31388000.0,31404000.0,28621000.0,25955000.0,25818000.0,24867000.0,23965000.0,21828000.0,19944000.0
Income Before Tax from Continuing Operations,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,477102000.0,313299000.0,316081000.0,376958000.0,322323000.0,314923000.0,318815000.0,264506000.0,274234000.0,229983000.0,216996000.0,201615000.0
Income Tax Expense,us-gaap_IncomeTaxExpenseBenefit,-89259000.0,-60550000.0,-61518000.0,-73964000.0,-63968000.0,-60706000.0,-61732000.0,-49246000.0,-50624000.0,-43204000.0,-39992000.0,-37254000.0
Net Income,us-gaap_NetIncomeLoss,387843000.0,252749000.0,254563000.0,302994000.0,258355000.0,254217000.0,257083000.0,215260000.0,223610000.0,186779000.0,177004000.0,164361000.0
Earnings Per Share (Basic),us-gaap_EarningsPerShareBasic,4.81,3.09,3.05,3.45,2.83,2.71,2.72,2.26,2.32,1.92,1.8,1.66
Earnings Per Share (Diluted),us-gaap_EarningsPerShareDiluted,4.73,3.05,3.01,3.44,2.83,2.67,2.68,2.24,2.28,1.9,1.79,1.64
Other policyholder benefits,us-gaap_PolicyholderBenefitsAndClaimsIncurredOther,,,,,,,9578000.0,8922000.0,8988000.0,6986000.0,7074000.0,7050000.0
Life policyholder benefits,us-gaap_PolicyholderBenefitsAndClaimsIncurredLifeAndAnnuity,,,,,,,515676000.0,512664000.0,507977000.0,494627000.0,511034000.0,549343000.0
Health policyholder benefits,us-gaap_PolicyholderBenefitsAndClaimsIncurredHealthCare,,,,,,,193790000.0,195924000.0,190962000.0,198415000.0,197218000.0,196855000.0
