label,concept,2025-09-30,2025-06-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30
"Repurchase of common stock, Shares",us-gaap_StockRepurchasedAndRetiredDuringPeriodShares,,,0.0,0.0,,,,
Repurchase of common stock,us-gaap_StockRepurchasedAndRetiredDuringPeriodValue,,,,,,,50543000.0,
Repurchase of common stock (in shares),us-gaap_StockRepurchasedAndRetiredDuringPeriodShares,,,,,,,1439792.0,
Net Income,us-gaap_NetIncomeLoss,50865000.0,39776000.0,45560000.0,46093000.0,11591000.0,38334000.0,38461000.0,34300000.0
Unrealized gain (loss) on investments,us-gaap_OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,118000.0,-6000.0,179000.0,,,,,
Unrealized loss on investments,us-gaap_OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentNetOfTaxPortionAttributableToParent,,,,733000.0,-63000.0,-173000.0,,-491000.0
Unrealized income (loss) on investments,us-gaap_OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentNetOfTaxPortionAttributableToParent,,,,,,,6000.0,
Exercise of options and restricted stock units,hrmy_StockIssuedDuringPeriodValueStockOptionsAndRestrictedStockUnitsExercised,,,3132000.0,,,-153000.0,,
"Exercise of options and restricted stock units, Shares",hrmy_StockIssuedDuringPeriodSharesStockOptionsAndRestrictedStockUnitsExercised,,,248786.0,,,22133.0,,
Exercise of options,us-gaap_StockIssuedDuringPeriodValueStockOptionsExercised,91000.0,1329000.0,,,,,,
Exercise of stock options,us-gaap_StockIssuedDuringPeriodValueStockOptionsExercised,,,,347000.0,573000.0,,245000.0,674000.0
"Exercise of stock options , Shares",us-gaap_StockIssuedDuringPeriodSharesStockOptionsExercised,,,,197126.0,42557.0,14120.0,,
"Exercise of options, Shares",us-gaap_StockIssuedDuringPeriodSharesStockOptionsExercised,65278.0,144196.0,,,,,,
"Exercise of stock options, Shares",us-gaap_StockIssuedDuringPeriodSharesStockOptionsExercised,,,,,,,12078.0,45040.0
Stock-based compensation,us-gaap_AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,10969000.0,11456000.0,12499000.0,11048000.0,11088000.0,10394000.0,7991000.0,7648000.0
