label,concept,2025-09-30,2025-06-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31,2022-09-30,2022-06-30,2022-03-31
Cash and Cash Equivalents,us-gaap_CashAndCashEquivalentsAtCarryingValue,646999000.0,546050000.0,488998000.0,387367000.0,317296000.0,332981000.0,324603000.0,317415000.0,287962000.0,261343000.0,236533000.0,224499000.0
Inventory,us-gaap_InventoryNet,6882000.0,6100000.0,6384000.0,6915000.0,5643000.0,5857000.0,5087000.0,4854000.0,4090000.0,3900000.0,4208000.0,4597000.0
Long-Term Investments,us-gaap_LongTermInvestments,105831000.0,107008000.0,103245000.0,94222000.0,87178000.0,81244000.0,67700000.0,58651000.0,48538000.0,8280000.0,4747000.0,
"Property, Plant and Equipment",us-gaap_PropertyPlantAndEquipmentNet,1440000.0,1376000.0,1378000.0,750000.0,754000.0,213000.0,428000.0,572000.0,470000.0,680000.0,695000.0,748000.0
Intangible Assets,us-gaap_IntangibleAssetsNetExcludingGoodwill,95380000.0,101341000.0,107302000.0,119225000.0,125186000.0,131147000.0,143069000.0,149031000.0,154992000.0,166914000.0,172876000.0,178837000.0
Accounts Receivable,us-gaap_AccountsReceivableNetCurrent,100651000.0,92981000.0,105969000.0,81502000.0,83157000.0,79719000.0,67264000.0,63812000.0,52575000.0,55065000.0,49822000.0,38133000.0
Accounts Payable,us-gaap_AccountsPayableCurrent,26341000.0,28301000.0,17459000.0,10532000.0,22683000.0,15144000.0,6539000.0,6563000.0,6414000.0,10049000.0,6661000.0,6904000.0
Accrued expenses,hrmy_AccruedLiabilitiesOtherThanAccruedCompensationCurrent,161302000.0,118293000.0,112701000.0,109673000.0,91644000.0,91699000.0,,,,,,
Prepaid Expenses,us-gaap_PrepaidExpenseCurrent,23308000.0,18363000.0,16470000.0,16057000.0,16127000.0,12894000.0,14269000.0,9442000.0,11399000.0,11246000.0,10827000.0,9618000.0
Total Non Current Assets,us-gaap_AssetsNoncurrent,369418000.0,416654000.0,412843000.0,405730000.0,400039000.0,367482000.0,314768000.0,304542000.0,297005000.0,261382000.0,182332000.0,183748000.0
