label,concept,2025-09-27,2025-06-28,2025-03-29,2024-09-28,2024-06-29,2024-03-30,2023-09-30,2023-07-01,2023-04-01,2022-10-01,2022-07-02,2022-04-02
Cash and cash equivalents,us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,,,8947000000.0,8785000000.0,11287000000.0,6923000000.0,7621000000.0,8349000000.0,8232000000.0,4529000000.0,4390000000.0,6215000000.0
Cash and Cash Equivalents,us-gaap_CashAndCashEquivalentsAtCarryingValue,11141000000.0,9643000000.0,,,,,,,,,,
Current Marketable Securities,us-gaap_AvailableForSaleSecuritiesDebtSecuritiesCurrent,19794000000.0,11563000000.0,12101000000.0,15301000000.0,17986000000.0,14388000000.0,17409000000.0,15908000000.0,19302000000.0,18030000000.0,22654000000.0,32481000000.0
Inventory,us-gaap_InventoryNet,11489000000.0,11377000000.0,12281000000.0,12062000000.0,11244000000.0,11494000000.0,11466000000.0,11984000000.0,12993000000.0,12831000000.0,12174000000.0,11935000000.0
Goodwill,us-gaap_Goodwill,23912000000.0,23912000000.0,24693000000.0,24680000000.0,27442000000.0,27440000000.0,27591000000.0,27591000000.0,27591000000.0,27591000000.0,27587000000.0,27011000000.0
Intangible Assets,us-gaap_IntangibleAssetsNetExcludingGoodwill,2877000000.0,3057000000.0,3568000000.0,3975000000.0,4383000000.0,4675000000.0,4970000000.0,5173000000.0,5567000000.0,6268000000.0,6427000000.0,6813000000.0
Accounts Payable,us-gaap_AccountsPayableCurrent,10268000000.0,10666000000.0,10896000000.0,11074000000.0,9618000000.0,8559000000.0,8669000000.0,8757000000.0,8083000000.0,7133000000.0,7945000000.0,7210000000.0
Accounts Receivable,us-gaap_AccountsReceivableNetCurrent,3202000000.0,2360000000.0,3064000000.0,3121000000.0,3131000000.0,3323000000.0,2843000000.0,2996000000.0,3847000000.0,7469000000.0,6063000000.0,7074000000.0
Other Non Current Assets,us-gaap_OtherAssetsNoncurrent,12280000000.0,7283000000.0,7057000000.0,9006000000.0,14329000000.0,11947000000.0,13413000000.0,12671000000.0,12068000000.0,10134000000.0,8227000000.0,7210000000.0
Total Current Assets,us-gaap_AssetsCurrent,51731000000.0,43375000000.0,42134000000.0,46137000000.0,50829000000.0,42608000000.0,43811000000.0,43356000000.0,48314000000.0,49263000000.0,50588000000.0,62568000000.0
Other Current Assets,us-gaap_OtherAssetsCurrent,6105000000.0,8432000000.0,5741000000.0,6868000000.0,7181000000.0,6480000000.0,4472000000.0,4119000000.0,3940000000.0,6348000000.0,5275000000.0,4627000000.0
Assets Held-for-sale,intc_AssetsHeldForSale,,,,,,,,,,56000000.0,32000000.0,236000000.0
Total Assets,us-gaap_Assets,204514000000.0,192520000000.0,192242000000.0,193542000000.0,206205000000.0,192733000000.0,188837000000.0,185629000000.0,185303000000.0,174841000000.0,170418000000.0,176356000000.0
"Property, plant, and equipment, net of accumulated depreciation of $105,063 ($102,193 as of December 28, 2024)",us-gaap_PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAfterAccumulatedDepreciationAndAmortization,105047000000.0,,,,,,,,,,,
Equity Investments,intc_EquityInvestments,8667000000.0,5383000000.0,5027000000.0,5496000000.0,5824000000.0,6139000000.0,5700000000.0,5893000000.0,6029000000.0,5822000000.0,5929000000.0,6036000000.0
