label,concept,2025-09-27,2025-06-28,2025-03-29,2024-09-28,2024-06-29,2024-03-30,2023-09-30,2023-07-01,2023-04-01,2022-10-01,2022-07-02,2022-04-02
Contract Revenue,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,13653000000.0,12859000000.0,12667000000.0,13284000000.0,12833000000.0,12724000000.0,14158000000.0,12949000000.0,11715000000.0,15338000000.0,15321000000.0,18353000000.0
Restructuring and other charges,us-gaap_RestructuringSettlementAndImpairmentProvisions,175000000.0,1890000000.0,156000000.0,5622000000.0,943000000.0,348000000.0,816000000.0,200000000.0,64000000.0,664000000.0,87000000.0,-1211000000.0
"Gains (losses) on equity investments, net",us-gaap_EquitySecuritiesFvNiGainLoss,221000000.0,502000000.0,-112000000.0,-159000000.0,-120000000.0,205000000.0,-191000000.0,-24000000.0,169000000.0,-151000000.0,-90000000.0,4323000000.0
Cost of Goods and Services Sold,us-gaap_CostOfGoodsAndServicesSold,-8435000000.0,-9317000000.0,-7995000000.0,-11287000000.0,-8286000000.0,-7507000000.0,-8140000000.0,-8311000000.0,-7707000000.0,-8803000000.0,-9734000000.0,-9109000000.0
Gross Profit,us-gaap_GrossProfit,5218000000.0,3542000000.0,4672000000.0,1997000000.0,4547000000.0,5217000000.0,6018000000.0,4638000000.0,4008000000.0,6535000000.0,5587000000.0,9244000000.0
Research and Development Expense,us-gaap_ResearchAndDevelopmentExpense,3231000000.0,3684000000.0,3640000000.0,4049000000.0,4239000000.0,4382000000.0,3870000000.0,4080000000.0,4109000000.0,4302000000.0,4400000000.0,4362000000.0
"Selling, General and Administrative Expense",us-gaap_SellingGeneralAndAdministrativeExpense,1129000000.0,1144000000.0,1177000000.0,1383000000.0,1329000000.0,1556000000.0,1340000000.0,1374000000.0,1303000000.0,1744000000.0,1800000000.0,1752000000.0
Operating Expenses,us-gaap_OperatingExpenses,-4535000000.0,-6718000000.0,-4973000000.0,-11054000000.0,-6511000000.0,-6286000000.0,-6026000000.0,-5654000000.0,-5476000000.0,-6710000000.0,-6287000000.0,-4903000000.0
Operating Income,us-gaap_OperatingIncomeLoss,683000000.0,-3176000000.0,-301000000.0,-9057000000.0,-1964000000.0,-1069000000.0,-8000000.0,-1016000000.0,-1468000000.0,-175000000.0,-700000000.0,4341000000.0
Nonoperating Income/Expense,us-gaap_NonoperatingIncomeExpense,3670000000.0,-95000000.0,-173000000.0,130000000.0,80000000.0,145000000.0,147000000.0,224000000.0,141000000.0,138000000.0,-119000000.0,997000000.0
Income Before Tax from Continuing Operations,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,4574000000.0,-2769000000.0,-586000000.0,-9086000000.0,-2004000000.0,-719000000.0,-52000000.0,-816000000.0,-1158000000.0,-188000000.0,-909000000.0,9661000000.0
Income Tax Expense,us-gaap_IncomeTaxExpenseBenefit,-304000000.0,-255000000.0,-301000000.0,-7903000000.0,350000000.0,282000000.0,362000000.0,2289000000.0,-1610000000.0,1207000000.0,455000000.0,-1548000000.0
Net Income,us-gaap_NetIncomeLoss,4063000000.0,-2918000000.0,-821000000.0,-16639000000.0,-1610000000.0,-381000000.0,297000000.0,1481000000.0,-2758000000.0,1019000000.0,-454000000.0,8113000000.0
Profit or Loss,us-gaap_ProfitLoss,4270000000.0,-3024000000.0,-887000000.0,-16989000000.0,-1654000000.0,-437000000.0,310000000.0,1473000000.0,-2768000000.0,,,
Net Income Attributable to Noncontrolling Interest,us-gaap_NetIncomeLossAttributableToNoncontrollingInterest,-207000000.0,106000000.0,66000000.0,350000000.0,44000000.0,56000000.0,-13000000.0,8000000.0,10000000.0,,,
Earnings Per Share (Basic),us-gaap_EarningsPerShareBasic,0.9,-0.67,-0.19,-3.88,-0.38,-0.09,0.07,0.35,-0.66,0.25,-0.11,1.99
Earnings Per Share (Diluted),us-gaap_EarningsPerShareDiluted,0.9,-0.67,-0.19,-3.88,-0.38,-0.09,0.07,0.35,-0.66,0.25,-0.11,1.98
Shares Outstanding (Basic),us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,4514000000.0,4369000000.0,4343000000.0,4292000000.0,4267000000.0,4242000000.0,4202000000.0,4182000000.0,4154000000.0,4118000000.0,4100000000.0,4079000000.0
Shares Outstanding (Diluted),us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,4531000000.0,4369000000.0,4343000000.0,4292000000.0,4267000000.0,4242000000.0,4229000000.0,4196000000.0,4154000000.0,4125000000.0,4100000000.0,4107000000.0
