rating,action,priceTarget,priceTargetOld,priceTargetNew,upsidePct,date,source,retrieved
Hold,Maintains,$39 → $41,39.0,41.0,0.81,2026-01-13,https://stockanalysis.com/stocks/lnc/ratings/,2026-02-13
Hold,Maintains,$42 → $48,42.0,48.0,18.02,2025-12-23,https://stockanalysis.com/stocks/lnc/ratings/,2026-02-13
Buy,Initiates,$52,,52.0,27.86,2025-12-16,https://stockanalysis.com/stocks/lnc/ratings/,2026-02-13
Strong Buy,Maintains,$52 → $59,52.0,59.0,45.07,2025-12-15,https://stockanalysis.com/stocks/lnc/ratings/,2026-02-13
Hold,Maintains,$43 → $44,43.0,44.0,8.19,2025-11-03,https://stockanalysis.com/stocks/lnc/ratings/,2026-02-13
Hold,Maintains,$42 → $43,42.0,43.0,5.73,2025-10-31,https://stockanalysis.com/stocks/lnc/ratings/,2026-02-13
Hold,Maintains,$42 → $43,42.0,43.0,5.73,2025-10-09,https://stockanalysis.com/stocks/lnc/ratings/,2026-02-13
Hold,Maintains,$45 → $46,45.0,46.0,13.11,2025-10-09,https://stockanalysis.com/stocks/lnc/ratings/,2026-02-13
Hold,Maintains,$42 → $46,42.0,46.0,13.11,2025-10-08,https://stockanalysis.com/stocks/lnc/ratings/,2026-02-13
Hold,Maintains,$37 → $38,37.0,38.0,-6.57,2025-10-08,https://stockanalysis.com/stocks/lnc/ratings/,2026-02-13
Hold,Maintains,$40 → $42,40.0,42.0,3.27,2025-10-07,https://stockanalysis.com/stocks/lnc/ratings/,2026-02-13
Buy,Maintains,$58 → $53,58.0,53.0,30.32,2025-10-07,https://stockanalysis.com/stocks/lnc/ratings/,2026-02-13
Hold → Buy,Upgrades,$41 → $58,41.0,58.0,42.61,2025-09-19,https://stockanalysis.com/stocks/lnc/ratings/,2026-02-13
Sell,Initiates,$37,,37.0,-9.02,2025-09-16,https://stockanalysis.com/stocks/lnc/ratings/,2026-02-13
Hold,Maintains,$38 → $41,38.0,41.0,0.81,2025-08-18,https://stockanalysis.com/stocks/lnc/ratings/,2026-02-13
Hold,Maintains,$35 → $37,35.0,37.0,-9.02,2025-08-05,https://stockanalysis.com/stocks/lnc/ratings/,2026-02-13
