label,concept,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Insurance premiums,lnc_PremiumsEarnedExcludingInsuranceCommissionsAndFeesNet,6425000000.0,3672000000.0,6087000000.0,5617000000.0,5372000000.0
Fee income,us-gaap_InsuranceCommissionsAndFees,5402000000.0,5467000000.0,6054000000.0,6887000000.0,6371000000.0
Net investment income,us-gaap_NetInvestmentIncome,5525000000.0,5879000000.0,,,
Realized gain (loss),us-gaap_DebtAndEquitySecuritiesRealizedGainLoss,269000000.0,-4311000000.0,345000000.0,-212000000.0,-513000000.0
Other revenues,us-gaap_OtherIncome,821000000.0,900000000.0,723000000.0,777000000.0,658000000.0
Revenue,us-gaap_Revenues,18442000000.0,11645000000.0,18766000000.0,19230000000.0,17439000000.0
Offset to net investment income,us-gaap_NetInvestmentIncome,,,5515000000.0,6115000000.0,5510000000.0
Benefits,us-gaap_PolicyholderBenefitsAndClaimsIncurredNet,7918000000.0,6138000000.0,12546000000.0,8529000000.0,8677000000.0
Interest credited,us-gaap_InterestCreditedToPolicyholdersAccountBalances,3443000000.0,3248000000.0,2870000000.0,2915000000.0,2923000000.0
Market risk benefit (gain) loss,us-gaap_MarketRiskBenefitChangeInFairValueGainLoss,2677000000.0,2264000000.0,,,
Policyholder liability remeasurement (gain) loss,us-gaap_LiabilityForFuturePolicyBenefitRemeasurementGainLoss,190000000.0,152000000.0,,,
Commissions and other expenses,us-gaap_OtherCostAndExpenseOperating,5590000000.0,5339000000.0,5096000000.0,5791000000.0,5064000000.0
Interest and debt expense,us-gaap_InterestExpenseDebt,336000000.0,331000000.0,283000000.0,270000000.0,284000000.0
Impairment of intangibles,us-gaap_GoodwillAndIntangibleAssetImpairment,0.0,0.0,634000000.0,,
Total expenses,us-gaap_BenefitsLossesAndExpenses,14420000000.0,-12793000000.0,-21596000000.0,-17592000000.0,-17016000000.0
Income Before Tax from Continuing Operations,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,4022000000.0,-1148000000.0,-2830000000.0,1638000000.0,
Income Tax Expense,us-gaap_IncomeTaxExpenseBenefit,747000000.0,-396000000.0,589000000.0,-233000000.0,76000000.0
Net Income,us-gaap_NetIncomeLoss,3275000000.0,-752000000.0,-2241000000.0,1405000000.0,499000000.0
Unrealized investment gain (loss),lnc_OtherComprehensiveIncomeLossUnrealizedInvestmentGainsLosses,-788000000.0,3715000000.0,,,
Market risk benefit non-performance risk gain (loss),us-gaap_OciMarketRiskBenefitInstrumentSpecificCreditRiskGainLossAfterAdjustmentsTax,-924000000.0,-671000000.0,,,
Policyholder liability discount rate remeasurement gain (loss),us-gaap_OciLiabilityForFuturePolicyBenefitGainLossAfterReclassificationAdjustmentTaxParent,157000000.0,-160000000.0,,,
Foreign currency translation adjustment,us-gaap_OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,-3000000.0,8000000.0,-20000000.0,-2000000.0,5000000.0
Funded status of employee benefit plans,us-gaap_OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax,-2000000.0,-16000000.0,-59000000.0,47000000.0,61000000.0
"Total other comprehensive income (loss), net of tax",us-gaap_OtherComprehensiveIncomeLossNetOfTax,-1560000000.0,2876000000.0,-14109000000.0,-2490000000.0,3258000000.0
Comprehensive income (loss),us-gaap_ComprehensiveIncomeNetOfTax,1715000000.0,2124000000.0,-16350000000.0,-1085000000.0,3757000000.0
Income (loss) before taxes,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,,,,423000000.0
Unrealized investment gains (losses),lnc_OtherComprehensiveIncomeLossUnrealizedInvesmentGainsLosses,,,-14030000000.0,-2535000000.0,3192000000.0
Preferred stock dividends declared,us-gaap_PreferredStockDividendsAndOtherAdjustments,-91000000.0,,,,
Basic Net Income Available to Common Shareholders,us-gaap_NetIncomeLossAvailableToCommonStockholdersBasic,3184000000.0,,,,
Earnings Per Share (Basic),us-gaap_EarningsPerShareBasic,18.66,-4.92,-13.11,7.5,2.58
Earnings Per Share (Diluted),us-gaap_EarningsPerShareDiluted,18.41,-4.92,-13.19,7.43,2.56
Cash Dividends Declared Per Common Share (in dollars per share),us-gaap_CommonStockDividendsPerShareDeclared,1.8,1.8,,,
Spark program expense,lnc_StrategicDigitizationExpense,,153000000.0,167000000.0,,
Cash Dividends Declared Per Preferred Share (in dollars per share),us-gaap_PreferredStockDividendsPerShareDeclared,,4098.44,,,
Cash Dividends Declared Per Common Share,us-gaap_CommonStockDividendsPerShareDeclared,,,1.8,1.71,1.62
Amortization of deferred gain (loss) on business sold through reinsurance,lnc_AmortizationOfDeferredGainOnBusinessSoldThroughReinsurance,,-38000000.0,,,
Spark and strategic digitization expense,lnc_StrategicDigitizationExpense,,,,87000000.0,
Amortization of deferred gain on business sold through reinsurance,lnc_AmortizationOfDeferredGainOnBusinessSoldThroughReinsurance,,,-42000000.0,-46000000.0,-41000000.0
Strategic digitization expense,lnc_StrategicDigitizationExpense,,,,,68000000.0
