label,concept,2025-09-30,2025-06-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31,2022-09-30,2022-06-30,2022-03-31
"Fixed maturity available-for-sale securities, at fair value",us-gaap_DebtSecuritiesAvailableForSaleExcludingAccruedInterest,90680000000.0,89386000000.0,88297000000.0,90682000000.0,87174000000.0,87764000000.0,,,,,,
Trading securities,us-gaap_TradingSecuritiesDebt,1853000000.0,1909000000.0,,2206000000.0,2201000000.0,2227000000.0,2788000000.0,2943000000.0,3266000000.0,3580000000.0,3822000000.0,4385000000.0
Equity securities,us-gaap_EquitySecuritiesFvNi,542000000.0,341000000.0,,293000000.0,295000000.0,319000000.0,383000000.0,403000000.0,414000000.0,427000000.0,344000000.0,346000000.0
"Mortgage loans on real estate, net of allowance for credit losses",us-gaap_FinancingReceivableExcludingAccruedInterestAfterAllowanceForCreditLoss,22230000000.0,21996000000.0,21558000000.0,20856000000.0,20152000000.0,19266000000.0,,,,,,
Policy loans,us-gaap_LoansInsurancePolicy,2584000000.0,2552000000.0,2529000000.0,2510000000.0,2513000000.0,2476000000.0,2428000000.0,2423000000.0,2383000000.0,2347000000.0,2368000000.0,2339000000.0
Derivative investments,us-gaap_DerivativeAssets,10427000000.0,8349000000.0,7849000000.0,9522000000.0,8608000000.0,8394000000.0,5790000000.0,5155000000.0,4005000000.0,3681000000.0,3370000000.0,4840000000.0
Total investments,us-gaap_Investments,136102000000.0,131144000000.0,129215000000.0,131812000000.0,126595000000.0,125702000000.0,132495000000.0,134469000000.0,134223000000.0,129493000000.0,135245000000.0,144624000000.0
Other investments,us-gaap_OtherInvestments,7786000000.0,6611000000.0,6653000000.0,5743000000.0,5652000000.0,5256000000.0,4551000000.0,4195000000.0,3892000000.0,3820000000.0,4054000000.0,4127000000.0
Cash and invested cash,us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,10668000000.0,7143000000.0,4284000000.0,6013000000.0,5475000000.0,4122000000.0,2529000000.0,3768000000.0,3766000000.0,1472000000.0,1567000000.0,1960000000.0
"Deferred acquisition costs, value of business acquired and deferred sales inducements",lnc_DeferredPolicyAcquisitionCostsValueOfBusinessAcquiredAndDeferredSalesInducements,12681000000.0,12604000000.0,12563000000.0,12475000000.0,12435000000.0,12405000000.0,12341000000.0,12316000000.0,12277000000.0,,,
"Reinsurance recoverables, net of allowance for credit losses",us-gaap_ReinsuranceRecoverables,28665000000.0,28440000000.0,28580000000.0,29233000000.0,29126000000.0,29461000000.0,,,,20045000000.0,19909000000.0,20044000000.0
"Deposit assets, net of allowance for credit losses",us-gaap_DepositAssets,33066000000.0,31754000000.0,31048000000.0,30501000000.0,29888000000.0,28904000000.0,,,,,,
Market risk benefit assets,us-gaap_MarketRiskBenefitAssetAmount,-4694000000.0,-4577000000.0,-4157000000.0,-4565000000.0,-4754000000.0,-4878000000.0,4108000000.0,3906000000.0,3445000000.0,,,
Accrued investment income,us-gaap_AccruedInvestmentIncomeReceivable,1172000000.0,1136000000.0,1134000000.0,1160000000.0,1135000000.0,1127000000.0,1372000000.0,1277000000.0,1277000000.0,1283000000.0,1226000000.0,1247000000.0
Separate account assets,us-gaap_SeparateAccountAssets,179860000000.0,172942000000.0,162506000000.0,171483000000.0,165199000000.0,166225000000.0,145810000000.0,153246000000.0,148421000000.0,137295000000.0,145791000000.0,168879000000.0
Other Assets,us-gaap_OtherAssets,7223000000.0,8181000000.0,8267000000.0,8454000000.0,8782000000.0,9413000000.0,20223000000.0,19456000000.0,19280000000.0,19191000000.0,17219000000.0,17406000000.0
Total Assets,us-gaap_Assets,415275000000.0,399065000000.0,382898000000.0,396840000000.0,384533000000.0,383381000000.0,338411000000.0,348612000000.0,343142000000.0,324683000000.0,335769000000.0,365929000000.0
Goodwill,us-gaap_Goodwill,1144000000.0,1144000000.0,1144000000.0,1144000000.0,1144000000.0,1144000000.0,1144000000.0,1144000000.0,1144000000.0,1144000000.0,1778000000.0,1778000000.0
"Fixed maturity available-for-sale securities, at fair value (amortized cost: 2023 - $111,354; 2022 - $111,707; allowance for credit losses: 2023 - $25; 2022 - $22)",us-gaap_AvailableForSaleSecuritiesDebtSecurities,,,,,,,,100890000000.0,,,,
"Fixed maturity available-for-sale securities, at fair value (amortized cost: 2023 - $111,528; 2022 - $111,707; allowance for credit losses: 2023 - $39; 2022 - $22)",us-gaap_AvailableForSaleSecuritiesDebtSecurities,,,,,,,,,101936000000.0,,,
"Fixed maturity available-for-sale securities, at fair value (amortized cost: 2022 - $111,058; 2021 - $105,177; allowance for credit losses: 2022 - $18; 2021 - $19)",us-gaap_AvailableForSaleSecuritiesDebtSecurities,,,,,,,,,,97572000000.0,,
"Mortgage loans on real estate, net of allowance for credit losses (portion at fair value: 2023 - $404; 2022 - $487)",us-gaap_NotesReceivableNet,,,,,,,,18460000000.0,,,,
"Mortgage loans on real estate, net of allowance for credit losses (portion at fair value: 2023 - $490; 2022 - $487)",us-gaap_NotesReceivableNet,,,,,,,,,18327000000.0,,,
"Mortgage loans on real estate, net of allowance for credit losses (portion at fair value: 2022 - $495; 2021 - $739)",us-gaap_NotesReceivableNet,,,,,,,,,,18066000000.0,,
Deferred acquisition costs and value of business acquired,us-gaap_DeferredPolicyAcquisitionCostsAndValueOfBusinessAcquired,,,,,,,,,,13676000000.0,11872000000.0,8810000000.0
Premiums and fees receivable,us-gaap_PremiumsAndOtherReceivablesNet,,,,,,,,,,583000000.0,656000000.0,671000000.0
Policyholder account balances,us-gaap_PolicyholderFunds,133223000000.0,129209000000.0,125262000000.0,125968000000.0,124113000000.0,122300000000.0,117210000000.0,117598000000.0,116167000000.0,,,
Future contract benefits,us-gaap_LiabilityForFuturePolicyBenefitsAndUnpaidClaimsAndClaimsAdjustmentExpense,41852000000.0,41053000000.0,40665000000.0,41169000000.0,38560000000.0,38848000000.0,39362000000.0,39711000000.0,39757000000.0,41716000000.0,39306000000.0,39773000000.0
Funds withheld reinsurance liabilities,us-gaap_FundsHeldUnderReinsuranceAgreementsLiability,17559000000.0,16700000000.0,16838000000.0,17595000000.0,17044000000.0,17486000000.0,,,,2190000000.0,2229000000.0,2164000000.0
Market risk benefit liabilities,us-gaap_MarketRiskBenefitLiabilityAmount,1190000000.0,1205000000.0,1306000000.0,1272000000.0,1275000000.0,1266000000.0,1385000000.0,1548000000.0,1976000000.0,,,
Deferred front-end loads,lnc_DeferredFrontEndLoads,7349000000.0,7119000000.0,6910000000.0,6517000000.0,6306000000.0,6099000000.0,5653000000.0,5450000000.0,5250000000.0,,,
Payables for collateral on investments,us-gaap_DepositsReceivedForSecuritiesLoanedAtCarryingValue,11153000000.0,8466000000.0,8282000000.0,10570000000.0,11114000000.0,10117000000.0,8046000000.0,7062000000.0,6803000000.0,6865000000.0,7524000000.0,8927000000.0
Contingencies and Commitments (See Note 14),us-gaap_CommitmentsAndContingencies,,,,,,,,,,,,
Contingencies and Commitments (See Note 13),us-gaap_CommitmentsAndContingencies,,,,,,,,,,,,
Contingencies and Commitments (See Note 15),us-gaap_CommitmentsAndContingencies,,,,,,,,,,,,
Contingencies and Commitments (See Note 10),us-gaap_CommitmentsAndContingencies,,,,,,,,,,,,
"Fixed maturity available-for-sale securities, at fair value (amortized cost: 2022 - $109,647; 2021 - $105,177; allowance for credit losses: 2022 - $12; 2021 - $19)",us-gaap_AvailableForSaleSecuritiesDebtSecurities,,,,,,,,,,,103365000000.0,
"Fixed maturity available-for-sale securities, at fair value (amortized cost: 2022 - $107,622; 2021 - $105,177; allowance for credit losses: 2022 - $20; 2021 - $19)",us-gaap_AvailableForSaleSecuritiesDebtSecurities,,,,,,,,,,,,110695000000.0
"Mortgage loans on real estate, net of allowance for credit losses (portion at fair value: 2022 - $528; 2021 - $739)",us-gaap_NotesReceivableNet,,,,,,,,,,,17922000000.0,
