label,concept,2025-09-30,2025-06-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31,2022-09-30,2022-06-30,2022-03-31
Insurance premiums,lnc_PremiumsEarnedExcludingInsuranceCommissionsAndFeesNet,1637000000.0,1682000000.0,1676000000.0,1614000000.0,1625000000.0,1601000000.0,1566000000.0,1612000000.0,1579000000.0,1548000000.0,1498000000.0,1477000000.0
Fee income,us-gaap_InsuranceCommissionsAndFees,1384000000.0,1340000000.0,1365000000.0,1352000000.0,1339000000.0,1324000000.0,1363000000.0,1365000000.0,1379000000.0,1527000000.0,1506000000.0,1568000000.0
Net investment income,us-gaap_NetInvestmentIncome,1544000000.0,1466000000.0,1457000000.0,1411000000.0,1332000000.0,1346000000.0,1494000000.0,1508000000.0,1466000000.0,1326000000.0,1369000000.0,1412000000.0
Realized gain (loss),us-gaap_DebtAndEquitySecuritiesRealizedGainLoss,-216000000.0,-641000000.0,11000000.0,-431000000.0,663000000.0,-434000000.0,453000000.0,-1784000000.0,-828000000.0,220000000.0,522000000.0,29000000.0
Other revenues,us-gaap_OtherIncome,206000000.0,197000000.0,182000000.0,165000000.0,206000000.0,291000000.0,218000000.0,219000000.0,209000000.0,159000000.0,190000000.0,182000000.0
Revenue,us-gaap_Revenues,4555000000.0,4044000000.0,4691000000.0,4111000000.0,5153000000.0,4116000000.0,4203000000.0,2929000000.0,3814000000.0,4798000000.0,5104000000.0,4687000000.0
Benefits,us-gaap_PolicyholderBenefitsAndClaimsIncurredNet,1926000000.0,1994000000.0,2068000000.0,1937000000.0,2008000000.0,2003000000.0,2152000000.0,2192000000.0,2291000000.0,5106000000.0,2890000000.0,2565000000.0
Policyholder liability remeasurement (gain) loss,us-gaap_LiabilityForFuturePolicyBenefitRemeasurementGainLoss,1000000.0,-88000000.0,-59000000.0,-50000000.0,-105000000.0,-12000000.0,159000000.0,-110000000.0,-118000000.0,,,
Interest credited,us-gaap_InterestCreditedToPolicyholdersAccountBalances,954000000.0,916000000.0,890000000.0,880000000.0,853000000.0,822000000.0,831000000.0,808000000.0,785000000.0,722000000.0,706000000.0,697000000.0
Market risk benefit (gain) loss,us-gaap_MarketRiskBenefitChangeInFairValueGainLoss,-343000000.0,-940000000.0,1293000000.0,657000000.0,-136000000.0,-1907000000.0,-1428000000.0,-2023000000.0,619000000.0,,,
Commissions and other expenses,us-gaap_OtherCostAndExpenseOperating,1414000000.0,1327000000.0,1368000000.0,1304000000.0,1351000000.0,1601000000.0,1335000000.0,1335000000.0,1300000000.0,1358000000.0,1127000000.0,1236000000.0
Interest and debt expense,lnc_InterestExpenseDebtIncludingGainLossOnExtinguishmentOfDebt,79000000.0,-13000000.0,80000000.0,86000000.0,86000000.0,81000000.0,84000000.0,84000000.0,83000000.0,71000000.0,68000000.0,66000000.0
Total expenses,us-gaap_BenefitsLossesAndExpenses,-4031000000.0,-3196000000.0,-5640000000.0,-4814000000.0,-4057000000.0,-2588000000.0,-3169000000.0,-2327000000.0,-4984000000.0,-7935000000.0,-4835000000.0,-4595000000.0
Income Before Tax from Continuing Operations,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,524000000.0,848000000.0,-949000000.0,-703000000.0,1096000000.0,1528000000.0,1034000000.0,602000000.0,-1170000000.0,-3137000000.0,269000000.0,92000000.0
Income Tax Expense,us-gaap_IncomeTaxExpenseBenefit,-79000000.0,-149000000.0,227000000.0,175000000.0,-201000000.0,-306000000.0,-181000000.0,-91000000.0,289000000.0,563000000.0,-31000000.0,12000000.0
Net Income,us-gaap_NetIncomeLoss,445000000.0,699000000.0,-722000000.0,-528000000.0,895000000.0,1222000000.0,853000000.0,511000000.0,-881000000.0,-2574000000.0,238000000.0,104000000.0
Unrealized investment gain (loss),lnc_OtherComprehensiveIncomeLossUnrealizedInvestmentGainsLosses,820000000.0,328000000.0,523000000.0,1688000000.0,-313000000.0,-127000000.0,-2896000000.0,-513000000.0,1774000000.0,,,
