label,concept,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and Cash Equivalents,us-gaap_CashAndCashEquivalentsAtCarryingValue,967079000.0,465671000.0,847519000.0,495246000.0,808612000.0,590209000.0
Restricted Cash and Cash Equivalents,us-gaap_RestrictedCashAndCashEquivalents,,,,,,58872000.0
"Other receivables, net",us-gaap_OtherReceivablesNetCurrent,902777000.0,743317000.0,677766000.0,581483000.0,,
"Property, Plant and Equipment",us-gaap_PropertyPlantAndEquipmentNet,,,,,582868000.0,533044000.0
Other Assets,us-gaap_OtherAssets,1815739000.0,1390021000.0,1023230000.0,886988000.0,539357000.0,401343000.0
Total Assets,us-gaap_Assets,13317404000.0,10385480000.0,9482226000.0,7991600000.0,6523571000.0,5880238000.0
"Property and equipment, net",us-gaap_PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAfterAccumulatedDepreciationAndAmortization,1210027000.0,933091000.0,780357000.0,658841000.0,,
Goodwill,us-gaap_Goodwill,2172873000.0,1856648000.0,1642468000.0,1642443000.0,1513866000.0,1503648000.0
Intangible Assets,us-gaap_IntangibleAssetsNetExcludingGoodwill,1482988000.0,671585000.0,427676000.0,455028000.0,397486000.0,439838000.0
Cash and equivalents segregated under federal or other regulations,us-gaap_CashAndSecuritiesSegregatedUnderFederalAndOtherRegulations,1597249000.0,2007312000.0,2199362000.0,,,
Restricted cash,us-gaap_RestrictedCashAndCashEquivalents,119724000.0,108180000.0,90389000.0,80655000.0,67264000.0,
"Receivables from clients, net",us-gaap_ReceivablesFromCustomers,633834000.0,588585000.0,561569000.0,578889000.0,,
"Receivables from brokers, dealers and clearing organizations",us-gaap_ReceivablesFromBrokersDealersAndClearingOrganizations,76545000.0,50069000.0,56276000.0,102503000.0,,
"Advisor loans, net",us-gaap_NotesReceivableNet,2281088000.0,1479690000.0,1123004000.0,963869000.0,547372000.0,441743000.0
Investment securities,us-gaap_DebtSecurities,57481000.0,91311000.0,52610000.0,49192000.0,,
"Payables to brokers, dealers and clearing organizations",srt_PayablesToBrokerDealersAndClearingOrganizations,129228000.0,163337000.0,147752000.0,,,
Accrued advisory and commission expenses payable,lpla_AccruedCommissionsAndAdvisoryFeesPayable,323996000.0,216541000.0,203292000.0,222379000.0,187040000.0,
Accounts payable and accrued liabilities,us-gaap_AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,588450000.0,485963000.0,448630000.0,384025000.0,681554000.0,557969000.0
Treasury Stock Common Value,us-gaap_TreasuryStockValue,-4202322000.0,-3993949000.0,-2846536000.0,-2498600000.0,-2391062000.0,-2234793000.0
Cash segregated under federal and other regulations,us-gaap_CashAndSecuritiesSegregatedUnderFederalAndOtherRegulations,,,,1496463000.0,923158000.0,822697000.0
"Product sponsors, broker-dealers and clearing organizations",us-gaap_ReceivablesFromBrokersDealersAndClearingOrganizations,,,,,233192000.0,177654000.0
