label,concept,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Revenue,us-gaap_Revenues,12385107000.0,10052848000.0,8600825000.0,7720830000.0,5871640000.0,5624856000.0
Advisory,lpla_AdvisoryRevenue,5461858000.0,4135681000.0,3875154000.0,3525430000.0,2327519000.0,1982869000.0
Commission,us-gaap_BrokerageCommissionsRevenue,3305487000.0,2552623000.0,2326164000.0,2378683000.0,1906560000.0,1892407000.0
Asset-based,lpla_AssetBasedFeesRevenue,2497698000.0,2377729000.0,1760273000.0,1148067000.0,1044517000.0,1165979000.0
Service and fee,lpla_ServiceAndFeeRevenue,552020000.0,508437000.0,467381000.0,411761000.0,,
Transaction and fee,lpla_TransactionAndOtherFees,236274000.0,199939000.0,181260000.0,156336000.0,506071000.0,480328000.0
"Interest income, net",us-gaap_InterestIncomeOperating,187606000.0,159415000.0,77126000.0,,,
Other,us-gaap_OtherIncome,218493000.0,209439000.0,143937000.0,131540000.0,101018000.0,114546000.0
Commission and advisory,lpla_CommissionsAndAdvisoryFees,7751006000.0,5915807000.0,5324827000.0,5180090000.0,3697147000.0,3388186000.0
Compensation and benefits,us-gaap_LaborAndRelatedExpense,1136717000.0,979681000.0,820736000.0,741003000.0,609257000.0,556128000.0
Promotional,lpla_PromotionalExpenses,589339000.0,459233000.0,339994000.0,302285000.0,208250000.0,205537000.0
Occupancy and equipment,us-gaap_OccupancyNet,281210000.0,248620000.0,219798000.0,185531000.0,166389000.0,136163000.0
"Brokerage, clearing, and exchange",us-gaap_FloorBrokerageExchangeAndClearanceFees,127941000.0,105984000.0,86063000.0,86023000.0,71185000.0,64445000.0
Depreciation and Amortization,us-gaap_DepreciationAndAmortization,135234000.0,107211000.0,87560000.0,79260000.0,67358000.0,65334000.0
Professional services,us-gaap_ProfessionalFees,93729000.0,72583000.0,72519000.0,73231000.0,57067000.0,73887000.0
Communications and data processing,us-gaap_CommunicationsAndInformationTechnology,75838000.0,75717000.0,67687000.0,60296000.0,52399000.0,49859000.0
Costs and Expenses,us-gaap_CostsAndExpenses,-10992215000.0,-8608073000.0,-7489172000.0,-7119501000.0,,
"Interest Expense, Debt",us-gaap_InterestExpenseDebt,274181000.0,186804000.0,126234000.0,104414000.0,,
Depreciation and amortization,us-gaap_DepreciationDepletionAndAmortization,,,,,109732000.0,95779000.0
Operating Expenses,us-gaap_OperatingExpenses,,,,,-5139802000.0,4749864000.0
Interest Expense,us-gaap_InterestIncomeExpenseNet,,,,,29412000.0,46508000.0
Non-operating interest expense and other,us-gaap_InterestExpenseSubordinatedNotesAndDebentures,,,,,-105765000.0,130001000.0
Income Before Tax from Continuing Operations,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,1392892000.0,1444775000.0,1111653000.0,601329000.0,626073000.0,741835000.0
Interest income,us-gaap_InterestIncomeOperating,,,,28577000.0,,
Income Tax Expense,us-gaap_IncomeTaxExpenseBenefit,334276000.0,378525000.0,265951000.0,141463000.0,153433000.0,181955000.0
Net Income,us-gaap_NetIncomeLoss,1058616000.0,1066250000.0,845702000.0,459866000.0,472640000.0,559880000.0
Earnings Per Share (Basic),us-gaap_EarningsPerShareBasic,14.17,13.88,10.6,5.75,5.96,6.78
Earnings Per Share (Diluted),us-gaap_EarningsPerShareDiluted,14.03,13.69,10.4,5.63,5.86,6.62
Shares Outstanding (Basic),us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,74713000.0,76807000.0,79801000.0,80002000.0,79244000.0,82552000.0
Shares Outstanding (Diluted),us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,75427000.0,77861000.0,81285000.0,81742000.0,80702000.0,84624000.0
Gain (Loss) on Extinguishment of Debt,us-gaap_GainsLossesOnExtinguishmentOfDebt,,-0.0,-0.0,,,
Loss on extinguishment of debt,us-gaap_GainsLossesOnExtinguishmentOfDebt,,,,24400000.0,-0.0,3156000.0
