label,concept,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
"Net income (loss) and other comprehensive income (loss), net of tax expense",us-gaap_ComprehensiveIncomeNetOfTax,1058616000.0,1066250000.0,845702000.0,459866000.0,472640000.0,559880000.0
Issuance of common stock to settle restricted stock units,us-gaap_StockIssuedDuringPeriodValueRestrictedStockAwardNetOfForfeitures,-41288000.0,-40005000.0,-25157000.0,-20230000.0,-9420000.0,-5863000.0
"Issuance of common stock to settle restricted stock units, shares",us-gaap_StockIssuedDuringPeriodSharesRestrictedStockAwardNetOfForfeitures,408000.0,448000.0,368000.0,147000.0,134000.0,366000.0
Treasury stock purchases,us-gaap_TreasuryStockValueAcquiredCostMethod,170096000.0,1109962000.0,325031000.0,90011000.0,150036000.0,500370000.0
"Treasury stock purchases, shares",us-gaap_TreasuryStockSharesAcquired,605361.0,5075900.0,1566527.0,579771.0,1810000.0,6418542.0
Cash dividends on common stock,us-gaap_DividendsCommonStockCash,89727000.0,92190000.0,79833000.0,80095000.0,79097000.0,82597000.0
Stock options exercises and other,us-gaap_StockIssuedDuringPeriodValueStockOptionsExercised,2357000.0,18665000.0,28730000.0,41974000.0,30236000.0,40162000.0
"Stock options exercises and other, shares",us-gaap_StockIssuedDuringPeriodSharesStockOptionsExercised,274000.0,126944.0,530000.0,-74000.0,-89000.0,
Share-based compensation,us-gaap_AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,91761000.0,68669000.0,52608000.0,44175000.0,33975000.0,32864000.0
"Share-based Compensation Arrangement by Share-based Payment Award, Options, Exercises in Period",us-gaap_StockIssuedDuringPeriodSharesStockOptionsExercised,,,,,,1209299.0
"Shares Issued, Value, Share-based Payment Arrangement, before Forfeiture",us-gaap_StockIssuedDuringPeriodValueShareBasedCompensationGross,0.0,0.0,0.0,0.0,0.0,0.0
"Share-based compensation, shares",us-gaap_StockIssuedDuringPeriodSharesShareBasedCompensationGross,0.0,0.0,0.0,0.0,0.0,0.0
"New Accounting Pronouncement or Change in Accounting Principle, Effect of Adoption, Quantification",us-gaap_NewAccountingPronouncementOrChangeInAccountingPrincipleEffectOfAdoptionQuantification,,,,,,5724000.0
