label,concept,2025-09-30,2025-06-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31,2022-09-30,2022-06-30,2022-03-31
Revenue,us-gaap_Revenues,4551977000.0,3835025000.0,3670007000.0,3108394000.0,2931769000.0,2832593000.0,2522383000.0,2468804000.0,2417832000.0,2163058000.0,2038887000.0,2065693000.0
Advisory,lpla_AdvisoryRevenue,2210499000.0,1717738000.0,1689245000.0,1378050000.0,1288163000.0,1199811000.0,1081562000.0,1014565000.0,954057000.0,923766000.0,1001851000.0,1047097000.0
Commission,us-gaap_BrokerageCommissionsRevenue,1187455000.0,1038087000.0,1047757000.0,806532000.0,787046000.0,746446000.0,643600000.0,622886000.0,603725000.0,584980000.0,573376000.0,585525000.0
Asset-based,lpla_AssetBasedFees,782280000.0,702347000.0,695241000.0,626191000.0,601008000.0,600721000.0,585132000.0,589715000.0,621748000.0,489263000.0,363597000.0,296401000.0
Service and fee,lpla_ServiceAndFeeRevenue,174715000.0,151839000.0,145199000.0,145729000.0,135000000.0,132172000.0,135648000.0,123122000.0,118987000.0,121745000.0,112802000.0,112812000.0
Transaction and fee,lpla_TransactionAndOtherFees,67260000.0,60541000.0,67864000.0,58546000.0,58935000.0,57258000.0,50210000.0,46936000.0,48935000.0,43328000.0,44416000.0,46726000.0
Interest Income,us-gaap_InterestIncomeOperating,60859000.0,76941000.0,43851000.0,49923000.0,47478000.0,43525000.0,40773000.0,37972000.0,37358000.0,22092000.0,10121000.0,7745000.0
Other,us-gaap_OtherIncome,54606000.0,51192000.0,48689000.0,59724000.0,62580000.0,37315000.0,75660000.0,34178000.0,33421000.0,31557000.0,36261000.0,37422000.0
Advisory and commission,lpla_CommissionsAndAdvisoryFees,3025274000.0,2483165000.0,2353925000.0,1948065000.0,1819027000.0,1733487000.0,1488432000.0,1448763000.0,1370634000.0,1304528000.0,1304422000.0,1374134000.0
Compensation and benefits,us-gaap_LaborAndRelatedExpense,585409000.0,319100000.0,305546000.0,266415000.0,274000000.0,274369000.0,243759000.0,231680000.0,233533000.0,208051000.0,196699000.0,192034000.0
Promotional,lpla_PromotionalExpenses,208547000.0,177552000.0,145645000.0,164538000.0,136125000.0,126619000.0,131645000.0,102565000.0,98223000.0,94510000.0,78027000.0,87002000.0
Occupancy and equipment,us-gaap_OccupancyNet,299680000.0,81443000.0,77240000.0,69879000.0,69529000.0,66264000.0,61339000.0,65005000.0,60173000.0,54636000.0,55906000.0,51112000.0
Depreciation and amortization,us-gaap_DepreciationDepletionAndAmortization,99722000.0,96231000.0,92356000.0,78338000.0,70999000.0,67158000.0,64627000.0,58377000.0,56054000.0,51669000.0,48453000.0,45454000.0
