label,concept,2025-09-30,2025-06-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31,2022-09-30,2022-06-30,2022-03-31
Restricted cash and cash equivalents,us-gaap_RestrictedCashAndCashEquivalentsNoncurrent,368314000.0,461267000.0,261400000.0,270248000.0,213903000.0,144698000.0,258798000.0,365849000.0,228487000.0,167242000.0,102099000.0,67152000.0
Cash and Cash Equivalents,us-gaap_CashAndCashEquivalentsAtCarryingValue,1305908000.0,913845000.0,985494000.0,770298000.0,604357000.0,507918000.0,590541000.0,638434000.0,509576000.0,143715000.0,239299000.0,214868000.0
"Property and equipment, net",us-gaap_PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAfterAccumulatedDepreciationAndAmortization,387409000.0,401204000.0,415099000.0,483861000.0,528233000.0,544454000.0,476848000.0,472416000.0,424444000.0,372745000.0,381575000.0,313731000.0
Goodwill,us-gaap_Goodwill,389524000.0,255548000.0,251476000.0,256393000.0,255391000.0,256228000.0,255721000.0,260810000.0,262288000.0,261667000.0,262214000.0,180475000.0
Intangible Assets,us-gaap_FiniteLivedIntangibleAssetsNet,134945000.0,37986000.0,39342000.0,48242000.0,51299000.0,55591000.0,62492000.0,68294000.0,71732000.0,81045000.0,89177000.0,48418000.0
Short-term investments,us-gaap_ShortTermInvestments,686615000.0,878319000.0,1168501000.0,1156735000.0,1195970000.0,1157729000.0,1076089000.0,1059730000.0,1245220000.0,1639683000.0,1567749000.0,2021663000.0
Restricted investments,lyft_RestrictedInvestmentsIncludingMarketableSecuritiesNoncurrent,1437584000.0,1253399000.0,1374522000.0,1196837000.0,1125027000.0,1062318000.0,767037000.0,632497000.0,835849000.0,1004570000.0,1090835000.0,880908000.0
Other investments,us-gaap_OtherInvestments,45166000.0,43343000.0,42118000.0,42982000.0,39704000.0,39290000.0,39324000.0,39870000.0,26493000.0,26326000.0,155677000.0,70203000.0
Accounts Payable,us-gaap_AccountsPayableCurrent,107354000.0,104450000.0,98633000.0,109336000.0,116070000.0,104470000.0,56743000.0,62235000.0,103296000.0,90132000.0,99958000.0,95573000.0
Other Non Current Assets,us-gaap_OtherAssetsNoncurrent,29434000.0,16250000.0,13859000.0,13358000.0,14635000.0,15992000.0,17286000.0,21361000.0,22627000.0,23134000.0,15259000.0,58916000.0
Prepaid Expenses,us-gaap_PrepaidExpenseAndOtherAssetsCurrent,1002890000.0,965418000.0,969915000.0,940335000.0,879606000.0,883133000.0,833609000.0,781154000.0,792708000.0,689341000.0,652435000.0,699019000.0
Total Current Assets,us-gaap_AssetsCurrent,2995413000.0,2757582000.0,3123910000.0,2867368000.0,2679933000.0,2548780000.0,2500239000.0,2479318000.0,2547504000.0,2472739000.0,2459483000.0,2935550000.0
