label,concept,2025-09-30,2025-06-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31,2022-09-30,2022-06-30,2022-03-31
Net Income,us-gaap_NetIncomeLoss,46074000.0,40314000.0,2567000.0,-12426000.0,5014000.0,-31535000.0,-12100000.0,-114262000.0,-187649000.0,-422201000.0,-377246000.0,-196932000.0
Other comprehensive income,us-gaap_ComprehensiveIncomeNetOfTaxAbstract,5600000.0,,,,,,,,,,,
Foreign currency translation adjustment,us-gaap_OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,3759000.0,3568000.0,103000.0,1176000.0,-1012000.0,507000.0,-6039000.0,496000.0,49000.0,-1976000.0,-145000.0,737000.0
Unrealized gain on marketable securities,us-gaap_OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentNetOfTaxPortionAttributableToParent,1841000.0,,,,,,,,,,,
Comprehensive loss,us-gaap_ComprehensiveIncomeNetOfTax,,,,-7982000.0,,-32859000.0,-17563000.0,-113794000.0,-186186000.0,-420717000.0,-378022000.0,-204633000.0
"Unrealized (loss) gain on marketable securities, net of taxes",us-gaap_OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentNetOfTaxPortionAttributableToParent,,,,,-488000.0,-1831000.0,,,,,,
"Unrealized gain (loss) on marketable securities, net of taxes",us-gaap_OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentNetOfTaxPortionAttributableToParent,,,,,,,576000.0,-28000.0,1414000.0,3460000.0,-631000.0,-8438000.0
Comprehensive income (loss),us-gaap_ComprehensiveIncomeNetOfTax,51674000.0,43725000.0,2235000.0,,3514000.0,,,,,,,
Other comprehensive (loss) income,us-gaap_ComprehensiveIncomeNetOfTaxAbstract,,,,,,,,,,,-776000.0,-7701000.0
Unrealized loss on marketable securities,us-gaap_OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentNetOfTaxPortionAttributableToParent,,-157000.0,-435000.0,,,,,,,,,
"Unrealized gain on marketable securities, net of taxes",us-gaap_OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentNetOfTaxPortionAttributableToParent,,,,3268000.0,,,,,,,,
Other comprehensive loss,us-gaap_OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,,,-332000.0,,,,,,,,,
Other comprehensive income (loss),us-gaap_OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,,3411000.0,,4444000.0,-1500000.0,-1324000.0,-5463000.0,468000.0,1463000.0,1484000.0,,
