label,concept,2025-09-30,2025-06-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31,2022-09-30,2022-06-30,2022-03-31
Revenue,us-gaap_Revenues,1685195000.0,1588183000.0,1450172000.0,1522692000.0,1435846000.0,1277201000.0,1157550000.0,1020906000.0,1000548000.0,1053820000.0,990748000.0,875575000.0
Total Cost of Revenue,us-gaap_CostOfRevenue,927221000.0,935734000.0,862874000.0,888255000.0,819518000.0,755362000.0,644500000.0,606599000.0,548992000.0,570703000.0,650356000.0,440294000.0
Costs and Expenses,us-gaap_CostsAndExpenses,-1662142000.0,-1585753000.0,-1479021000.0,-1579379000.0,-1463072000.0,-1340152000.0,-1197729000.0,-1179425000.0,-1217303000.0,-1344196000.0,-1363923000.0,-1074918000.0
Stock-based compensation expense,us-gaap_AllocatedShareBasedCompensationExpense,4398000.0,5484000.0,7455000.0,6789000.0,5759000.0,6016000.0,5553000.0,7503000.0,11684000.0,7145000.0,12008000.0,80765000.0
Operations and support,lyft_OperationsAndSupportExpense,131424000.0,117433000.0,106335000.0,117462000.0,115734000.0,103042000.0,118763000.0,107649000.0,98926000.0,119223000.0,105314000.0,98600000.0
Research and Development Expense,us-gaap_ResearchAndDevelopmentExpense,109615000.0,109325000.0,112495000.0,104447000.0,98807000.0,100023000.0,109229000.0,154612000.0,196904000.0,227678000.0,201768000.0,192754000.0
General and Administrative Expense,us-gaap_GeneralAndAdministrativeExpense,250565000.0,232339000.0,215300000.0,253436000.0,252643000.0,236253000.0,195290000.0,201398000.0,256540000.0,292870000.0,265731000.0,216941000.0
Selling Expense,us-gaap_SellingAndMarketingExpense,243317000.0,190922000.0,182017000.0,215779000.0,176370000.0,145472000.0,129947000.0,109167000.0,115941000.0,133722000.0,140754000.0,126329000.0
Operating Income,us-gaap_OperatingIncomeLoss,23053000.0,2430000.0,-28849000.0,-56687000.0,-27226000.0,-62951000.0,-40179000.0,-158519000.0,-216755000.0,-290376000.0,-373175000.0,-199343000.0
Interest Expense,us-gaap_InterestExpense,,,,,,7048000.0,6209000.0,6151000.0,5433000.0,5022000.0,4960000.0,4549000.0
Interest Expense (non-operating),us-gaap_InterestExpenseNonoperating,4742000.0,5032000.0,6150000.0,7362000.0,7852000.0,,,,,,,
Nonoperating Income/Expense,us-gaap_NonoperatingIncomeExpense,25804000.0,46989000.0,40917000.0,50941000.0,41943000.0,41057000.0,34399000.0,53075000.0,37215000.0,-126155000.0,953000.0,9763000.0
Income Before Tax from Continuing Operations,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,44115000.0,44387000.0,5918000.0,-13108000.0,6865000.0,-28942000.0,-11989000.0,-111595000.0,-184973000.0,-421553000.0,-377182000.0,-194129000.0
Income Tax Expense,us-gaap_IncomeTaxExpenseBenefit,1959000.0,-4073000.0,-3351000.0,682000.0,-1851000.0,-2593000.0,-111000.0,-2667000.0,-2676000.0,-648000.0,-64000.0,-2803000.0
Net Income,us-gaap_NetIncomeLoss,46074000.0,40314000.0,2567000.0,-12426000.0,5014000.0,-31535000.0,-12100000.0,-114262000.0,-187649000.0,-422201000.0,-377246000.0,-196932000.0
Earnings Per Share (Basic),us-gaap_EarningsPerShareBasic,0.11,0.1,0.01,-0.03,0.01,-0.08,-0.03,-0.3,-0.5,-1.18,-1.08,-0.57
Earnings Per Share (Diluted),us-gaap_EarningsPerShareDiluted,0.11,0.1,0.01,-0.03,0.01,-0.08,-0.03,-0.3,-0.5,-1.18,-1.08,-0.57
Shares Outstanding (Basic),us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,405679000.0,417242000.0,419047000.0,412229000.0,406512000.0,401553000.0,389307000.0,381884000.0,373727000.0,356478000.0,350526000.0,346558000.0
Shares Outstanding (Diluted),us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,412674000.0,422953000.0,424024000.0,412229000.0,411969000.0,401553000.0,389307000.0,381884000.0,373727000.0,356478000.0,350526000.0,346558000.0
