label,concept,2025-09-30,2025-06-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31,2022-09-30,2022-06-30,2022-03-31
Other comprehensive (loss) income,us-gaap_OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,,,,,,,,,,,-776000.0,-7701000.0
Issuance of common stock upon settlement of restricted stock units (in shares),us-gaap_StockIssuedDuringPeriodSharesRestrictedStockAwardNetOfForfeitures,5308000.0,5331000.0,4157000.0,4731000.0,6842000.0,6280000.0,6676000.0,7431000.0,7985000.0,8308000.0,3526000.0,3602000.0
Issuance of common stock upon settlement of restricted stock units,us-gaap_StockIssuedDuringPeriodValueRestrictedStockAwardNetOfForfeitures,,,,,,,,,0.0,0.0,1000.0,
Issuance of common stock upon exercise of stock options,us-gaap_StockIssuedDuringPeriodValueStockOptionsExercised,,,,769000.0,262000.0,1924000.0,825000.0,7000.0,297000.0,47000.0,313000.0,90000.0
Issuance of common stock upon exercise of stock options (in shares),us-gaap_StockIssuedDuringPeriodSharesStockOptionsExercised,,,,239000.0,81000.0,257000.0,107000.0,2000.0,82000.0,15000.0,31000.0,65000.0
Shares withheld related to net share settlement,us-gaap_AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,34204000.0,37201000.0,24294000.0,3592000.0,7436000.0,1463000.0,383000.0,661000.0,1166000.0,2053000.0,1742000.0,1807000.0
Shares withheld related to net share settlement (in shares),us-gaap_SharesPaidForTaxWithholdingForShareBasedCompensation,2197000.0,2329000.0,1814000.0,310000.0,456000.0,81657.0,35000.0,82000.0,103000.0,123000.0,90000.0,44000.0
Repurchase and retirement of common stock,us-gaap_StockRepurchasedDuringPeriodValue,201746000.0,201369000.0,,,,50000000.0,,,,,,
Repurchase and retirement of common stock (in shares),us-gaap_StockRepurchasedDuringPeriodShares,12800000.0,12800000.0,0.0,,,3143000.0,,,,,,
Purchase of capped call,lyft_PurchaseOfCappedCall,41950000.0,,,,,47886000.0,,,,,,
Issuance of common stock under employee stock purchase plan,us-gaap_StockIssuedDuringPeriodValueEmployeeStockPurchasePlan,,7304000.0,,,4217000.0,,,5569000.0,,,11945000.0,
Issuance of common stock under employee stock purchase plan (in shares),us-gaap_StockIssuedDuringPeriodSharesEmployeeStockPurchasePlans,,529000.0,,,566000.0,,,767000.0,,,703000.0,
Stock-based compensation,us-gaap_AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,66585000.0,82102000.0,93158000.0,88956000.0,85739000.0,80098000.0,98543000.0,113926000.0,180383000.0,220980000.0,176644000.0,156595000.0
Other comprehensive income (loss),us-gaap_OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,5600000.0,,,4444000.0,-1500000.0,-1324000.0,-5463000.0,468000.0,1463000.0,1484000.0,,
Other comprehensive loss,us-gaap_OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,,,-332000.0,,,,,,,,,
Other comprehensive loss (income),us-gaap_OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,,3411000.0,,,,,,,,,,
Net Income,us-gaap_NetIncomeLoss,46074000.0,40314000.0,2567000.0,-12426000.0,5014000.0,-31535000.0,-12100000.0,-114262000.0,-187649000.0,-422201000.0,-377246000.0,-196932000.0
Other,us-gaap_StockholdersEquityOther,,,,,,,139000.0,,,,-140000.0,
