rating,action,priceTarget,priceTargetOld,priceTargetNew,upsidePct,date,source,retrieved
Strong Buy,Maintains,$603 → $532,603.0,532.0,26.75,2026-02-09,https://stockanalysis.com/stocks/mco/ratings/,2026-02-13
Buy,Maintains,$620 → $660,620.0,660.0,57.25,2026-01-14,https://stockanalysis.com/stocks/mco/ratings/,2026-02-13
Hold,Maintains,$520 → $526,520.0,526.0,25.32,2026-01-13,https://stockanalysis.com/stocks/mco/ratings/,2026-02-13
Hold → Buy,Upgrades,$500 → $590,500.0,590.0,40.57,2026-01-13,https://stockanalysis.com/stocks/mco/ratings/,2026-02-13
Buy,Maintains,$540 → $620,540.0,620.0,47.72,2026-01-08,https://stockanalysis.com/stocks/mco/ratings/,2026-02-13
Hold → Strong Buy,Upgrades,$471 → $574,471.0,574.0,36.76,2026-01-05,https://stockanalysis.com/stocks/mco/ratings/,2026-02-13
Hold → Strong Buy,Upgrades,$524 → $570,524.0,570.0,35.8,2025-12-16,https://stockanalysis.com/stocks/mco/ratings/,2026-02-13
Hold,Maintains,$539 → $550,539.0,550.0,31.04,2025-10-28,https://stockanalysis.com/stocks/mco/ratings/,2026-02-13
Buy,Maintains,$580 → $560,580.0,560.0,33.42,2025-10-23,https://stockanalysis.com/stocks/mco/ratings/,2026-02-13
Hold,Maintains,$526 → $471,526.0,471.0,12.22,2025-10-23,https://stockanalysis.com/stocks/mco/ratings/,2026-02-13
Buy,Maintains,$597 → $620,597.0,620.0,47.72,2025-10-23,https://stockanalysis.com/stocks/mco/ratings/,2026-02-13
Hold,Maintains,$534 → $507,534.0,507.0,20.79,2025-10-23,https://stockanalysis.com/stocks/mco/ratings/,2026-02-13
Sell → Hold,Upgrades,n/a,,,,2025-10-17,https://stockanalysis.com/stocks/mco/ratings/,2026-02-13
Hold,Maintains,$534 → $521,534.0,521.0,24.13,2025-10-16,https://stockanalysis.com/stocks/mco/ratings/,2026-02-13
Hold,Maintains,$532 → $539,532.0,539.0,28.42,2025-10-16,https://stockanalysis.com/stocks/mco/ratings/,2026-02-13
Buy,Maintains,$531 → $535,531.0,535.0,27.47,2025-10-14,https://stockanalysis.com/stocks/mco/ratings/,2026-02-13
