label,concept,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Contract Revenue,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,7088000000.0,5916000000.0,5468000000.0,6218000000.0,5371000000.0,4829000000.0
Depreciation and Amortization,us-gaap_DepreciationAndAmortization,431000000.0,373000000.0,331000000.0,257000000.0,220000000.0,200000000.0
Restructuring,us-gaap_RestructuringCharges,59000000.0,87000000.0,114000000.0,0.0,50000000.0,60000000.0
Charges related to asset abandonment,mco_ChargesRelatedToAssetAbandonment,43000000.0,,,,,
Total Cost of Revenue,us-gaap_CostOfRevenue,1945000000.0,1687000000.0,1613000000.0,1637000000.0,1475000000.0,1387000000.0
Costs and Expenses,us-gaap_CostsAndExpenses,-4213000000.0,-3779000000.0,-3585000000.0,-3374000000.0,-2983000000.0,-2831000000.0
Gain on extinguishment of debt,us-gaap_GainsLossesOnExtinguishmentOfDebt,-0.0,0.0,70000000.0,,,
"Interest expense, net",us-gaap_InterestIncomeExpenseNonoperatingNet,-237000000.0,-251000000.0,-231000000.0,-171000000.0,-205000000.0,-208000000.0
"Selling, General and Administrative Expense",us-gaap_SellingGeneralAndAdministrativeExpense,1735000000.0,1632000000.0,1527000000.0,1480000000.0,1229000000.0,1167000000.0
Operating Income,us-gaap_OperatingIncomeLoss,2875000000.0,2137000000.0,1883000000.0,2844000000.0,2388000000.0,1998000000.0
"Other non-operating income, net",us-gaap_OtherNonoperatingIncomeExpense,61000000.0,49000000.0,38000000.0,82000000.0,46000000.0,20000000.0
Nonoperating Income/Expense,us-gaap_NonoperatingIncomeExpense,-176000000.0,-202000000.0,-123000000.0,-89000000.0,-159000000.0,-188000000.0
Income Before Tax from Continuing Operations,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,2699000000.0,1935000000.0,1760000000.0,2755000000.0,,
Income before provision for income taxes,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,,,,2229000000.0,1810000000.0
Income Tax Expense,us-gaap_IncomeTaxExpenseBenefit,640000000.0,327000000.0,386000000.0,541000000.0,452000000.0,381000000.0
Net Income,us-gaap_NetIncomeLoss,2058000000.0,1607000000.0,1374000000.0,2214000000.0,1778000000.0,1422000000.0
Profit or Loss,us-gaap_ProfitLoss,2059000000.0,1608000000.0,1374000000.0,2214000000.0,1777000000.0,1429000000.0
Net Income Attributable to Noncontrolling Interest,us-gaap_NetIncomeLossAttributableToNoncontrollingInterest,-1000000.0,-1000000.0,-0.0,-0.0,1000000.0,-7000000.0
Earnings Per Share (Basic),us-gaap_EarningsPerShareBasic,11.32,8.77,7.47,11.88,9.48,7.51
Earnings Per Share (Diluted),us-gaap_EarningsPerShareDiluted,11.26,8.73,7.44,11.78,9.39,7.42
Acquisition-Related Expenses,us-gaap_BusinessCombinationAcquisitionRelatedCosts,,,,0.0,0.0,3000000.0
Shares Outstanding (Basic),us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,181800000.0,183200000.0,183900000.0,186400000.0,187600000.0,189300000.0
Shares Outstanding (Diluted),us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,182700000.0,184000000.0,184700000.0,187900000.0,189300000.0,191600000.0
Loss pursuant to the divestiture of MAKS,us-gaap_GainLossOnSaleOfBusiness,,,-0.0,-0.0,9000000.0,14000000.0
Purchase Price Hedge Gain,mco_RealizedGainOnForeignCurrencyPurchasePriceHedgeDerivatives,,,,,,-0.0
CCXI Gain,us-gaap_GainLossOnSaleOfStockInSubsidiaryOrEquityMethodInvestee,,,,,,-0.0
