label,concept,2025-09-30,2025-06-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31,2022-09-30,2022-06-30,2022-03-31
Profit or Loss,us-gaap_ProfitLoss,647000000.0,579000000.0,625000000.0,534000000.0,553000000.0,577000000.0,390000000.0,377000000.0,501000000.0,303000000.0,327000000.0,498000000.0
Foreign currency translation adjustments - Pre Tax,mco_OtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentBeforeReclassificationAndTax,-26000000.0,424000000.0,188000000.0,252000000.0,-39000000.0,-115000000.0,-174000000.0,51000000.0,109000000.0,-358000000.0,,
Foreign currency translation adjustments - Tax,mco_OtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentBeforeReclassificationTax,1000000.0,-0.0,-1000000.0,-3000000.0,-0.0,-0.0,-2000000.0,-0.0,-2000000.0,6000000.0,3000000.0,1000000.0
Foreign currency translation adjustments - Net of Tax,mco_OtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentBeforeReclassificationNetOfTax,-25000000.0,424000000.0,187000000.0,249000000.0,-39000000.0,-115000000.0,-176000000.0,51000000.0,107000000.0,-352000000.0,-337000000.0,-107000000.0
Net gains (losses) on net investment hedges - Pre Tax,us-gaap_OtherComprehensiveIncomeLossNetInvestmentHedgeGainLossBeforeReclassificationAndTax,8000000.0,,,,,,,,,,,
Net gains (losses) on net investment hedges - Tax,mco_OtherComprehensiveIncomeLossNetInvestmentHedgeGainLossBeforeReclassificationTax,-3000000.0,,,,,,,,,,,
Net gains (losses) on net investment hedges - Net of Tax,mco_OtherComprehensiveIncomeLossNetInvestmentHedgeGainLossBeforeReclassificationNetOfTax,5000000.0,,,,,,,,,,,
Reclassification of (gains) losses included in net income - Pre Tax,us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossReclassificationBeforeTax,-0.0,1000000.0,-0.0,1000000.0,,,,,,,,
Reclassification of (gains) losses included in net income - Tax,us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossReclassificationTax,-0.0,-0.0,-0.0,-0.0,,,,,,,,
Reclassification of (gains) losses included in net income - Net of Tax,us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossReclassificationAfterTax,0.0,-1000000.0,0.0,-1000000.0,,,,,,,,
Amortization of actuarial gains and prior service credits included in net income - Pre Tax,us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansBeforeTax,,-1000000.0,,0.0,-1000000.0,,,,,,,
"Amortization of actuarial gains and prior service credits included in net income, tax expense (benefit)",us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansTax,,-0.0,,-0.0,-0.0,,,,,,,
Amortization of actuarial gains and prior service credits included in net income,us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansNetOfTax,,-1000000.0,,0.0,-1000000.0,,,,,,,
Net actuarial gains (losses) - Pre Tax,us-gaap_OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansNetUnamortizedGainLossArisingDuringPeriodBeforeTax,,-1000000.0,0.0,,,,,,,,,
Net actuarial gains (losses) - Tax,us-gaap_OtherComprehensiveIncomeDefinedBenefitPlansNetUnamortizedGainLossArisingDuringPeriodTax,,-0.0,-0.0,,,,,,,,,
Net actuarial gains (losses) - Net of Tax,us-gaap_OtherComprehensiveIncomeDefinedBenefitPlansNetUnamortizedGainLossArisingDuringPeriodNetOfTax,,-1000000.0,0.0,,,,,,,,,
