label,concept,2025-09-30,2025-06-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31,2022-09-30,2022-06-30,2022-03-31
Contract Revenue,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,2007000000.0,1898000000.0,1924000000.0,1813000000.0,1817000000.0,1786000000.0,1472000000.0,1494000000.0,1470000000.0,1275000000.0,1381000000.0,1522000000.0
Depreciation and Amortization,us-gaap_DepreciationAndAmortization,123000000.0,120000000.0,113000000.0,108000000.0,110000000.0,100000000.0,95000000.0,93000000.0,88000000.0,83000000.0,81000000.0,78000000.0
Restructuring,us-gaap_RestructuringCharges,21000000.0,27000000.0,33000000.0,6000000.0,2000000.0,5000000.0,27000000.0,10000000.0,14000000.0,1000000.0,31000000.0,0.0
Charges related to asset abandonment,mco_ChargesRelatedToAssetAbandonment,1000000.0,1000000.0,2000000.0,15000000.0,15000000.0,,,,,,,
Total Cost of Revenue,us-gaap_CostOfRevenue,492000000.0,489000000.0,491000000.0,512000000.0,469000000.0,467000000.0,412000000.0,426000000.0,428000000.0,393000000.0,393000000.0,417000000.0
Costs and Expenses,us-gaap_CostsAndExpenses,-1090000000.0,-1080000000.0,-1078000000.0,-1075000000.0,-1042000000.0,-985000000.0,-937000000.0,-944000000.0,-916000000.0,-862000000.0,-873000000.0,-866000000.0
"Interest expense, net",us-gaap_InterestIncomeExpenseNonoperatingNet,-58000000.0,-61000000.0,-61000000.0,-60000000.0,-63000000.0,-62000000.0,-66000000.0,-71000000.0,-48000000.0,-58000000.0,-55000000.0,-53000000.0
"Selling, General and Administrative Expense",us-gaap_SellingGeneralAndAdministrativeExpense,453000000.0,443000000.0,439000000.0,434000000.0,446000000.0,413000000.0,403000000.0,415000000.0,386000000.0,385000000.0,368000000.0,371000000.0
Operating Income,us-gaap_OperatingIncomeLoss,917000000.0,818000000.0,846000000.0,738000000.0,775000000.0,801000000.0,535000000.0,550000000.0,554000000.0,413000000.0,508000000.0,656000000.0
"Other non-operating income, net",us-gaap_OtherNonoperatingIncomeExpense,8000000.0,15000000.0,19000000.0,25000000.0,7000000.0,13000000.0,18000000.0,,,,,6000000.0
Nonoperating Income/Expense,us-gaap_NonoperatingIncomeExpense,-50000000.0,-46000000.0,-42000000.0,-35000000.0,-56000000.0,-49000000.0,-48000000.0,-58000000.0,-48000000.0,-32000000.0,-65000000.0,-47000000.0
Income Before Tax from Continuing Operations,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,867000000.0,772000000.0,804000000.0,703000000.0,719000000.0,752000000.0,487000000.0,492000000.0,506000000.0,381000000.0,443000000.0,609000000.0
Income Tax Expense,us-gaap_IncomeTaxExpenseBenefit,-220000000.0,-193000000.0,-179000000.0,-169000000.0,-166000000.0,-175000000.0,-97000000.0,-115000000.0,-5000000.0,-78000000.0,-116000000.0,-111000000.0
Net Income,us-gaap_NetIncomeLoss,646000000.0,578000000.0,625000000.0,534000000.0,552000000.0,577000000.0,389000000.0,377000000.0,501000000.0,303000000.0,327000000.0,498000000.0
Profit or Loss,us-gaap_ProfitLoss,647000000.0,579000000.0,,534000000.0,553000000.0,,390000000.0,,,,,
Net Income Attributable to Noncontrolling Interest,us-gaap_NetIncomeLossAttributableToNoncontrollingInterest,-1000000.0,-1000000.0,,-0.0,-1000000.0,,-1000000.0,,,,,
Earnings Per Share (Basic),us-gaap_EarningsPerShareBasic,3.61,3.22,3.47,2.94,3.03,3.16,2.12,2.05,2.73,1.65,1.78,2.69
Earnings Per Share (Diluted),us-gaap_EarningsPerShareDiluted,3.6,3.21,3.46,2.93,3.02,3.15,2.11,2.05,2.72,1.65,1.77,2.68
"Other non-operating (expense) income, net",us-gaap_OtherNonoperatingIncomeExpense,,,,,,,,,,,-10000000.0,
"Other non-operating income (expense), net",us-gaap_OtherNonoperatingIncomeExpense,,,,,,,,13000000.0,0.0,26000000.0,,
Shares Outstanding (Basic),us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,178900000.0,179700000.0,180000000.0,181700000.0,182300000.0,182600000.0,183300000.0,183500000.0,183300000.0,183200000.0,184100000.0,185100000.0
Shares Outstanding (Diluted),us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,179600000.0,180200000.0,180700000.0,182500000.0,183000000.0,183400000.0,184000000.0,184100000.0,184100000.0,183900000.0,184900000.0,186100000.0
