rating,action,priceTarget,priceTargetOld,priceTargetNew,upsidePct,date,source,retrieved
Buy,Maintains,$100 → $101,100.0,101.0,26.8,2026-01-30,https://stockanalysis.com/stocks/ndaq/ratings/,2026-02-13
Hold,Maintains,$104 → $105,104.0,105.0,31.83,2026-01-30,https://stockanalysis.com/stocks/ndaq/ratings/,2026-02-13
Buy,Maintains,$113 → $116,113.0,116.0,45.64,2026-01-30,https://stockanalysis.com/stocks/ndaq/ratings/,2026-02-13
Buy,Reiterates,$108,,108.0,35.59,2026-01-30,https://stockanalysis.com/stocks/ndaq/ratings/,2026-02-13
Buy,Maintains,$114 → $115,114.0,115.0,44.38,2026-01-30,https://stockanalysis.com/stocks/ndaq/ratings/,2026-02-13
Buy,Maintains,$111 → $113,111.0,113.0,41.87,2026-01-15,https://stockanalysis.com/stocks/ndaq/ratings/,2026-02-13
Hold,Maintains,$96 → $104,96.0,104.0,30.57,2026-01-14,https://stockanalysis.com/stocks/ndaq/ratings/,2026-02-13
Strong Buy,Maintains,$115 → $120,115.0,120.0,50.66,2026-01-12,https://stockanalysis.com/stocks/ndaq/ratings/,2026-02-13
Buy,Maintains,$111 → $113,111.0,113.0,41.87,2026-01-12,https://stockanalysis.com/stocks/ndaq/ratings/,2026-02-13
Buy,Maintains,$114 → $115,114.0,115.0,44.38,2026-01-08,https://stockanalysis.com/stocks/ndaq/ratings/,2026-02-13
Buy,Maintains,$110 → $111,110.0,111.0,39.36,2025-12-22,https://stockanalysis.com/stocks/ndaq/ratings/,2026-02-13
Buy,Maintains,$109 → $114,109.0,114.0,43.13,2025-12-12,https://stockanalysis.com/stocks/ndaq/ratings/,2026-02-13
Hold → Buy,Upgrades,$97 → $110,97.0,110.0,38.1,2025-11-20,https://stockanalysis.com/stocks/ndaq/ratings/,2026-02-13
Buy,Maintains,$108 → $109,108.0,109.0,36.85,2025-10-22,https://stockanalysis.com/stocks/ndaq/ratings/,2026-02-13
Hold,Maintains,$94 → $96,94.0,96.0,20.53,2025-10-22,https://stockanalysis.com/stocks/ndaq/ratings/,2026-02-13
Buy,Maintains,$99 → $100,99.0,100.0,25.55,2025-10-13,https://stockanalysis.com/stocks/ndaq/ratings/,2026-02-13
