label,concept,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Profit or Loss,us-gaap_ProfitLoss,1787000000.0,1115000000.0,1057000000.0,1123000000.0,,
Foreign currency translation gains (losses),us-gaap_OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentBeforeTax,225000000.0,-135000000.0,39000000.0,-375000000.0,-176000000.0,269000000.0
Income tax benefit (expense),us-gaap_OtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentTax,94000000.0,-45000000.0,18000000.0,-32000000.0,-42000000.0,49000000.0
"Foreign currency translation, net",us-gaap_OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,319000000.0,-180000000.0,57000000.0,-407000000.0,-218000000.0,318000000.0
Employee benefit plan adjustment,us-gaap_OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentBeforeTax,1000000.0,-17000000.0,,,,
Income tax expense,us-gaap_OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansTax,-0.0,4000000.0,,,,
"Employee benefit plan, net",us-gaap_OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax,-1000000.0,13000000.0,8000000.0,3000000.0,-1000000.0,-0.0
"Unrealized gain (loss) on derivatives instruments, net",us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTax,8000000.0,-8000000.0,,,,
"Total other comprehensive income (loss), net of tax",us-gaap_OtherComprehensiveIncomeLossNetOfTax,326000000.0,-175000000.0,67000000.0,-404000000.0,,318000000.0
Comprehensive income,us-gaap_ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,2113000000.0,940000000.0,1124000000.0,719000000.0,,
Net Income,us-gaap_NetIncomeLoss,,,,,1187000000.0,933000000.0
Employee benefit plan adjustment losses,us-gaap_OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentBeforeTax,,,,,1000000.0,
Employee benefit plan income tax benefit,us-gaap_OtherComprehensiveIncomeDefinedBenefitPlansTaxPortionAttributableToParent,,,,,-0.0,
Employee benefit plan income tax (benefit) expense,us-gaap_OtherComprehensiveIncomeDefinedBenefitPlansTaxPortionAttributableToParent,,,,,,-0.0
Other comprehensive income (loss),us-gaap_OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,,,,,-219000000.0,
Comprehensive loss attributable to noncontrolling interests,us-gaap_ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,1000000.0,2000000.0,2000000.0,2000000.0,,
Comprehensive income attributable to Nasdaq,us-gaap_ComprehensiveIncomeNetOfTax,2114000000.0,942000000.0,1126000000.0,721000000.0,968000000.0,1251000000.0
Employee benefit plan adjustment gains (losses),us-gaap_OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentBeforeTax,,,-11000000.0,-5000000.0,,0.0
Employee benefit plan income tax provision,us-gaap_OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansTax,,,3000000.0,2000000.0,,
Net unrealized gain from cash flow hedges,us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTaxParent,,,2000000.0,,,
