label,concept,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Contract Revenue,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,8262000000.0,7400000000.0,6064000000.0,6226000000.0,5886000000.0,5627000000.0
Compensation and benefits,us-gaap_LaborAndRelatedExpense,1392000000.0,1324000000.0,1082000000.0,1003000000.0,938000000.0,786000000.0
Professional and contract services,us-gaap_ProfessionalFees,160000000.0,152000000.0,128000000.0,140000000.0,144000000.0,137000000.0
Technology and communication infrastructure,us-gaap_CommunicationsAndInformationTechnology,316000000.0,281000000.0,,,,
Occupancy,us-gaap_OccupancyNet,124000000.0,112000000.0,129000000.0,104000000.0,109000000.0,107000000.0
Marketing and advertising,us-gaap_MarketingAndAdvertisingExpense,65000000.0,54000000.0,47000000.0,51000000.0,57000000.0,39000000.0
Depreciation and Amortization,us-gaap_DepreciationAndAmortization,632000000.0,613000000.0,323000000.0,258000000.0,278000000.0,202000000.0
Regulatory,ndaq_RegulatoryExpenses,52000000.0,55000000.0,34000000.0,33000000.0,64000000.0,24000000.0
Merger and strategic initiatives,us-gaap_BusinessCombinationAcquisitionRelatedCosts,60000000.0,35000000.0,148000000.0,82000000.0,87000000.0,33000000.0
Restructuring charges,us-gaap_RestructuringCharges,42000000.0,116000000.0,80000000.0,15000000.0,31000000.0,48000000.0
Net gain on divestitures,us-gaap_GainLossOnSaleOfBusiness,-86000000.0,,,,,
Net gain on divestiture of businesses,us-gaap_GainLossOnSaleOfBusiness,,,,,-84000000.0,-0.0
Gain on sale of investment security,us-gaap_GainLossOnSaleOfInvestments,,,,,,0.0
Net gain on divestiture of business,us-gaap_GainLossOnSaleOfBusiness,,,-0.0,-0.0,,
Net income (loss) from unconsolidated investees,us-gaap_IncomeLossFromEquityMethodInvestments,-83000000.0,-16000000.0,7000000.0,,,
Cost of Goods and Services Sold,us-gaap_CostOfGoodsAndServicesSold,-3013000000.0,-2751000000.0,-2169000000.0,-2092000000.0,-298000000.0,-2029000000.0
Gross Profit,us-gaap_GrossProfit,5249000000.0,4649000000.0,3895000000.0,3582000000.0,3420000000.0,2903000000.0
General and Administrative Expense,us-gaap_GeneralAndAdministrativeExpense,75000000.0,109000000.0,113000000.0,125000000.0,85000000.0,142000000.0
Operating Expenses,us-gaap_OperatingExpenses,-2918000000.0,-2851000000.0,-2317000000.0,-2018000000.0,-1979000000.0,-1669000000.0
Operating Income,us-gaap_OperatingIncomeLoss,2331000000.0,1798000000.0,1578000000.0,1564000000.0,1441000000.0,1234000000.0
Interest Expense,us-gaap_InterestExpense,,,-284000000.0,-129000000.0,-125000000.0,-101000000.0
Interest Expense (non-operating),us-gaap_InterestExpenseNonoperating,-367000000.0,-414000000.0,,,,
Interest income,us-gaap_InvestmentIncomeInterest,39000000.0,28000000.0,115000000.0,7000000.0,1000000.0,4000000.0
Other income (loss),us-gaap_OtherNonoperatingIncomeExpense,-27000000.0,21000000.0,-1000000.0,,,
Income Before Tax from Continuing Operations,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,2145000000.0,1449000000.0,1401000000.0,1475000000.0,1534000000.0,1212000000.0
Income Tax Expense,us-gaap_IncomeTaxExpenseBenefit,358000000.0,334000000.0,344000000.0,352000000.0,347000000.0,279000000.0
Net Income,us-gaap_NetIncomeLoss,1788000000.0,1117000000.0,1059000000.0,1125000000.0,1187000000.0,933000000.0
Profit or Loss,us-gaap_ProfitLoss,1787000000.0,1115000000.0,1057000000.0,1123000000.0,,
Net Income Attributable to Noncontrolling Interest,us-gaap_NetIncomeLossAttributableToNoncontrollingInterest,1000000.0,2000000.0,2000000.0,2000000.0,,
Net income from unconsolidated investees,us-gaap_IncomeLossFromEquityMethodInvestments,,,,-31000000.0,-52000000.0,-70000000.0
Other income,us-gaap_OtherNonoperatingIncomeExpense,,,,2000000.0,81000000.0,5000000.0
Computer operations and data communications,us-gaap_CommunicationsAndInformationTechnology,,,233000000.0,207000000.0,186000000.0,151000000.0
Cash dividends declared per common share (in dollars per share),us-gaap_CommonStockDividendsPerShareDeclared,1.05,0.94,0.86,0.78,2.11,1.94
Earnings Per Share (Basic),us-gaap_EarningsPerShareBasic,3.12,1.94,2.1,2.28,7.15,5.67
Earnings Per Share (Diluted),us-gaap_EarningsPerShareDiluted,3.09,1.93,2.08,2.26,7.05,5.59
