label,concept,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
,,,,,,,
Share repurchase program,us-gaap_TreasuryStockValueAcquiredParValueMethod,,145000000.0,269000000.0,308000000.0,468000000.0,222000000.0
Issuance of common stock in connection with acquisition (in shares),us-gaap_StockIssuedDuringPeriodSharesAcquisitions,,,86000000.0,,,
Acquisition-related stock issuance (in shares),us-gaap_StockIssuedDuringPeriodSharesAcquisitions,0.0,0.0,,,,
Acquisition-related stock issuance,us-gaap_StockIssuedDuringPeriodValueAcquisitions,0.0,0.0,1000000.0,,,
Share repurchase program (in shares),us-gaap_StockRepurchasedAndRetiredDuringPeriodShares,7202346.0,2344609.0,4694774.0,5465595.0,,
Share-based compensation (in shares),us-gaap_StockIssuedDuringPeriodSharesRestrictedStockAwardNetOfForfeitures,2000000.0,2000000.0,3000000.0,3000000.0,1000000.0,1000000.0
Share-based compensation,us-gaap_TreasuryStockRetiredParValueMethodAmount,165000000.0,141000000.0,122000000.0,106000000.0,90000000.0,87000000.0
"Other issuances of common stock, net (in shares)",us-gaap_StockIssuedDuringPeriodSharesOther,1000000.0,1000000.0,1000000.0,1000000.0,6000000.0,1000000.0
"Other issuances of common stock, net",us-gaap_StockIssuedDuringPeriodValueOther,47000000.0,38000000.0,29000000.0,23000000.0,257000000.0,48000000.0
Other employee stock activity (in shares),us-gaap_StockholdersEquityOtherShares,1000000.0,1000000.0,2000000.0,1000000.0,,
Other employee stock activity,us-gaap_StockholdersEquityOther,69000000.0,60000000.0,72000000.0,78000000.0,61000000.0,40000000.0
Other comprehensive income (loss),us-gaap_OtherComprehensiveIncomeLossNetOfTax,326000000.0,-175000000.0,67000000.0,-404000000.0,-219000000.0,318000000.0
Net Income,us-gaap_NetIncomeLoss,1788000000.0,1117000000.0,,,1187000000.0,933000000.0
Profit or Loss,us-gaap_ProfitLoss,,,1057000000.0,1123000000.0,,
Cash dividends declared and paid,us-gaap_DividendsCommonStockCash,601000000.0,541000000.0,441000000.0,,,
Cash dividends declared per common share,us-gaap_DividendsCommonStockCash,,,,383000000.0,350000000.0,320000000.0
Net activity related to noncontrolling interests,us-gaap_StockholdersEquityPeriodIncreaseDecrease,-4000000.0,-2000000.0,-2000000.0,3000000.0,7000000.0,3000000.0
"Stock option exercises, net",us-gaap_StockIssuedDuringPeriodValueStockOptionsExercised,,,,,1000000.0,2000000.0
Shares repurchase program (in shares),us-gaap_StockRepurchasedAndRetiredDuringPeriodShares,,,,,2911208.0,2000000.0
