label,concept,2025-09-30,2025-06-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31,2022-09-30,2022-06-30,2022-03-31
Profit or Loss,us-gaap_ProfitLoss,423000000.0,452000000.0,395000000.0,305000000.0,222000000.0,233000000.0,294000000.0,267000000.0,301000000.0,294000000.0,307000000.0,283000000.0
Foreign currency translation gains (losses),us-gaap_OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentBeforeTax,27000000.0,-45000000.0,175000000.0,31000000.0,38000000.0,,41000000.0,,,,-206000000.0,
Income tax benefit (expense),us-gaap_OtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentTax,-5000000.0,67000000.0,30000000.0,28000000.0,-5000000.0,-15000000.0,,3000000.0,6000000.0,,-29000000.0,
"Foreign currency translation, net",us-gaap_OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,22000000.0,22000000.0,205000000.0,59000000.0,33000000.0,-132000000.0,17000000.0,-113000000.0,-15000000.0,-187000000.0,-235000000.0,-83000000.0
Employee benefit plan adjustment,us-gaap_OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentBeforeTax,0.0,0.0,0.0,0.0,0.0,-19000000.0,,,,,,
Income tax expense,us-gaap_OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansTax,-0.0,-0.0,-0.0,-0.0,-0.0,,-24000000.0,,,-32000000.0,,-15000000.0
"Employee benefit plan, net",us-gaap_OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax,-0.0,-0.0,-0.0,-0.0,-0.0,14000000.0,,,,,,
"Unrealized gain (loss) on derivatives instruments, net",us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTax,0.0,5000000.0,,,,,,,,,,
"Total other comprehensive income (loss), net of tax",us-gaap_OtherComprehensiveIncomeLossNetOfTax,22000000.0,27000000.0,203000000.0,59000000.0,33000000.0,,,,,,,
Comprehensive income,us-gaap_ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,445000000.0,479000000.0,598000000.0,364000000.0,255000000.0,113000000.0,311000000.0,154000000.0,286000000.0,107000000.0,72000000.0,200000000.0
Comprehensive loss attributable to noncontrolling interests,us-gaap_ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,-0.0,-0.0,-0.0,1000000.0,-0.0,1000000.0,-0.0,-0.0,1000000.0,-0.0,-0.0,1000000.0
Comprehensive income attributable to Nasdaq,us-gaap_ComprehensiveIncomeNetOfTax,445000000.0,479000000.0,598000000.0,365000000.0,255000000.0,114000000.0,311000000.0,154000000.0,287000000.0,107000000.0,72000000.0,201000000.0
Foreign currency translation losses,us-gaap_OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentBeforeTax,,,,,,-117000000.0,,-116000000.0,-21000000.0,-155000000.0,,-68000000.0
Employee benefit plan income tax provision,us-gaap_OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansTax,,,,,,5000000.0,,,,,,
"Unrealized loss on derivatives instruments, net",us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTax,,,-2000000.0,,,,,,,,,
"Total other comprehensive loss, net of tax",us-gaap_OtherComprehensiveIncomeLossNetOfTax,,,,,,-120000000.0,,,,,,
Other,us-gaap_OtherComprehensiveIncomeOtherNetOfTax,,,,0.0,0.0,,,,,,,
Net unrealized loss from cash flow hedges,us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTaxParent,,,,,,-2000000.0,,,,,,
