label,concept,2025-09-30,2025-06-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31,2022-09-30,2022-06-30,2022-03-31
Contract Revenue,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,1958000000.0,2090000000.0,2090000000.0,1902000000.0,1792000000.0,1674000000.0,1451000000.0,1433000000.0,1533000000.0,1557000000.0,1552000000.0,1535000000.0
Compensation and benefits,us-gaap_LaborAndRelatedExpense,353000000.0,352000000.0,329000000.0,332000000.0,328000000.0,340000000.0,260000000.0,261000000.0,256000000.0,249000000.0,247000000.0,254000000.0
Professional and contract services,us-gaap_ProfessionalFees,38000000.0,39000000.0,36000000.0,36000000.0,39000000.0,34000000.0,31000000.0,30000000.0,32000000.0,34000000.0,29000000.0,35000000.0
Technology and communication infrastructure,us-gaap_CommunicationsAndInformationTechnology,80000000.0,79000000.0,77000000.0,71000000.0,69000000.0,,,,,,,
Occupancy,us-gaap_OccupancyNet,32000000.0,30000000.0,28000000.0,28000000.0,27000000.0,28000000.0,28000000.0,32000000.0,39000000.0,25000000.0,25000000.0,27000000.0
Marketing and advertising,us-gaap_MarketingAndAdvertisingExpense,13000000.0,14000000.0,14000000.0,11000000.0,12000000.0,11000000.0,12000000.0,9000000.0,9000000.0,10000000.0,11000000.0,10000000.0
Depreciation and Amortization,us-gaap_DepreciationAndAmortization,158000000.0,158000000.0,156000000.0,153000000.0,153000000.0,155000000.0,64000000.0,65000000.0,69000000.0,63000000.0,65000000.0,67000000.0
Regulatory,ndaq_RegulatoryExpenses,12000000.0,14000000.0,15000000.0,9000000.0,18000000.0,9000000.0,9000000.0,,9000000.0,9000000.0,8000000.0,8000000.0
Merger and strategic initiatives,us-gaap_BusinessCombinationAcquisitionRelatedCosts,9000000.0,20000000.0,24000000.0,10000000.0,4000000.0,9000000.0,4000000.0,45000000.0,2000000.0,14000000.0,12000000.0,15000000.0
Restructuring charges,us-gaap_RestructuringCharges,12000000.0,9000000.0,5000000.0,22000000.0,56000000.0,26000000.0,17000000.0,14000000.0,18000000.0,0.0,0.0,0.0
Computer operations and data communications,us-gaap_CommunicationsAndInformationTechnology,,,,,,67000000.0,58000000.0,56000000.0,54000000.0,50000000.0,50000000.0,50000000.0
Regulatory matters,ndaq_RegulatoryOperatingExpense,,,,,,,,9000000.0,,,,
Net gain (loss) on divestitures,us-gaap_GainLossOnSaleOfBusiness,2000000.0,,,,,,,,,,,
Net gain on divestiture of business,us-gaap_GainLossOnSaleOfBusiness,,,,,,,,,,-0.0,-0.0,
Net income from unconsolidated investees,us-gaap_IncomeLossFromEquityMethodInvestments,-24000000.0,-23000000.0,-27000000.0,,,-3000000.0,,,-14000000.0,-8000000.0,-9000000.0,-7000000.0
Cost of Goods and Services Sold,us-gaap_CostOfGoodsAndServicesSold,-643000000.0,-784000000.0,-853000000.0,-756000000.0,-633000000.0,-557000000.0,-511000000.0,-508000000.0,-619000000.0,-494000000.0,-130000000.0,-62000000.0
Gross Profit,us-gaap_GrossProfit,1315000000.0,1306000000.0,1237000000.0,1146000000.0,1159000000.0,1117000000.0,940000000.0,925000000.0,914000000.0,890000000.0,893000000.0,892000000.0
General and Administrative Expense,us-gaap_GeneralAndAdministrativeExpense,22000000.0,23000000.0,6000000.0,26000000.0,30000000.0,28000000.0,26000000.0,22000000.0,14000000.0,38000000.0,34000000.0,21000000.0
Operating Expenses,us-gaap_OperatingExpenses,-729000000.0,-738000000.0,-690000000.0,-698000000.0,-736000000.0,-707000000.0,-509000000.0,-543000000.0,-502000000.0,-492000000.0,-481000000.0,-487000000.0
Operating Income,us-gaap_OperatingIncomeLoss,586000000.0,568000000.0,547000000.0,448000000.0,423000000.0,410000000.0,431000000.0,382000000.0,412000000.0,398000000.0,412000000.0,405000000.0
Interest Expense,us-gaap_InterestExpense,,,,,,-108000000.0,-101000000.0,-36000000.0,-36000000.0,-32000000.0,-32000000.0,-32000000.0
Interest Expense (non-operating),us-gaap_InterestExpenseNonoperating,-87000000.0,-95000000.0,-96000000.0,-102000000.0,-102000000.0,,,,,,,
Interest income,us-gaap_InvestmentIncomeInterest,8000000.0,12000000.0,11000000.0,8000000.0,6000000.0,6000000.0,72000000.0,8000000.0,6000000.0,2000000.0,0.0,0.0
Other income,us-gaap_OtherNonoperatingIncomeExpense,0.0,1000000.0,,,,1000000.0,,,,6000000.0,8000000.0,
Other income (loss),us-gaap_OtherNonoperatingIncomeExpense,,,-1000000.0,1000000.0,12000000.0,,1000000.0,-6000000.0,,,,
Other (loss) income,us-gaap_OtherNonoperatingIncomeExpense,,,,,,,,,,,,-6000000.0
Other expense,us-gaap_OtherNonoperatingIncomeExpense,,,,,,,,,0.0,,,
Income Before Tax from Continuing Operations,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,529000000.0,548000000.0,488000000.0,356000000.0,341000000.0,312000000.0,391000000.0,337000000.0,396000000.0,382000000.0,397000000.0,374000000.0
Income Tax Expense,us-gaap_IncomeTaxExpenseBenefit,-106000000.0,-96000000.0,-93000000.0,-51000000.0,-119000000.0,-79000000.0,-97000000.0,-70000000.0,-95000000.0,-88000000.0,-90000000.0,-91000000.0
Net Income,us-gaap_NetIncomeLoss,423000000.0,452000000.0,395000000.0,306000000.0,222000000.0,234000000.0,294000000.0,267000000.0,302000000.0,294000000.0,307000000.0,284000000.0
Profit or Loss,us-gaap_ProfitLoss,423000000.0,452000000.0,395000000.0,305000000.0,222000000.0,233000000.0,294000000.0,267000000.0,301000000.0,294000000.0,307000000.0,283000000.0
Net Income Attributable to Noncontrolling Interest,us-gaap_NetIncomeLossAttributableToNoncontrollingInterest,-0.0,-0.0,-0.0,1000000.0,-0.0,1000000.0,-0.0,-0.0,1000000.0,-0.0,-0.0,1000000.0
Net income (loss) from unconsolidated investees,us-gaap_IncomeLossFromEquityMethodInvestments,,,,-1000000.0,-2000000.0,,12000000.0,11000000.0,,,,
Cash dividends declared per common share (in dollars per share),us-gaap_CommonStockDividendsPerShareDeclared,0.27,0.27,0.24,0.24,0.24,0.22,0.22,0.22,0.2,0.2,0.6,0.54
Earnings Per Share (Basic),us-gaap_EarningsPerShareBasic,0.74,0.79,0.69,0.53,0.39,0.41,0.6,0.54,0.62,0.6,1.87,1.72
Earnings Per Share (Diluted),us-gaap_EarningsPerShareDiluted,0.73,0.78,0.68,0.53,0.38,0.4,0.6,0.54,0.61,0.59,1.85,1.7
