label,concept,2025-09-30,2025-06-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31,2022-09-30,2022-06-30,2022-03-31
,,,,,,,,,,,,,
Share repurchase program (in shares),us-gaap_StockRepurchasedAndRetiredDuringPeriodShares,1000000.0,1000000.0,1557529.0,1000000.0,1000000.0,,,,2610000.0,,,
Shares repurchase program (in shares),us-gaap_StockRepurchasedAndRetiredDuringPeriodShares,,,,,,,,,,,1000000.0,735865.0
Share repurchase program,us-gaap_TreasuryStockValueAcquiredParValueMethod,115000000.0,100000000.0,115000000.0,88000000.0,58000000.0,,,,159000000.0,,166000000.0,142000000.0
Share-based compensation (in shares),us-gaap_StockIssuedDuringPeriodSharesRestrictedStockAwardNetOfForfeitures,0.0,1000000.0,2000000.0,0.0,1000000.0,1000000.0,,2000000.0,2000000.0,,,1000000.0
Share-based compensation,us-gaap_StockIssuedDuringPeriodValueRestrictedStockAwardNetOfForfeitures,41000000.0,46000000.0,35000000.0,37000000.0,39000000.0,30000000.0,31000000.0,34000000.0,26000000.0,26000000.0,25000000.0,25000000.0
"Other issuances of common stock, net (in shares)",us-gaap_StockIssuedDuringPeriodSharesOther,0.0,0.0,,,,,,,,,,
"Other issuances of common stock, net",us-gaap_StockIssuedDuringPeriodValueOther,0.0,29000000.0,,0.0,21000000.0,,,17000000.0,,,16000000.0,
Other employee stock activity (in shares),us-gaap_StockholdersEquityOtherShares,0.0,0.0,1000000.0,,,,,1000000.0,1000000.0,,,
Other employee stock activity,us-gaap_StockholdersEquityOther,4000000.0,34000000.0,25000000.0,2000000.0,30000000.0,24000000.0,2000000.0,28000000.0,40000000.0,1000000.0,20000000.0,52000000.0
Other comprehensive income (loss),us-gaap_OtherComprehensiveIncomeLossNetOfTax,22000000.0,27000000.0,203000000.0,59000000.0,33000000.0,,17000000.0,,,,-235000000.0,
Other comprehensive loss,us-gaap_OtherComprehensiveIncomeLossNetOfTax,,,,,,-120000000.0,,-113000000.0,-15000000.0,-187000000.0,,-83000000.0
Profit or Loss,us-gaap_ProfitLoss,,,,,,,294000000.0,267000000.0,301000000.0,294000000.0,307000000.0,283000000.0
Net Income,us-gaap_NetIncomeLoss,423000000.0,452000000.0,395000000.0,306000000.0,222000000.0,234000000.0,,,,,,
Cash dividends declared and paid,us-gaap_DividendsCommonStockCash,155000000.0,155000000.0,138000000.0,138000000.0,138000000.0,127000000.0,108000000.0,,,,,
Cash dividends declared per common share,us-gaap_DividendsCommonStockCash,,,,,,,,109000000.0,98000000.0,99000000.0,98000000.0,89000000.0
Net activity related to noncontrolling interests,us-gaap_StockholdersEquityPeriodIncreaseDecrease,0.0,-2000000.0,0.0,-1000000.0,,-1000000.0,,,-1000000.0,,,-1000000.0
