rating,action,priceTarget,priceTargetOld,priceTargetNew,upsidePct,date,source,retrieved
Strong Buy,Maintains,$175,,175.0,67.21,2025-12-23,https://stockanalysis.com/stocks/nice/ratings/,2026-02-12
Buy → Hold,Downgrades,$170 → $120,170.0,120.0,14.66,2025-12-08,https://stockanalysis.com/stocks/nice/ratings/,2026-02-12
Strong Buy,Maintains,$211 → $189,211.0,189.0,80.58,2025-11-19,https://stockanalysis.com/stocks/nice/ratings/,2026-02-12
Buy,Maintains,$200 → $165,200.0,165.0,57.65,2025-11-19,https://stockanalysis.com/stocks/nice/ratings/,2026-02-12
Hold,Maintains,$150 → $130,150.0,130.0,24.21,2025-11-18,https://stockanalysis.com/stocks/nice/ratings/,2026-02-12
Buy,Maintains,$193 → $160,193.0,160.0,52.88,2025-11-18,https://stockanalysis.com/stocks/nice/ratings/,2026-02-12
Hold,Maintains,$152 → $136,152.0,136.0,29.94,2025-11-18,https://stockanalysis.com/stocks/nice/ratings/,2026-02-12
Buy,Maintains,$185 → $150,185.0,150.0,43.32,2025-11-18,https://stockanalysis.com/stocks/nice/ratings/,2026-02-12
Buy,Maintains,$190 → $175,190.0,175.0,67.21,2025-11-18,https://stockanalysis.com/stocks/nice/ratings/,2026-02-12
Hold,Maintains,$154 → $133,154.0,133.0,27.08,2025-11-18,https://stockanalysis.com/stocks/nice/ratings/,2026-02-12
Strong Buy,Maintains,$190 → $175,190.0,175.0,67.21,2025-11-18,https://stockanalysis.com/stocks/nice/ratings/,2026-02-12
Strong Buy,Maintains,$209 → $211,209.0,211.0,101.61,2025-11-14,https://stockanalysis.com/stocks/nice/ratings/,2026-02-12
Buy,Maintains,$300 → $200,300.0,200.0,91.09,2025-11-14,https://stockanalysis.com/stocks/nice/ratings/,2026-02-12
Hold,Initiates,$152,,152.0,45.23,2025-10-13,https://stockanalysis.com/stocks/nice/ratings/,2026-02-12
Buy,Reiterates,$300,,300.0,186.64,2025-08-26,https://stockanalysis.com/stocks/nice/ratings/,2026-02-12
Buy,Maintains,$202 → $193,202.0,193.0,84.41,2025-08-15,https://stockanalysis.com/stocks/nice/ratings/,2026-02-12
