label,concept,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Profit or Loss,us-gaap_ProfitLoss,442588000.0,338301000.0,265945000.0,199223000.0,196346000.0,
Depreciation and Amortization,us-gaap_DepreciationAndAmortization,205020000.0,167360000.0,176546000.0,184092000.0,182026000.0,173230000.0
Share-based compensation,us-gaap_ShareBasedCompensation,182067000.0,176658000.0,,,,
"Accrued severance pay, net",nice_IncreaseDecreaseInAccruedSeverancePay,3050000.0,789000.0,1171000.0,597000.0,1323000.0,-1964000.0
"Amortization of premium, discount and accrued interest on marketable securities",us-gaap_AccretionAmortizationOfDiscountsAndPremiumsInvestments,-9861000.0,2480000.0,,,,
"Deferred taxes, net",us-gaap_DeferredIncomeTaxesAndTaxCredits,-40261000.0,-66620000.0,-52618000.0,-39316000.0,-33241000.0,-12208000.0
"Trade receivables, net",us-gaap_IncreaseDecreaseInAccountsReceivable,-61025000.0,-34292000.0,-129712000.0,-85778000.0,22245000.0,-29863000.0
Prepaid expenses and other current assets,us-gaap_IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,25040000.0,73052000.0,-31673000.0,-79624000.0,-80665000.0,-76180000.0
Trade payables,us-gaap_IncreaseDecreaseInAccountsPayableTrade,43965000.0,3426000.0,19923000.0,-389000.0,4094000.0,777000.0
Accrued expenses and other current liabilities,us-gaap_IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,41952000.0,-55703000.0,,,,
Operating lease right-of-use assets,nice_IncreaseDecreaseOperatingLeaseRightOfUseAssetsNet,12951000.0,12518000.0,20393000.0,15075000.0,,
Deferred revenue,us-gaap_IncreaseDecreaseInContractWithCustomerLiability,3049000.0,-45947000.0,,,,
"Realized loss on marketable securities, net",us-gaap_DebtSecuritiesAvailableForSaleRealizedGainLoss,-0.0,12271000.0,,,,
Operating lease liabilities,us-gaap_IncreaseDecreaseInOperatingLeaseLiability,-13291000.0,-11100000.0,-26191000.0,-18011000.0,-19569000.0,-18839000.0
Amortization of discount on long-term debt,us-gaap_AmortizationOfDebtDiscountPremium,1834000.0,4615000.0,4582000.0,14469000.0,,
Loss from extinguishment of debt,us-gaap_GainsLossesOnExtinguishmentOfDebt,-0.0,53000.0,,,,
Other,us-gaap_IncreaseDecreaseInOtherOperatingCapitalNet,-1383000.0,1827000.0,-984000.0,-2337000.0,-2828000.0,-1079000.0
Change in fair value of contingent consideration,us-gaap_BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1,-3054000.0,-18258000.0,,,,
Net Cash from Operating Activities,us-gaap_NetCashProvidedByUsedInOperatingActivities,832641000.0,561430000.0,479715000.0,461816000.0,480306000.0,374158000.0
Net Income,us-gaap_NetIncomeLoss,,,,,,185904000.0
Long term liabilities,us-gaap_IncreaseDecreaseInOtherNoncurrentLiabilities,,,,,,-311000.0
"Payments for Property, Plant and Equipment",us-gaap_PaymentsToAcquirePropertyPlantAndEquipment,-34962000.0,-29205000.0,-31893000.0,-24771000.0,-24186000.0,-27293000.0
Purchase of investments,us-gaap_PaymentsToAcquireInvestments,-938154000.0,-230263000.0,-396297000.0,-322129000.0,-583115000.0,-619060000.0
Proceeds from investments,us-gaap_ProceedsFromSaleMaturityAndCollectionsOfInvestments,705332000.0,,355560000.0,270645000.0,328593000.0,362713000.0
"Payments for business acquisitions, net of cash acquired",nice_PaymentsToAcquireBusinessesAndAssetsNetOfCashAcquired,-64816000.0,-415185000.0,-29724000.0,-142804000.0,,
Capitalization of internal use software costs,us-gaap_PaymentsToDevelopSoftware,-64805000.0,-54974000.0,-49997000.0,-42440000.0,-39098000.0,-34679000.0
Net Cash from Investing Activities,us-gaap_NetCashProvidedByUsedInInvestingActivities,-397405000.0,-293583000.0,-152351000.0,-261499000.0,-465067000.0,-344291000.0
Proceeds from issuance of shares upon exercise of options,us-gaap_ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,3063000.0,2570000.0,953000.0,4426000.0,8865000.0,5428000.0
Purchase of treasury shares,us-gaap_PaymentsForRepurchaseOfCommonStock,-369196000.0,-288443000.0,-144944000.0,-73180000.0,-48272000.0,-47276000.0
Dividends paid to non-controlling interest,us-gaap_PaymentsOfDividendsMinorityInterest,-3036000.0,-1771000.0,-376000.0,-1754000.0,,
Repayment of debt,us-gaap_RepaymentsOfDebt,-192108000.0,-2628000.0,-20132000.0,-177308000.0,-215000000.0,
Proceeds from settlement of debt hedge option,us-gaap_ProceedsFromDerivativeInstrumentFinancingActivities,104673000.0,,,,,
Net Cash from Financing Activities,us-gaap_NetCashProvidedByUsedInFinancingActivities,-456604000.0,-290272000.0,-164499000.0,-261816000.0,196837000.0,-42664000.0
Repayment of loan,us-gaap_RepaymentsOfLongTermDebt,,,,,,-0.0
Repayment of short-term debt,nice_EarnoutPaymentsRelatedToAcquisitions,,,,,,-0.0
Payments of Dividends,us-gaap_PaymentsOfDividends,,,,,,-0.0
