label,concept,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Contract Revenue,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,607571000.0,554458000.0,489723000.0,411172000.0,362963000.0,
Revenue,us-gaap_Revenues,,,,,,321607000.0
Total Cost of Revenue,us-gaap_CostOfRevenue,-111482000.0,-107485000.0,-102788000.0,-89439000.0,-79226000.0,-69517000.0
Gross Profit,us-gaap_GrossProfit,496089000.0,446973000.0,386935000.0,321733000.0,283737000.0,252090000.0
Research and Development Expense,us-gaap_ResearchAndDevelopmentExpense,111852000.0,-110472000.0,101186000.0,81289000.0,-72548000.0,68239000.0
General and Administrative Expense,us-gaap_GeneralAndAdministrativeExpense,68738000.0,-61741000.0,57981000.0,76274000.0,-46570000.0,40765000.0
Selling Expense,us-gaap_SellingAndMarketingExpense,128303000.0,-111691000.0,97221000.0,76487000.0,-67965000.0,70833000.0
Operating Expenses,us-gaap_OperatingExpenses,-308893000.0,-283904000.0,-256388000.0,-234050000.0,-187083000.0,-179837000.0
Operating Income,us-gaap_OperatingIncomeLoss,187196000.0,163069000.0,130547000.0,87683000.0,96654000.0,72253000.0
Interest Expense,us-gaap_InterestExpense,,,0.0,0.0,-9000.0,-106000.0
Interest income,us-gaap_InvestmentIncomeInterest,25784000.0,16905000.0,5191000.0,2287000.0,5385000.0,8443000.0
"Other expense, net",us-gaap_OtherNonoperatingIncomeExpense,-3158000.0,-1323000.0,,,,
Nonoperating Income/Expense,us-gaap_NonoperatingIncomeExpense,22626000.0,15582000.0,3153000.0,1714000.0,5383000.0,7730000.0
Income Before Tax from Continuing Operations,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,209822000.0,178651000.0,133700000.0,89397000.0,,
"Foreign Currency Transaction Gain (Loss) Including Derivatives, Before Tax",qlys_ForeignCurrencyTransactionGainLossIncludingDerivativesBeforeTax,,,,,,-400000.0
Income Tax Expense,us-gaap_IncomeTaxExpenseBenefit,36142000.0,27056000.0,25708000.0,18437000.0,10465000.0,10647000.0
Net Income,us-gaap_NetIncomeLoss,173680000.0,151595000.0,107992000.0,70960000.0,91572000.0,69336000.0
Earnings Per Share (Basic),us-gaap_EarningsPerShareBasic,4.72,4.11,2.81,1.82,2.34,1.77
Earnings Per Share (Diluted),us-gaap_EarningsPerShareDiluted,4.65,4.03,2.74,1.77,2.24,1.68
Shares Outstanding (Basic),us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,36799000.0,36879000.0,38453000.0,39030000.0,39167000.0,39075000.0
Shares Outstanding (Diluted),us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,37353000.0,37602000.0,39344000.0,40118000.0,40823000.0,41345000.0
"Other income (expense), net",us-gaap_OtherNonoperatingIncomeExpense,,,-2038000.0,-573000.0,7000.0,
Income before income taxes,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,,,,102037000.0,79983000.0
