label,concept,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Net Cash from Operating Activities,us-gaap_NetCashProvidedByUsedInOperatingActivities,171023000.0,157648000.0,150203000.0,20508000.0
Purchases of marketable securities,us-gaap_PaymentsToAcquireAvailableForSaleSecuritiesDebt,-349334000.0,-337694000.0,-289116000.0,-595325000.0
"Proceeds from Sale of Debt Securities, ",us-gaap_ProceedsFromSaleOfAvailableForSaleSecuritiesDebt,351614000.0,383282000.0,373492000.0,586864000.0
Aircraft and rotable spare parts,us-gaap_PaymentsForFlightEquipment,-64857000.0,-33525000.0,-92953000.0,-111782000.0
"Payments for Property, Plant and Equipment",us-gaap_PaymentsToAcquirePropertyPlantAndEquipment,-8453000.0,-4250000.0,-10319000.0,-2236000.0
Proceeds from the sale of property and equipment,us-gaap_ProceedsFromSaleOfPropertyPlantAndEquipment,118000.0,2212000.0,2162000.0,2749000.0
Deposits on aircraft,skyw_PaymentsForDepositsOnAircraft,-5140000.0,,,-28031000.0
"Decrease (increase) in other assets, net",skyw_IncreaseDecreaseInOtherAssetsNetInvestingActivities,9943000.0,,,
Net Cash from Investing Activities,us-gaap_NetCashProvidedByUsedInInvestingActivities,-66109000.0,-554000.0,3032000.0,-124667000.0
Principal payments on long-term debt,us-gaap_RepaymentsOfLongTermDebt,-113672000.0,-111158000.0,-107276000.0,-93979000.0
Proceeds from Issuance of Common Stock,us-gaap_ProceedsFromIssuanceOfCommonStock,1293000.0,1446000.0,1275000.0,1514000.0
Employee income tax paid on vested equity awards,skyw_TreasurySharesWithheldForPaymentOfTaxes,-27242000.0,-6930000.0,-585000.0,-1123000.0
Purchase of treasury stock,skyw_PaymentsForRepurchaseOfTreasuryStock,-13682000.0,-8750000.0,-100001000.0,
Net Cash from Financing Activities,us-gaap_NetCashProvidedByUsedInFinancingActivities,-153303000.0,-125392000.0,-181695000.0,91739000.0
Increase (decrease) in cash and cash equivalents,us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,-48389000.0,31702000.0,,-12420000.0
Decrease in cash and cash equivalents,us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,,,-28460000.0,
Decrease (increase) in other assets,us-gaap_PaymentsForProceedsFromOtherInvestingActivities,,-10579000.0,19766000.0,
Payment of debt issuance cost,us-gaap_PaymentsOfDebtIssuanceCosts,,,-108000.0,-413000.0
Derecognition of operating lease liabilities,skyw_DerecognitionOfOperatingLeaseLiabilities,,,35062000.0,
Derecognition of right of use assets,skyw_DerecognitionOfRightOfUseAssets,,,35062000.0,
Proceeds from Issuance of Long-Term Debt,us-gaap_ProceedsFromIssuanceOfLongTermDebt,,,25000000.0,185740000.0
Acquisition of property and equipment,us-gaap_FairValueOfAssetsAcquired,45606000.0,6575000.0,4649000.0,13567000.0
,,,,,
"Interest, net of capitalized amounts",us-gaap_InterestPaidNet,27637000.0,30362000.0,33838000.0,29840000.0
Income Tax Expense,us-gaap_IncomeTaxesPaidNet,-18000.0,42000.0,533000.0,116000.0
,,,,,
Aircraft deposits applied towards acquired aircraft,skyw_ProceedsFromReturnOfDepositsOnAircraft,,,,23481000.0
Increase in other assets,us-gaap_PaymentsForProceedsFromOtherInvestingActivities,,,,-387000.0
