label,concept,2025-09-30,2025-06-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31,2022-09-30,2022-06-30,2022-03-31
Contract Revenue,us-gaap_RevenueFromContractWithCustomerIncludingAssessedTax,1050029000.0,1035227000.0,948455000.0,912786000.0,867118000.0,803614000.0,766171000.0,725643000.0,691831000.0,789443000.0,799085000.0,735152000.0
"Salaries, wages and benefits",us-gaap_LaborAndRelatedExpense,391634000.0,390243000.0,377311000.0,377435000.0,355005000.0,350999000.0,333017000.0,322441000.0,335201000.0,307727000.0,288562000.0,300058000.0
"Aircraft maintenance, materials and repairs",us-gaap_AircraftMaintenanceMaterialsAndRepairs,247978000.0,238885000.0,209100000.0,181652000.0,183267000.0,145415000.0,178465000.0,162491000.0,142226000.0,183182000.0,174883000.0,148413000.0
Depreciation and amortization,us-gaap_DepreciationDepletionAndAmortization,92474000.0,90150000.0,89446000.0,96662000.0,96814000.0,95870000.0,96560000.0,97169000.0,94149000.0,97433000.0,97249000.0,102745000.0
Airport-related expenses,skyw_LandingFeeAndOtherRental,31876000.0,27116000.0,27823000.0,22642000.0,17535000.0,20888000.0,18398000.0,16955000.0,18295000.0,17501000.0,17490000.0,19205000.0
Aircraft fuel,skyw_FuelCost,34216000.0,27459000.0,24488000.0,22724000.0,21328000.0,21164000.0,23330000.0,18279000.0,20964000.0,28179000.0,31820000.0,25090000.0
Other operating expenses,us-gaap_OtherCostAndExpenseOperating,77708000.0,91246000.0,80910000.0,78897000.0,72219000.0,68496000.0,65011000.0,74020000.0,66172000.0,63756000.0,84455000.0,71597000.0
Operating Expenses,us-gaap_OperatingExpenses,-875886000.0,-865099000.0,-809078000.0,-781351000.0,-747478000.0,-704108000.0,-716880000.0,-693783000.0,-696535000.0,-713867000.0,-710483000.0,-683104000.0
Operating Income,us-gaap_OperatingIncomeLoss,174143000.0,170128000.0,139377000.0,131435000.0,119640000.0,99506000.0,49291000.0,31860000.0,-4704000.0,75576000.0,88602000.0,52048000.0
Interest income,us-gaap_InvestmentIncomeInterest,10565000.0,11050000.0,10086000.0,12460000.0,12040000.0,11626000.0,11234000.0,10494000.0,10033000.0,6348000.0,2559000.0,425000.0
"Other income (expense), net",us-gaap_OtherNonoperatingIncomeExpense,-1928000.0,8504000.0,,,,,,,,8112000.0,,
Nonoperating Income/Expense,us-gaap_NonoperatingIncomeExpense,-16974000.0,-7012000.0,-18659000.0,-15239000.0,-17474000.0,-19331000.0,-24940000.0,-14223000.0,-21413000.0,-18823000.0,-15855000.0,-27287000.0
Income Before Tax from Continuing Operations,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,157169000.0,163116000.0,120718000.0,116196000.0,102166000.0,80175000.0,24351000.0,17637000.0,-26117000.0,56753000.0,72747000.0,24761000.0
Income Tax Expense,us-gaap_IncomeTaxExpenseBenefit,-40811000.0,-42847000.0,-20167000.0,-26487000.0,-26588000.0,-19877000.0,-873000.0,-2218000.0,4046000.0,-8381000.0,-18796000.0,-7027000.0
Net Income,us-gaap_NetIncomeLoss,116358000.0,120269000.0,,,,,,,,,,
Aircraft rentals,skyw_AircraftRent,,,,1339000.0,1310000.0,1276000.0,2099000.0,2428000.0,19528000.0,16089000.0,16024000.0,15996000.0
"Other expense, net",us-gaap_OtherNonoperatingIncomeExpense,,,-1627000.0,,,,,,,,,
Basic Net Income Available to Common Shareholders,us-gaap_NetIncomeLossAvailableToCommonStockholdersBasic,,,100551000.0,89709000.0,75578000.0,60298000.0,23478000.0,15419000.0,-22071000.0,48372000.0,53951000.0,17734000.0
"Other income (loss), net",us-gaap_OtherNonoperatingIncomeExpense,,,,109000.0,-548000.0,-1128000.0,-3631000.0,,,,,
