rating,action,priceTarget,priceTargetOld,priceTargetNew,upsidePct,date,source,retrieved
Buy,Maintains,$18 → $21,18.0,21.0,28.76,2025-11-17,https://stockanalysis.com/stocks/slde/ratings/,2026-02-12
Buy,Maintains,$18 → $21,18.0,21.0,28.76,2025-11-06,https://stockanalysis.com/stocks/slde/ratings/,2026-02-12
Buy,Maintains,$19 → $22,19.0,22.0,34.89,2025-11-06,https://stockanalysis.com/stocks/slde/ratings/,2026-02-12
Hold → Buy,Upgrades,$18,,18.0,10.36,2025-09-25,https://stockanalysis.com/stocks/slde/ratings/,2026-02-12
Hold → Buy,Upgrades,$20 → $19,20.0,19.0,16.49,2025-09-18,https://stockanalysis.com/stocks/slde/ratings/,2026-02-12
Buy,Maintains,$25 → $18,25.0,18.0,10.36,2025-09-02,https://stockanalysis.com/stocks/slde/ratings/,2026-02-12
Hold,Maintains,$19 → $18,19.0,18.0,10.36,2025-08-18,https://stockanalysis.com/stocks/slde/ratings/,2026-02-12
Buy,Initiates,$25,,25.0,53.28,2025-07-14,https://stockanalysis.com/stocks/slde/ratings/,2026-02-12
Buy,Initiates,$25,,25.0,53.28,2025-07-14,https://stockanalysis.com/stocks/slde/ratings/,2026-02-12
Buy,Initiates,$25,,25.0,53.28,2025-07-14,https://stockanalysis.com/stocks/slde/ratings/,2026-02-12
Hold,Initiates,$20,,20.0,22.62,2025-07-14,https://stockanalysis.com/stocks/slde/ratings/,2026-02-12
