label,concept,2025-09-30,2025-06-30
Contract Revenue,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,265693000.0,261607000.0
Gross premiums written,us-gaap_PremiumsWrittenGross,463394000.0,435384000.0
Change in unearned premiums,us-gaap_IncreaseDecreaseInUnearnedPremiumsNet,-104031000.0,-96726000.0
Gross premiums earned,us-gaap_DirectPremiumsEarned,359363000.0,338658000.0
Ceded premiums earned,us-gaap_CededPremiumsEarned,-116309000.0,-94799000.0
Net premiums earned,us-gaap_PremiumsEarnedNet,243054000.0,243859000.0
Net investment income,us-gaap_InvestmentIncomeNet,19093000.0,15040000.0
Policy fees,slde_PolicyFees,2440000.0,2455000.0
Other income,us-gaap_OtherIncome,1106000.0,253000.0
,,,
"Losses and loss adjustment expenses incurred, net",slde_LossesAndLossAdjustmentExpensesIncurredNet,33240000.0,91369000.0
Policy acquisition and other underwriting expenses,us-gaap_OtherUnderwritingExpense,36393000.0,32096000.0
Depreciation and Amortization,us-gaap_Depreciation,1230000.0,1117000.0
Amortization expense,us-gaap_AdjustmentForAmortization,1901000.0,1898000.0
Interest Expense (operating),us-gaap_InterestExpenseOperating,909000.0,895000.0
General and Administrative Expense,us-gaap_GeneralAndAdministrativeExpense,45005000.0,37935000.0
Operating Expenses,us-gaap_OperatingExpenses,-118678000.0,-165310000.0
Income Before Tax from Continuing Operations,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,147015000.0,96297000.0
Income Tax Expense,us-gaap_IncomeTaxExpenseBenefit,-36018000.0,-26225000.0
Net Income,us-gaap_NetIncomeLoss,110997000.0,70072000.0
Earnings Per Share (Basic),us-gaap_EarningsPerShareBasic,0.89,1.05
Earnings Per Share (Diluted),us-gaap_EarningsPerShareDiluted,0.79,0.56
Shares Outstanding (Basic),us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,125249000.0,
Shares Outstanding (Diluted),us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,140113000.0,
