label,concept,2025-09-30,2025-06-30
Cash and Cash Equivalents,us-gaap_CashAndCashEquivalentsAtCarryingValue,861558000.0,936187000.0
"Other investments, net",us-gaap_OtherInvestments,4044000.0,4212000.0
Other Assets,us-gaap_OtherAssets,834000.0,610000.0
Total Assets,us-gaap_Assets,2686855000.0,2814029000.0
Total invested assets,us-gaap_Investments,478647000.0,458762000.0
"Property, Plant and Equipment",us-gaap_PropertyPlantAndEquipmentNet,12399000.0,12812000.0
Goodwill,us-gaap_Goodwill,2603000.0,2603000.0
Intangible Assets,us-gaap_IntangibleAssetsNetExcludingGoodwill,1999000.0,3900000.0
Prepaid expenses,us-gaap_PrepaidExpenseCurrentAndNoncurrent,9715000.0,7361000.0
"Fixed-maturity securities, available-for-sale, at estimated fair value (amortized costs: $465,454 and $464,585, respectively and allowance for credit losses: $0 and $0 respectively)",us-gaap_AvailableForSaleSecuritiesDebtSecurities,474603000.0,
Restricted cash,us-gaap_RestrictedCash,779000.0,648000.0
Restricted cash - variable interest entity,us-gaap_RestrictedCashEquivalents,539855000.0,478913000.0
Accrued interest income,slde_AccruedInterestIncome,6984000.0,5786000.0
Assumed premiums receivable,us-gaap_PremiumsReceivableAtCarryingValue,0.0,22312000.0
"Premiums receivable, net of allowance for credit loss of $2,295 and $1,048, respectively",slde_PremiumsReceivable,105713000.0,
"Reinsurance recoverable on paid losses net of allowance for credit loss: $0 and $0, respectively",us-gaap_ReinsuranceRecoverablesOnPaidLosses,32197000.0,45243000.0
"Reinsurance recoverable on unpaid losses net of allowance for credit loss: $0 and $0, respectively",us-gaap_ReinsuranceRecoverableForUnpaidClaimsAndClaimsAdjustments,207939000.0,240241000.0
Prepaid reinsurance premiums,us-gaap_PrepaidReinsurancePremiums,312924000.0,432733000.0
Deferred policy acquisition costs,us-gaap_DeferredPolicyAcquisitionCosts,92333000.0,71458000.0
Advanced payments of premium tax liability,slde_AdvancePremiumTax,27000.0,1115000.0
"Right-of-use lease asset, operating",us-gaap_OperatingLeaseRightOfUseAsset,8913000.0,7701000.0
Preferred Stock,us-gaap_PreferredStockValue,,0.0
"Fixed-maturity securities, available-for-sale, at estimated fair value (amortized costs: $447,435 and $464,585, respectively and allowance for credit losses: $0 and $0 respectively)",us-gaap_AvailableForSaleSecuritiesDebtSecurities,,454550000.0
"Premiums receivable, net of allowance for credit loss of $1,512 and $1,048, respectively",slde_PremiumsReceivable,,69902000.0
Income taxes payable,us-gaap_TaxesPayableCurrentAndNoncurrent,35029000.0,72638000.0
Loss and loss adjustment expense reserves,slde_LossAdjustmentExpenseReserves,523959000.0,571812000.0
Unearned premiums,us-gaap_UnearnedPremiums,824425000.0,720394000.0
Commissions payable,us-gaap_AccruedSalesCommissionCurrentAndNoncurrent,19458000.0,11265000.0
Advanced recoveries on reinsurance,slde_RecoveriesOnReinsurance,0.0,0.0
Assumed premiums payable,us-gaap_CededPremiumsPayable,1758000.0,
Reinsurance premiums payable,us-gaap_ReinsurancePayable,204689000.0,444554000.0
Interest rate swap liability,slde_InterestRateSwapLiability,91000.0,103000.0
Advanced premiums,slde_AdvancedPremiums,41840000.0,50518000.0
Accounts payable and accrued expenses,us-gaap_AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,21603000.0,24357000.0
"Lease liability, operating",us-gaap_OperatingLeaseLiability,9975000.0,8374000.0
Other Liabilities,us-gaap_OtherLiabilities,4735000.0,5584000.0
Total Liabilities,us-gaap_Liabilities,1722635000.0,1945969000.0
Long Term Debt,us-gaap_LongTermDebt,34983000.0,36280000.0
Deferred Revenue,us-gaap_DeferredRevenue,90000.0,90000.0
Premium tax liabilities,slde_PremiumTaxLiabilities,0.0,0.0
Deferred Tax Assets,us-gaap_DeferredIncomeTaxAssetsNet,11436000.0,15742000.0
Total Liabilities and Stockholders' Equity,us-gaap_LiabilitiesAndStockholdersEquity,2686855000.0,2814029000.0
Common Stock,us-gaap_CommonStockValue,1242000.0,1252000.0
Additional paid-in capital,us-gaap_AdditionalPaidInCapital,373461000.0,389731000.0
Retained Earnings,us-gaap_RetainedEarningsAccumulatedDeficit,582763000.0,471766000.0
Accumulated Other Comprehensive Income/Loss,us-gaap_AccumulatedOtherComprehensiveIncomeLossNetOfTax,6754000.0,5311000.0
Total Stockholders' Equity,us-gaap_StockholdersEquity,964220000.0,868060000.0
