label,concept,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and Cash Equivalents,us-gaap_CashAndCashEquivalentsAtCarryingValue,0.0,616164000.0,444998000.0,332716000.0,10000.0,10000.0
"Property, Plant and Equipment",us-gaap_PropertyPlantAndEquipmentNet,7992709000.0,5376420000.0,4882779000.0,4575998000.0,4701866000.0,5953648000.0
Accounts Receivable,us-gaap_AccountsReceivableNetCurrent,360976000.0,231165000.0,233297000.0,247201000.0,162455000.0,184732000.0
Prepaid Expenses,us-gaap_PrepaidExpenseAndOtherAssetsCurrent,25201000.0,12668000.0,10231000.0,9175000.0,10001000.0,12708000.0
Total Non Current Assets,us-gaap_AssetsNoncurrent,,,,,,85950000.0
Total Current Assets,us-gaap_AssetsCurrent,434699000.0,916439000.0,737203000.0,613187000.0,203669000.0,252634000.0
Derivative assets,us-gaap_DerivativeAssetsCurrent,3973000.0,8672000.0,24465000.0,239000.0,23150000.0,20624000.0
Other Non Current Assets,us-gaap_OtherAssetsNoncurrent,145266000.0,78454000.0,71592000.0,44553000.0,47746000.0,65326000.0
Total noncurrent assets,us-gaap_AssetsNoncurrentOtherThanNoncurrentInvestmentsAndPropertyPlantAndEquipment,149239000.0,87126000.0,96057000.0,44792000.0,70896000.0,
Total Assets,us-gaap_Assets,8576647000.0,6379985000.0,5716039000.0,5233977000.0,4976431000.0,6292232000.0
Proved oil and gas properties,us-gaap_ProvedOilAndGasPropertySuccessfulEffortMethod,14301502000.0,11477358000.0,10258368000.0,9397407000.0,8608522000.0,8934020000.0
"Accumulated depletion, depreciation, and amortization",us-gaap_OilAndGasPropertySuccessfulEffortMethodAccumulatedDepreciationDepletionAndAmortization,-7603195000.0,-6830253000.0,-6188147000.0,-5634961000.0,-4886973000.0,-4177876000.0
"Unproved oil and gas properties, net of valuation allowance of $32,680 and $35,362, respectively",us-gaap_UnprovedOilAndGasPropertySuccessfulEffortMethod,764924000.0,,,,,
Wells in progress,sm_WellsInProgress,481893000.0,358080000.0,287267000.0,148394000.0,233498000.0,118769000.0
"Other property and equipment, net of accumulated depreciation of $61,737 and $59,669, respectively",us-gaap_PropertyPlantAndEquipmentOtherNet,47585000.0,,,,,
Other Non Current Liabilities,us-gaap_OtherLiabilitiesNoncurrent,74947000.0,65039000.0,69601000.0,67566000.0,56557000.0,61433000.0
Total Non Current Liabilities,us-gaap_LiabilitiesNoncurrent,3549440000.0,2130323000.0,2031997000.0,2281519000.0,2376532000.0,3071195000.0
Revolving credit facility,us-gaap_LongTermLineOfCredit,68500000.0,0.0,0.0,0.0,93000000.0,122500000.0
"Senior Notes, net",us-gaap_SeniorLongTermNotes,2708243000.0,1575334000.0,1572210000.0,2081164000.0,2121319000.0,
Net deferred tax liabilities,us-gaap_DeferredIncomeTaxLiabilitiesNet,545295000.0,369903000.0,,,,
Asset retirement obligations,us-gaap_AssetRetirementObligationsNoncurrent,145313000.0,118774000.0,108233000.0,97324000.0,83325000.0,84134000.0
Other Current Liabilities,us-gaap_OtherLiabilitiesCurrent,22419000.0,15425000.0,10114000.0,6515000.0,11880000.0,19189000.0
Total Current Liabilities,us-gaap_LiabilitiesCurrent,789950000.0,633812000.0,598584000.0,889327000.0,583739000.0,472043000.0
Accounts payable and accrued expenses,us-gaap_AccountsPayableAndAccruedLiabilitiesCurrent,760473000.0,611598000.0,532289000.0,563306000.0,371670000.0,402008000.0
Derivative liabilities,us-gaap_DerivativeLiabilitiesCurrent,7142000.0,1273000.0,1142000.0,25696000.0,22331000.0,3444000.0
Commitments and contingencies (note 6),us-gaap_CommitmentsAndContingencies,,,,,,
"Other property and equipment, accumulated depreciation",us-gaap_PropertyPlantAndEquipmentOtherAccumulatedDepreciation,,,,62359000.0,63662000.0,
"Other property and equipment, net of accumulated depreciation of $63,662 and $64,032, respectively",us-gaap_PropertyPlantAndEquipmentOtherNet,,,,,32217000.0,
"Unproved oil and gas properties, net of valuation allowance of $35,362 and $38,008, respectively",us-gaap_UnprovedOilAndGasPropertySuccessfulEffortMethod,,335620000.0,,,,
"Other property and equipment, net of accumulated depreciation of $59,669 and $56,512, respectively",us-gaap_PropertyPlantAndEquipmentOtherNet,,35615000.0,,,,
"Unproved Oil and Gas Property, Successful Effort Method",us-gaap_UnprovedOilAndGasPropertySuccessfulEffortMethod,,,487192000.0,,,
"Other property and equipment, net of accumulated depreciation of $56,512 and $62,359, respectively",us-gaap_PropertyPlantAndEquipmentOtherNet,,,38099000.0,,,
Unproved oil and gas properties,us-gaap_UnprovedOilAndGasPropertySuccessfulEffortMethod,,,,629098000.0,714602000.0,1005887000.0
"Other property and equipment, net of accumulated depreciation of $62,359 and $63,662, respectively",us-gaap_PropertyPlantAndEquipmentOtherNet,,,,36060000.0,,
Deferred income taxes,us-gaap_DeferredIncomeTaxLiabilitiesNet,,,280811000.0,9769000.0,0.0,189386000.0
