label,concept,2025-09-30,2025-06-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31,2022-09-30,2022-06-30
Cash and Cash Equivalents,us-gaap_CashAndCashEquivalentsAtCarryingValue,162251000.0,101877000.0,54000.0,1735313000.0,487869000.0,506252000.0,401980000.0,378238000.0,477869000.0,498435000.0,267089000.0
"Property, Plant and Equipment",us-gaap_PropertyPlantAndEquipmentNet,8264913000.0,8260768000.0,8161602000.0,5754270000.0,5661533000.0,5513597000.0,5292294000.0,5231227000.0,5029552000.0,4746855000.0,4651980000.0
Accounts Receivable,us-gaap_AccountsReceivableNetCurrent,367688000.0,364296000.0,382955000.0,226604000.0,239095000.0,241731000.0,264511000.0,217794000.0,187810000.0,258003000.0,333944000.0
Prepaid Expenses,us-gaap_PrepaidExpenseAndOtherAssetsCurrent,34452000.0,30413000.0,28173000.0,10224000.0,20056000.0,11149000.0,10537000.0,8815000.0,9535000.0,9133000.0,13792000.0
Total Current Assets,us-gaap_AssetsCurrent,632958000.0,575090000.0,471822000.0,2044428000.0,774228000.0,793045000.0,702552000.0,678985000.0,756276000.0,807778000.0,633133000.0
Derivative assets,us-gaap_DerivativeAssetsCurrent,4677000.0,4871000.0,3533000.0,11584000.0,7878000.0,7198000.0,5294000.0,12077000.0,15373000.0,36048000.0,8236000.0
Other Non Current Assets,us-gaap_OtherAssetsNoncurrent,186952000.0,152506000.0,150708000.0,115490000.0,111372000.0,84618000.0,78430000.0,70337000.0,68957000.0,60832000.0,45775000.0
Total noncurrent assets,us-gaap_AssetsNoncurrentOtherThanNoncurrentInvestmentsAndPropertyPlantAndEquipment,191629000.0,157377000.0,154241000.0,229074000.0,221250000.0,91816000.0,83724000.0,82414000.0,84330000.0,96880000.0,54011000.0
Total Assets,us-gaap_Assets,9089500000.0,8993235000.0,8787665000.0,8027772000.0,6657011000.0,6398458000.0,6078570000.0,5992626000.0,5870158000.0,5651513000.0,5339124000.0
Proved oil and gas properties,us-gaap_ProvedOilAndGasPropertySuccessfulEffortMethod,15653507000.0,15378464000.0,14688382000.0,12501494000.0,12164196000.0,11756523000.0,11169443000.0,10824717000.0,10483159000.0,9914261000.0,9694929000.0
