rating,action,priceTarget,priceTargetOld,priceTargetNew,upsidePct,date,source,retrieved
Buy,Maintains,$316 → $319,316.0,319.0,7.25,2026-02-02,https://stockanalysis.com/stocks/trv/ratings/,2026-02-13
Strong Sell,Maintains,$291 → $315,291.0,315.0,5.91,2026-01-27,https://stockanalysis.com/stocks/trv/ratings/,2026-02-13
Strong Buy,Maintains,$300 → $320,300.0,320.0,7.59,2026-01-23,https://stockanalysis.com/stocks/trv/ratings/,2026-02-13
Buy,Maintains,$317 → $320,317.0,320.0,7.59,2026-01-23,https://stockanalysis.com/stocks/trv/ratings/,2026-02-13
Hold,Maintains,$307 → $285,307.0,285.0,-4.18,2026-01-22,https://stockanalysis.com/stocks/trv/ratings/,2026-02-13
Hold,Maintains,$315 → $304,315.0,304.0,2.21,2026-01-22,https://stockanalysis.com/stocks/trv/ratings/,2026-02-13
Buy,Maintains,$308 → $316,308.0,316.0,6.24,2026-01-14,https://stockanalysis.com/stocks/trv/ratings/,2026-02-13
Hold,Maintains,$294 → $307,294.0,307.0,3.22,2026-01-13,https://stockanalysis.com/stocks/trv/ratings/,2026-02-13
Hold,Maintains,$315 → $312,315.0,312.0,4.9,2026-01-08,https://stockanalysis.com/stocks/trv/ratings/,2026-02-13
Buy,Maintains,$309 → $317,309.0,317.0,6.58,2026-01-07,https://stockanalysis.com/stocks/trv/ratings/,2026-02-13
Sell,Maintains,$302 → $305,302.0,305.0,2.55,2026-01-07,https://stockanalysis.com/stocks/trv/ratings/,2026-02-13
Buy,Maintains,$305 → $317,305.0,317.0,6.58,2026-01-06,https://stockanalysis.com/stocks/trv/ratings/,2026-02-13
Hold,Initiates,$317,,317.0,6.58,2025-12-16,https://stockanalysis.com/stocks/trv/ratings/,2026-02-13
Hold,Maintains,$285 → $295,285.0,295.0,-0.82,2025-11-17,https://stockanalysis.com/stocks/trv/ratings/,2026-02-13
Buy,Maintains,$304 → $305,304.0,305.0,2.55,2025-10-20,https://stockanalysis.com/stocks/trv/ratings/,2026-02-13
Buy,Maintains,$320 → $322,320.0,322.0,8.26,2025-10-17,https://stockanalysis.com/stocks/trv/ratings/,2026-02-13
