label,concept,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Revenue,us-gaap_Revenues,48828000000.0,46423000000.0,41364000000.0,36884000000.0,34816000000.0,31981000000.0
Premiums,us-gaap_PremiumsEarnedNet,43914000000.0,41941000000.0,37761000000.0,33763000000.0,30855000000.0,29044000000.0
Net investment income,us-gaap_NetInvestmentIncome,3959000000.0,3590000000.0,2922000000.0,2562000000.0,3033000000.0,2227000000.0
Fee income,trv_InsuranceFeeIncome,495000000.0,473000000.0,433000000.0,412000000.0,402000000.0,429000000.0
Net realized investment losses,us-gaap_RealizedInvestmentGainsLosses,-48000000.0,-30000000.0,,,,
Other revenues,us-gaap_OtherIncome,508000000.0,449000000.0,353000000.0,351000000.0,355000000.0,279000000.0
Claims and claim adjustment expenses,us-gaap_PolicyholderBenefitsAndClaimsIncurredNet,-27221000000.0,-27059000000.0,26215000000.0,22854000000.0,20298000000.0,19123000000.0
Amortization of deferred acquisition costs,us-gaap_DeferredPolicyAcquisitionCostAmortizationExpense,-7266000000.0,-6973000000.0,6226000000.0,5515000000.0,5043000000.0,4773000000.0
Total claims and expenses,us-gaap_BenefitsLossesAndExpenses,-41032000000.0,-40243000000.0,-37993000000.0,-33530000000.0,-30358000000.0,-28744000000.0
"Selling, General and Administrative Expense",us-gaap_SellingGeneralAndAdministrativeExpense,-6120000000.0,-5819000000.0,5176000000.0,4810000000.0,4677000000.0,4509000000.0
Interest Expense,us-gaap_InterestExpense,425000000.0,392000000.0,376000000.0,351000000.0,340000000.0,339000000.0
Income Before Tax from Continuing Operations,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,7796000000.0,6180000000.0,3371000000.0,3354000000.0,4458000000.0,3237000000.0
Income Tax Expense,us-gaap_IncomeTaxExpenseBenefit,-1508000000.0,-1181000000.0,-380000000.0,-512000000.0,-796000000.0,-540000000.0
Net Income,us-gaap_NetIncomeLoss,6288000000.0,4999000000.0,2991000000.0,2842000000.0,3662000000.0,2697000000.0
Earnings Per Share (Basic),us-gaap_EarningsPerShareBasic,27.83,21.76,12.93,11.91,14.63,10.56
Earnings Per Share (Diluted),us-gaap_EarningsPerShareDiluted,27.43,21.47,12.79,11.77,14.49,10.52
Net realized investment gains (losses),us-gaap_RealizedInvestmentGainsLosses,,,-105000000.0,-204000000.0,,
Net realized investment gains,us-gaap_RealizedInvestmentGainsLosses,,,,,-171000000.0,-2000000.0
Shares Outstanding (Basic),us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,224200000.0,228000000.0,229700000.0,237000000.0,248500000.0,253500000.0
Shares Outstanding (Diluted),us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,227600000.0,231100000.0,232200000.0,239700000.0,250800000.0,254600000.0
