label,concept,2025-09-30,2025-06-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31,2022-09-30,2022-06-30,2022-03-31
Net Income,us-gaap_NetIncomeLoss,1888000000.0,1509000000.0,395000000.0,1260000000.0,534000000.0,1123000000.0,404000000.0,-14000000.0,975000000.0,454000000.0,551000000.0,1018000000.0
Changes in net unrealized gains (losses) on investment securities having no credit losses recognized in the consolidated statement of income,us-gaap_OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentBeforeTaxPortionAttributableToParent,1347000000.0,341000000.0,436000000.0,2370000000.0,,-752000000.0,-2391000000.0,,1308000000.0,-3204000000.0,-3045000000.0,-4829000000.0
Changes in net unrealized gains (losses) on investment securities having credit losses recognized in the consolidated statement of income,trv_ChangeInNetUnrealizedGainLossOnInvestmentSecuritiesHavingCreditLossesRecognizedInConsolidatedStatementOfIncomeBeforeTaxPortionAttributableToParent,0.0,0.0,1000000.0,1000000.0,,2000000.0,0.0,,0.0,0.0,-2000000.0,-1000000.0
Net changes in benefit plan assets and obligations,us-gaap_OtherComprehensiveIncomeDefinedBenefitPlansAdjustmentBeforeTaxPortionAttributableToParent,-0.0,-0.0,-0.0,-1000000.0,-2000000.0,-1000000.0,-3000000.0,-4000000.0,-3000000.0,12000000.0,11000000.0,11000000.0
Net changes in unrealized foreign currency translation,us-gaap_OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentBeforeTaxPortionAttributableToParent,-72000000.0,228000000.0,61000000.0,120000000.0,-25000000.0,-71000000.0,-118000000.0,94000000.0,37000000.0,-251000000.0,-174000000.0,2000000.0
Other comprehensive income before income taxes,us-gaap_OtherComprehensiveIncomeLossBeforeTaxPortionAttributableToParent,1275000000.0,,,,,,,,,,,
Income tax expense,us-gaap_OtherComprehensiveIncomeLossTaxPortionAttributableToParent1,-284000000.0,,,,,,,,,,,
Income tax expense (benefit),us-gaap_OtherComprehensiveIncomeLossTaxPortionAttributableToParent1,,-86000000.0,-99000000.0,-513000000.0,71000000.0,162000000.0,,190000000.0,-283000000.0,,657000000.0,
Income tax benefit,us-gaap_OtherComprehensiveIncomeLossTaxPortionAttributableToParent1,,,,,,,509000000.0,,,690000000.0,,1022000000.0
"Other comprehensive income, net of taxes",us-gaap_OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,991000000.0,,,,,,,,,,,
"Other comprehensive loss, net of taxes",us-gaap_OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,,,,,,,-2003000000.0,,,-2753000000.0,,-3795000000.0
Comprehensive income,us-gaap_ComprehensiveIncomeNetOfTax,2879000000.0,1992000000.0,,,,463000000.0,,,,,,
Other comprehensive income (loss) before income taxes,us-gaap_OtherComprehensiveIncomeLossBeforeTaxPortionAttributableToParent,,569000000.0,498000000.0,2490000000.0,-350000000.0,-822000000.0,,-813000000.0,1342000000.0,,-3210000000.0,
Comprehensive income (loss),us-gaap_ComprehensiveIncomeNetOfTax,,,794000000.0,3237000000.0,255000000.0,,,-637000000.0,2034000000.0,-2299000000.0,-2002000000.0,
Changes in net unrealized gains (losses) on investment securities having no credit losses recognized in the consolidated statement of income (loss),us-gaap_OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentBeforeTaxPortionAttributableToParent,,,,,-324000000.0,,,-903000000.0,,,,
Changes in net unrealized gains (losses) on investment securities having credit losses recognized in the consolidated statement of income (loss),trv_ChangeInNetUnrealizedGainLossOnInvestmentSecuritiesHavingCreditLossesRecognizedInConsolidatedStatementOfIncomeBeforeTaxPortionAttributableToParent,,,,,1000000.0,,,0.0,,,,
Other comprehensive loss before income taxes,us-gaap_OtherComprehensiveIncomeLossBeforeTaxPortionAttributableToParent,,,,,,,-2512000000.0,,,-3443000000.0,,-4817000000.0
"Other comprehensive income (loss), net of taxes",us-gaap_OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,,483000000.0,399000000.0,1977000000.0,-279000000.0,-660000000.0,,-623000000.0,1059000000.0,,-2553000000.0,
Comprehensive loss,us-gaap_ComprehensiveIncomeNetOfTax,,,,,,,-1599000000.0,,,,,-2777000000.0
