label,concept,2025-09-30,2025-06-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31,2022-09-30,2022-06-30,2022-03-31
Revenue,us-gaap_Revenues,12470000000.0,12116000000.0,11810000000.0,11904000000.0,11283000000.0,11228000000.0,10635000000.0,10098000000.0,9704000000.0,9303000000.0,9136000000.0,8809000000.0
Premiums,us-gaap_PremiumsEarnedNet,11135000000.0,10921000000.0,10710000000.0,10704000000.0,10243000000.0,10126000000.0,9718000000.0,9216000000.0,8854000000.0,8615000000.0,8317000000.0,8014000000.0
Net investment income,us-gaap_NetInvestmentIncome,1033000000.0,942000000.0,930000000.0,904000000.0,885000000.0,846000000.0,769000000.0,712000000.0,663000000.0,593000000.0,707000000.0,637000000.0
Fee income,trv_InsuranceFeeIncome,127000000.0,124000000.0,119000000.0,121000000.0,115000000.0,109000000.0,112000000.0,106000000.0,106000000.0,104000000.0,100000000.0,103000000.0
Net realized investment gains (losses),us-gaap_RealizedInvestmentGainsLosses,27000000.0,6000000.0,-61000000.0,55000000.0,,,,,6000000.0,-93000000.0,-95000000.0,-23000000.0
Other revenues,us-gaap_OtherIncome,148000000.0,123000000.0,112000000.0,120000000.0,105000000.0,112000000.0,101000000.0,99000000.0,75000000.0,84000000.0,107000000.0,78000000.0
Claims and claim adjustment expenses,us-gaap_PolicyholderBenefitsAndClaimsIncurredNet,-6594000000.0,-6789000000.0,-8006000000.0,6996000000.0,7373000000.0,6656000000.0,7149000000.0,7227000000.0,5959000000.0,6088000000.0,5803000000.0,5039000000.0
Amortization of deferred acquisition costs,us-gaap_DeferredPolicyAcquisitionCostAmortizationExpense,-1849000000.0,-1802000000.0,-1778000000.0,1790000000.0,1678000000.0,1698000000.0,1604000000.0,1519000000.0,1462000000.0,1406000000.0,1365000000.0,1310000000.0
Total claims and expenses,us-gaap_BenefitsLossesAndExpenses,-10126000000.0,-10235000000.0,-11342000000.0,-10344000000.0,-10627000000.0,-9858000000.0,-10163000000.0,-10146000000.0,-8776000000.0,-8775000000.0,-8479000000.0,-7627000000.0
Cash dividends declared per common share (in dollars per share),us-gaap_CommonStockDividendsPerShareDeclared,1.1,1.1,1.05,1.05,1.05,1.0,1.0,1.0,0.93,0.93,0.93,0.88
Net realized investment losses,us-gaap_RealizedInvestmentGainsLosses,,,,,-65000000.0,,-65000000.0,-35000000.0,,,,
Net realized investment gains,us-gaap_RealizedInvestmentGainsLosses,,,,,,35000000.0,,,,,,
"Selling, General and Administrative Expense",us-gaap_SellingGeneralAndAdministrativeExpense,-1572000000.0,-1545000000.0,-1459000000.0,1460000000.0,1478000000.0,1406000000.0,1312000000.0,1308000000.0,1267000000.0,1193000000.0,1223000000.0,1191000000.0
Interest Expense,us-gaap_InterestExpense,111000000.0,99000000.0,99000000.0,98000000.0,98000000.0,98000000.0,98000000.0,92000000.0,88000000.0,88000000.0,88000000.0,87000000.0
Income Before Tax from Continuing Operations,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,2344000000.0,1881000000.0,468000000.0,1560000000.0,656000000.0,1370000000.0,472000000.0,-48000000.0,928000000.0,528000000.0,657000000.0,1182000000.0
Income Tax Expense,us-gaap_IncomeTaxExpenseBenefit,-456000000.0,-372000000.0,-73000000.0,-300000000.0,-122000000.0,-247000000.0,-68000000.0,34000000.0,47000000.0,-74000000.0,-106000000.0,-164000000.0
Net Income,us-gaap_NetIncomeLoss,1888000000.0,1509000000.0,395000000.0,1260000000.0,534000000.0,1123000000.0,404000000.0,-14000000.0,975000000.0,454000000.0,551000000.0,1018000000.0
Earnings Per Share (Basic),us-gaap_EarningsPerShareBasic,8.37,6.63,1.73,5.5,2.32,4.87,1.75,-0.07,4.18,1.91,2.29,4.2
Earnings Per Share (Diluted),us-gaap_EarningsPerShareDiluted,8.24,6.53,1.7,5.42,2.29,4.8,1.74,-0.07,4.13,1.89,2.27,4.15
Shares Outstanding (Basic),us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,224100000.0,225900000.0,226900000.0,227400000.0,228600000.0,229000000.0,228800000.0,229700000.0,231700000.0,235400000.0,238400000.0,240900000.0
Shares Outstanding (Diluted),us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,227500000.0,229300000.0,230400000.0,230600000.0,231500000.0,232000000.0,231100000.0,229700000.0,234400000.0,237900000.0,241100000.0,243700000.0
